timestamp,tracker1_pos_x,tracker1_pos_y,tracker1_pos_z,tracker1_rot_roll,tracker1_rot_pitch,tracker1_rot_yaw,tracker1_rot_quat_x,tracker1_rot_quat_y,tracker1_rot_quat_z,tracker1_rot_quat_w,tracker2_pos_x,tracker2_pos_y,tracker2_pos_z,tracker2_rot_roll,tracker2_rot_pitch,tracker2_rot_yaw,tracker2_rot_quat_x,tracker2_rot_quat_y,tracker2_rot_quat_z,tracker2_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1755105519.38837,0.29745128750801086,0.19250595569610596,-0.18444770574569702,91.4908583111589,57.052216456346514,0.3456700180135748,0.6282855136645056,0.33516027306015483,-0.34019888488078054,0.6141576330870389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.4,-68.4,-128.88,-101.0,27.6,-109.82,-60.8,-6.6,-52.97,-55.6,-12.6,-19.38,-121.4,-277.6,-483.21,-217.6,-63.2,-121.45,-96.6,12.0,-33.59,-2.6,22.2,-59.11,-73.0,-197.2,-88.83,-91.2,-70.0,-40.38,-48.6,-48.2,-48.13,-52.4,9.8,-41.99,-15.6,-91.2,-38.11,-36.8,-60.0,-23.58,-26.2,-13.6,-62.66,-24.0,0.4,-49.74,-45.8,-37.2,-35.53,-24.6,-40.2,-52.65,-32.8,-22.4,-41.34,-28.4,-18.6,-58.79,-19.2,-57.4,-43.28,-38.2,-72.4,-40.05,-4.2,-50.4,-39.41,1.4,3.0,-42.64
1755105534.386758,0.2974773347377777,0.19231367111206055,-0.18453139066696167,91.51984330696857,57.044801609579046,0.39748898142750416,0.628311504191612,0.335318763528513,-0.3399651105317107,0.6141739448398259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.2,131.8,-667.32,-246.8,83.6,-145.67,-82.2,4.2,-40.05,-56.4,-7.2,-19.7,-132.2,-298.8,-474.81,-200.4,-60.2,-113.7,-96.0,12.4,-33.27,-2.8,22.2,-59.43,-73.2,-198.0,-88.18,-91.4,-70.2,-40.7,-48.2,-47.8,-48.13,-52.8,9.8,-41.67,-16.0,-91.4,-38.76,-36.8,-60.2,-22.93,-25.8,-13.8,-62.34,-23.8,0.6,-49.74,-45.6,-37.8,-35.85,-24.8,-40.6,-52.65,-32.6,-22.4,-41.67,-29.2,-18.6,-59.43,-19.4,-57.4,-43.61,-38.0,-72.6,-40.05,-4.0,-50.8,-40.05,2.2,3.2,-42.96
1755105550.8798754,0.302275687456131,0.19193172454833984,-0.10539823770523071,90.91367104837326,63.67846515643207,-0.18465072595483242,0.6060755384280916,0.36906318683861844,-0.3769475062495839,0.5952943024394621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.2,132.2,-666.35,-247.2,83.8,-145.67,-82.0,4.0,-40.7,-56.8,-7.6,-19.38,-132.6,-299.0,-474.49,-201.0,-60.2,-114.02,-96.4,12.4,-33.92,-2.8,22.6,-59.43,-72.8,-197.6,-88.5,-91.2,-69.8,-40.7,-48.6,-48.0,-48.13,-52.4,9.6,-41.99,-16.0,-91.4,-38.11,-36.8,-60.2,-23.9,-26.2,-13.8,-62.02,-24.0,0.6,-50.07,-46.0,-37.4,-35.53,-24.4,-40.4,-52.65,-32.6,-22.8,-41.67,-28.8,-18.2,-59.76,-19.4,-57.6,-43.28,-38.0,-72.2,-40.05,-4.4,-50.8,-39.41,1.8,3.2,-43.28
1755105567.6661417,0.3022759258747101,0.19134128093719482,-0.1056818962097168,90.90258615100181,63.70217813696585,-0.23341666830607005,0.6060974274437945,0.3689652085780153,-0.3772902761840519,0.5951156166778618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.2,132.2,-667.32,-246.6,84.2,-145.35,-81.8,4.2,-40.05,-56.4,-7.2,-19.38,-132.6,-298.8,-474.16,-201.0,-60.6,-114.02,-96.2,12.2,-33.92,-2.4,22.4,-58.79,-73.0,-197.6,-89.15,-91.6,-69.8,-40.38,-48.6,-47.6,-48.77,-52.4,10.0,-42.96,-15.6,-91.4,-38.11,-37.0,-60.0,-23.26,-26.2,-13.8,-62.66,-24.2,0.4,-49.74,-46.0,-37.4,-35.53,-24.6,-41.0,-52.65,-33.0,-22.4,-41.99,-29.0,-18.2,-59.43,-19.8,-57.8,-42.64,-37.8,-72.4,-40.38,-4.2,-50.8,-39.41,1.6,3.2,-42.96
1755105584.001625,0.26647457480430603,0.19117021560668945,-0.1411280632019043,90.6549923741013,54.99888037099651,-0.6694360060332559,0.6326750486115202,0.3209373067162289,-0.3319978538852087,0.6216903639503427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.2,132.0,-667.0,-246.4,84.2,-145.67,-81.4,3.8,-39.73,-56.4,-7.2,-20.03,-133.2,-298.4,-475.46,-200.8,-60.2,-113.7,-96.0,12.4,-33.92,-2.2,22.6,-59.43,-72.6,-197.4,-88.83,-91.6,-70.6,-40.05,-48.6,-48.0,-48.13,-52.2,10.4,-42.31,-16.4,-91.8,-37.79,-36.8,-60.2,-23.26,-26.2,-14.0,-62.66,-24.6,0.8,-50.07,-46.0,-37.4,-36.18,-24.6,-40.4,-52.33,-33.0,-22.8,-41.67,-29.0,-18.6,-58.79,-19.2,-57.8,-42.96,-37.6,-72.4,-40.05,-4.2,-50.6,-39.73,1.8,3.2,-42.64
1755105600.0928447,0.2662910521030426,0.19146180152893066,-0.14105486869812012,90.59896766571222,55.045981930248445,-0.8791111287844101,0.6328244956800281,0.32019942925463946,-0.3332365397083524,0.6212558482327062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186.2,132.4,-669.26,-247.4,84.0,-145.67,-82.4,4.0,-40.38,-56.6,-7.6,-19.06,-133.4,-298.6,-474.49,-201.2,-60.4,-114.02,-96.8,12.6,-33.59,-2.8,22.2,-59.43,-73.2,-197.2,-89.15,-91.0,-69.4,-41.02,-48.4,-48.6,-48.45,-52.4,9.8,-42.31,-16.0,-91.4,-38.44,-36.6,-60.0,-23.58,-26.2,-14.0,-62.99,-24.2,0.6,-50.39,-45.8,-37.4,-35.53,-24.4,-41.0,-52.65,-32.8,-22.6,-41.67,-28.6,-18.6,-59.76,-19.2,-57.8,-42.96,-38.2,-72.6,-40.05,-4.6,-50.8,-39.41,1.8,3.0,-42.96
1755105614.880876,0.26613345742225647,0.19194364547729492,-0.14061999320983887,90.52492869952515,55.04210166939908,-0.9354376478703931,0.632591346940537,0.3200825459888815,-0.3333138847381525,0.6215120024762291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.0,132.4,-667.0,-247.2,83.6,-145.03,-82.0,4.2,-40.05,-57.0,-7.4,-20.03,-133.0,-298.8,-474.81,-201.2,-60.6,-113.37,-96.6,11.8,-34.24,-2.6,22.4,-59.43,-72.8,-197.2,-88.5,-91.4,-69.8,-40.38,-48.4,-47.8,-48.13,-52.6,9.8,-41.67,-16.0,-91.4,-37.47,-36.6,-59.8,-23.58,-26.2,-14.2,-62.34,-24.2,0.6,-50.07,-46.0,-37.4,-34.88,-24.4,-40.4,-52.97,-32.6,-23.0,-41.99,-29.0,-18.4,-59.43,-19.6,-57.6,-42.96,-38.2,-72.2,-40.05,-4.0,-50.6,-39.08,1.6,3.4,-43.61
1755105629.1057608,0.22067366540431976,0.19232261180877686,-0.15751975774765015,90.41404640833007,51.64471783858129,-1.3267325950731224,0.6423072160538856,0.2994719848691317,-0.31643592016826044,0.6305760698381464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.4,132.2,-667.0,-247.0,84.0,-146.0,-82.0,4.2,-40.05,-56.8,-7.2,-19.38,-133.0,-299.0,-475.13,-200.8,-60.4,-113.7,-96.2,12.2,-33.92,-2.4,21.8,-59.76,-72.4,-197.6,-88.18,-91.6,-69.8,-40.7,-48.8,-48.0,-48.45,-52.8,9.8,-42.96,-16.0,-91.8,-38.11,-37.0,-59.8,-23.58,-25.4,-13.8,-62.34,-23.8,0.6,-50.07,-45.6,-37.0,-35.53,-24.8,-40.4,-52.33,-32.8,-22.4,-41.67,-28.6,-18.6,-59.76,-19.4,-57.2,-42.96,-38.0,-72.4,-39.41,-4.6,-50.6,-39.41,1.6,3.0,-42.96
1755105645.8681326,0.22071829438209534,0.19186747074127197,-0.15782630443572998,90.49034985612114,51.601916684035096,-1.1324132657322132,0.6423317624379092,0.3001128485431977,-0.31532863450659215,0.6308011018483116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.4,132.4,-667.32,-247.2,84.0,-145.67,-82.4,4.4,-40.05,-56.8,-7.0,-20.03,-132.8,-298.4,-474.49,-200.8,-60.4,-113.7,-96.2,12.0,-33.92,-2.4,22.4,-59.76,-72.8,-197.4,-88.5,-91.2,-70.2,-40.38,-48.4,-48.0,-48.77,-53.0,9.6,-42.31,-15.6,-91.2,-38.44,-37.0,-60.0,-23.26,-26.2,-14.0,-63.31,-24.2,0.8,-49.42,-45.8,-37.4,-34.56,-24.6,-40.0,-52.65,-33.2,-23.2,-41.67,-28.4,-18.6,-59.11,-19.2,-57.8,-42.64,-38.0,-72.6,-40.38,-4.0,-51.0,-39.08,1.6,3.0,-42.64
1755105662.7595055,0.2137366682291031,0.19076454639434814,-0.09733164310455322,90.53078925461591,48.80095289978948,-1.1150845221730963,0.649722686514493,0.2844492228390798,-0.2996873675961483,0.6380725056498805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184.2,132.0,-667.0,-247.0,83.4,-145.35,-82.4,4.4,-39.73,-56.6,-7.2,-19.7,-132.4,-298.2,-474.81,-201.4,-61.0,-114.02,-96.4,12.4,-33.59,-2.2,22.2,-59.43,-72.8,-196.8,-88.83,-91.2,-70.0,-40.7,-48.8,-48.0,-48.45,-53.0,10.0,-42.31,-16.0,-91.6,-38.11,-36.8,-60.2,-23.26,-25.8,-14.0,-62.34,-24.0,-0.2,-50.39,-45.8,-37.4,-34.88,-24.8,-39.6,-49.42,-33.6,-29.4,-38.76,-36.8,-21.2,-55.56,-24.6,-90.8,-36.82,-49.6,-96.2,-35.21,-13.4,-60.4,-34.24,-3.6,-0.2,-39.73
