timestamp,pos_x,pos_y,pos_z,rot_roll,rot_pitch,rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1752676481.5239906,0.31817835569381714,1.1163164377212524,-0.47852790355682373,88.75289610611989,-17.71718492403821,10.805991594774634,-1.6125,-7.9875,6.776,1.8675,12.2775,-17.5934,-8.625,-5.385,-75.8912,-11.1075,1.095,34.0978,1.29,-1.8975,35.0658,-4.6275,-24.21,25.0954,-8.3025,-2.5425,-62.799,4.545,-1.9575,8.8572,-16.05,-44.3175,17.7144,-5.7525,-47.6175,9.5469,-21.5025,-1.2825,-26.1602,-6.66,17.3025,15.5001,-3.2775,-40.4025,14.3143,7.2675,-11.325,30.9034,-20.25,49.14,21.8647,-14.5875,-2.355,26.2812,-8.8425,15.0975,-5.4692,-6.0225,-0.36,0.0968,14.8125,-2.73,16.3955,-21.7425,38.505,27.7211,-7.74,30.5175,-4.7674,50.0025,-0.345,4.1261,6.9225,16.905,-11.2167,-14.235,12.525,-70.9786
1752676481.8865721,0.31439048051834106,1.1287097930908203,-0.5387206077575684,94.10538693114638,-15.584983516250581,4.878240184629154,-2.3625,-8.5875,-8.712,-0.3825,-1.5225,-17.3514,-12.825,-5.385,-13.9392,-6.4575,-5.805,26.8378,-1.41,0.6525,-57.3782,-4.1775,-23.46,27.7574,3.0975,-2.3925,30.129,-9.855,1.6425,10.0672,-15.9,32.4825,32.9604,-3.3525,-52.5675,-85.3171,-11.9025,-1.2825,6.7518,2.94,17.3025,-14.5079,-3.2775,-39.8025,-2.1417,-2.4825,-2.625,23.6434,-13.05,44.64,-47.8313,-16.0875,-2.355,-82.1348,-0.1425,24.6975,25.7488,-6.0225,-2.76,0.0968,14.9625,2.22,-14.5805,-21.7425,30.105,27.7211,-7.29,20.4675,10.4786,-13.5975,-1.395,6.3041,9.3225,16.005,-10.2487,-17.385,-1.875,20.0134
1752676482.2502139,0.315452516078949,1.1509525775909424,-0.6534583568572998,99.33098370689707,-12.788645939049555,2.1257167895530653,2.4375,-10.0875,22.022,-0.5325,-0.7725,-17.8354,-13.425,-0.585,-75.8912,7.9425,3.795,26.3538,0.24,3.8025,8.4458,-4.6275,-31.41,27.0314,-1.7025,2.2575,-62.799,6.945,-1.3575,8.8572,-15.3,33.6825,17.4724,-5.7525,24.2325,11.2409,-2.3025,-3.6825,4.8158,13.14,17.4525,0.0121,-3.2775,-40.4025,17.2183,-2.6325,-11.625,23.1594,-5.85,44.49,14.1207,3.1125,4.845,10.7932,-48.1425,16.2975,-28.2172,19.1775,-2.76,-11.5192,-4.3875,-0.48,0.9075,35.8575,29.505,37.4011,-7.74,20.4675,10.4786,-12.3975,-1.545,9.9341,26.7225,20.505,-13.1527,-7.785,1.125,21.9494
1752676482.6122072,0.3207549452781677,1.1325945854187012,-0.7030191421508789,98.07767552317935,-8.709578314552356,5.917339437022581,-2.3625,-10.0875,56.87,0.6675,-2.1225,-2.3474,-12.075,-4.185,-75.8912,0.7425,2.895,-74.8022,-77.01,0.8025,35.0658,6.3225,-33.81,-67.8326,71.4975,-0.1425,4.961,4.545,-0.7575,8.8572,-15.9,32.4825,-13.5036,-5.7525,-42.9675,-85.5591,55.2975,-4.5825,4.8158,71.34,-49.8975,15.9841,1.5225,36.3975,14.3143,-0.2325,-4.125,23.1594,-19.05,44.94,15.0887,-11.2875,-2.355,10.7932,10.0575,15.0975,-26.7652,-25.0725,6.99,15.5848,10.3125,-0.33,-14.5805,40.6575,29.355,-64.9649,78.66,20.4675,-4.2834,-3.9975,-1.545,4.1261,26.1225,27.705,2.3353,60.915,-1.875,-72.6726
1752676482.9749873,0.3064731955528259,1.109226942062378,-0.7377413511276245,94.59937170919206,-11.186137319623455,2.396050483842712,76.2375,-10.6875,23.958,79.8675,-1.8225,13.1406,-13.425,-4.185,17.0368,-1.6575,-4.905,-74.8022,-78.21,17.3025,-56.4102,72.1725,-29.01,27.2734,69.3975,-2.5425,-0.847,62.145,0.4425,12.7292,-16.05,-39.3675,21.3444,-5.7525,24.2325,11.7249,55.5975,-0.0825,4.8158,-4.26,-57.0975,15.5001,-3.2775,36.3975,17.4603,-2.6325,-12.525,-0.0726,56.55,44.94,14.1207,61.0125,2.445,-81.1668,-48.1425,15.3975,-4.9852,-15.6225,8.04,15.5848,-32.8875,9.27,22.2035,36.1575,29.055,12.2331,-7.14,20.4675,-3.3154,-11.1975,-1.095,-22.9779,31.2225,29.205,2.3353,60.615,-1.875,20.0134
1752676483.3380644,0.30226272344589233,1.0949218273162842,-0.7565865516662598,91.84516387711238,-11.037082408399467,-0.5873971923274365,7.2375,-10.6875,22.022,-1.7325,-1.5225,-17.8354,140.775,-5.385,32.5248,-0.4575,-0.405,25.8698,1.59,-1.8975,-19.1422,91.3725,-33.81,-36.8566,144.6975,-2.5425,-0.847,-14.355,10.0425,-18.2468,-1.05,-27.5175,48.6904,80.6475,26.6325,13.1769,-21.5025,-4.8825,-18.4162,70.14,-55.8975,-7.7319,1.5225,36.3975,-17.6297,-2.3325,65.025,-7.8166,-25.05,44.34,14.1207,60.7125,-2.355,14.6652,-48.1425,15.0975,-3.5332,-25.2225,-2.76,-11.5192,-31.9875,-2.58,-14.5805,36.1575,28.905,29.6571,74.16,25.2675,-2.3474,-3.6975,-1.545,-26.8499,38.2725,36.105,-13.1527,69.165,-1.875,35.5014
1752676483.702166,0.3140663504600525,1.0956101417541504,-0.7706403732299805,91.08765639332942,-15.233734405352347,-0.9841838371986386,2.4375,-10.5375,52.998,75.0675,9.8775,-16.8674,141.375,-4.185,17.0368,20.0925,-0.705,26.1118,-0.21,8.9025,-26.6442,11.5725,-33.81,-36.8566,145.2975,-1.3425,-61.831,72.045,-1.3575,8.8572,-15.75,-38.9175,48.4484,71.9475,-52.5675,8.3369,-21.5025,-4.8825,-24.9502,70.14,17.3025,-11.6039,7.3725,41.4975,15.2823,7.2675,64.275,-5.8806,-25.05,44.34,16.0567,-16.0875,-1.755,14.6652,-48.1425,26.0475,-20.9572,-18.0225,-2.46,-15.3912,-33.1875,-2.73,16.3955,-40.1925,33.705,28.6891,-2.79,30.0675,10.2366,-7.2975,-1.545,5.0941,45.3225,15.705,-7.3447,59.415,-0.675,-9.0266
1752676484.0651135,0.32223957777023315,1.0957062244415283,-0.7862594127655029,91.89289461625964,-11.686382939369656,-0.46656820837526464,154.5375,-7.9875,68.486,17.4675,-2.1225,44.1166,71.325,-5.085,17.0368,-1.0575,-5.505,20.0618,-78.21,-1.5975,35.0658,-4.6275,-33.81,-1.0406,70.4475,-2.5425,-0.847,67.095,-1.6575,-22.1188,60.75,-34.7175,48.4484,87.8475,-52.2675,-84.5911,-2.3025,2.3175,-18.4162,70.14,-59.4975,0.0121,-3.2775,36.3975,-40.8617,-2.6325,-2.775,-7.8166,-24.75,47.94,-47.8313,70.3125,-1.155,-20.1828,-33.7425,15.3975,-36.4452,-22.8225,-0.36,-15.3912,-33.1875,2.07,-14.5805,35.8575,30.105,28.2051,0.96,21.0675,-5.0094,0.8025,17.655,4.1261,-50.6775,35.055,-10.9747,-17.385,-1.575,-2.9766
1752676484.428006,0.33201974630355835,1.0951873064041138,-0.8021136522293091,89.1823371709648,-0.8410637526642143,1.261638140375933,75.1875,-7.0875,-32.186,-1.7325,-1.5225,13.1406,140.325,-2.985,-75.8912,-0.3075,6.045,18.1258,-78.21,-1.8975,-26.8862,-4.6275,-14.61,-67.3486,0.6975,-0.1425,30.371,72.045,-1.8075,-6.6308,60.9,34.8825,48.4484,71.0475,-50.0175,-85.5591,-11.9025,74.3175,-18.4162,75.69,19.7025,-40.6439,-3.2775,36.3975,-48.3637,1.5675,64.275,-5.8806,-25.05,-8.46,14.1207,79.9125,16.845,11.2772,-48.1425,15.0975,-5.4692,-25.2225,17.79,-8.6152,-33.1875,17.07,-6.8365,37.2075,29.505,27.7211,-2.94,39.6675,2.4926,-11.1975,8.355,-24.9139,58.0725,34.905,-12.9107,59.565,-1.875,-9.9946
1752676484.7912016,0.3356887698173523,1.0960873365402222,-0.818105936050415,88.85045754802529,11.017225853446028,-0.11165525544133371,93.6375,-9.4875,22.022,84.9675,8.0775,84.7726,6.375,-5.385,-13.4552,1.9425,13.095,33.6138,-1.41,-1.8975,12.8018,91.3725,-28.41,-66.8646,-8.3025,-2.5425,30.129,62.445,-1.9575,1.1132,61.05,-44.3175,-13.0196,71.6475,-51.0675,-85.5591,-11.9025,16.8675,-18.4162,74.94,17.4525,-42.5799,-2.5275,36.3975,14.0723,2.7675,68.175,-5.6386,64.65,45.84,-28.4713,60.7125,-2.205,11.0352,-48.1425,15.0975,-36.4452,15.5775,17.94,-15.3912,-22.9875,17.07,3.0855,45.4575,28.905,28.2051,-7.74,39.6675,2.7346,-11.1975,18.255,-25.3979,67.0725,35.505,-4.4407,69.015,-1.875,25.8214
