timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z,Patch,Area
1754580203,0.022840232,0.175375581,0.103335381,-90.15643944,-16.45454968,-179.8845122,-0.101755016,0.700681963,-0.698975045,-0.100620701,-105.2,-17,-31.01,-92.6,37.6,-40.38,-64,-21.6,-33.92,-108.2,0,-23.26,-110.6,39.2,-18.73,-78.4,36.8,-47.16,-86.4,20,-48.45,-16,32.4,-63.95,-88.6,36,-13.89,-38.8,81.8,-63.95,-49.2,1.6,-88.5,-99.2,38.4,-50.39,-63.6,50.4,-49.42,-64.2,49.2,-42.64,-74.8,42.8,-65.89,-48,39.8,-25.84,-136.8,23.8,-40.7,-98.6,57,-85.27,-92.4,35.4,-36.82,-106.2,2.8,-48.45,-90.4,32.4,-49.1,-84.6,13.2,-43.61,-50,18.2,-61.05,-52.8,43.8,-52.65,o,1
1754580215,0.022799522,0.175727844,0.103196621,-90.12961564,-16.43171754,-179.8838839,-0.101643137,0.700538079,-0.699159597,-0.100453432,-128.6,-65.4,799.75,192.4,15.2,164.73,32.2,-22.6,-39.08,-78.8,-2.8,-36.5,-134.6,386.4,322.03,105.6,187.2,47.16,-12,45,-56.2,9.4,35.6,-75.91,-101,165.4,9.04,-16,135.4,-23.58,-23.4,17.8,-73.32,-88.2,44.8,-47.8,-72.2,50,-50.07,-64.6,49.8,-42.64,-74.8,42.8,-66.54,-48.4,39.8,-25.52,-136.8,24,-40.7,-98.4,56.8,-84.95,-92.2,35,-36.18,-106.6,2.8,-48.45,-90.6,32.2,-49.42,-84.4,13.2,-44.57,-49.8,18,-61.05,-52,44,-52.33,o,1
1754580231,0.02279222,0.175471187,0.103407979,-90.10418551,-16.46915811,-179.8872299,-0.101873384,0.700352563,-0.69927933,-0.100680189,-128.8,-65,801.69,192.6,15,165.38,32.4,-21.8,-38.76,-78.6,-2.6,-36.5,-134.4,386.2,322.68,104.8,186.6,47.16,-12.2,45.2,-56.2,9.2,35.4,-75.58,-101.2,165.6,8.4,-16,135.6,-22.93,-23.4,17.6,-73.32,-88.2,44.8,-47.48,-72,49.8,-49.42,-64.4,50,-42.64,-74.4,42.8,-67.18,-48.4,39.8,-25.19,-136.8,23.8,-40.05,-98.6,57,-85.27,-92.8,35.4,-36.5,-106.4,2.8,-48.45,-90.4,32,-48.77,-84.2,13.6,-44.25,-50,18.4,-60.72,-53,45,-52.65,o,1
1754580245,0.022838622,0.175310493,0.103465319,-90.14651672,-16.46879993,-179.838717,-0.102130591,0.700567989,-0.699063449,-0.100419682,-128.8,-65.4,800.39,192.6,15,164.73,32.2,-21.8,-38.76,-78.8,-2.8,-36.82,-135.2,386.2,322.35,105,187,47.48,-12.2,45,-55.88,9.4,35.2,-75.58,-101,166,9.04,-16.4,135.8,-23.26,-23.2,17.6,-73.32,-87.6,45.2,-47.16,-72,50,-50.07,-64.6,49.8,-42.64,-74.2,43.4,-65.57,-48.2,39.8,-25.84,-137.4,24,-40.05,-99,57.2,-84.95,-92.6,35.2,-37.15,-106.8,2.6,-48.77,-91,32.2,-49.1,-84.2,13.2,-44.25,-49.8,17.8,-61.37,-53.2,44.2,-51.36,o,1
1754580260,0.022802293,0.175456405,0.103362799,-90.06692675,-16.4689896,-179.8880276,-0.101900219,0.700126014,-0.699506434,-0.100650897,-128.6,-65.6,801.04,192.8,15,165.05,32.4,-21.8,-39.41,-78.8,-3.2,-37.47,-134.8,386.6,322.03,105.4,186.6,46.84,-12.2,44.4,-56.53,9.6,34.8,-75.26,-101.2,165.8,8.4,-16,136.2,-22.93,-23.4,17.6,-73,-88,45.2,-46.84,-72.4,49.8,-49.74,-64,50,-42.64,-74.2,43,-65.89,-48.4,39.8,-26.16,-137.2,24,-40.38,-98.4,57,-85.27,-92.4,35.4,-35.85,-106.4,2.8,-49.1,-90.8,32.6,-49.1,-84.4,12.8,-44.25,-50,17.8,-62.02,-52.4,44.2,-52.33,o,1
1754580273,0.02284196,0.175522923,0.103143573,-90.03394162,-16.46705392,-179.8641708,-0.102063089,0.69990513,-0.699730556,-0.10046406,-129.4,-65.4,801.36,193.2,15.4,164.73,32.2,-22.4,-39.08,-79,-3,-37.15,-134.2,386.6,322.68,105.2,186.8,46.51,-11.6,44.4,-56.2,9.2,35.2,-75.58,-101,166,8.72,-15.6,135.4,-23.26,-23.4,17,-73.32,-88,45,-47.16,-72.2,50,-49.74,-64.6,49.8,-42.31,-74.2,43.2,-66.54,-48.2,39.8,-24.87,-137,23.4,-40.05,-98.4,57.2,-85.27,-92.8,35.4,-36.18,-106.4,2.6,-48.45,-90.8,32.4,-49.74,-84.2,13,-44.25,-50.4,18,-60.72,-52.6,44.8,-52.97,o,1
1754580288,0.022855699,0.175339818,0.103375733,-90.03942018,-16.45931159,-179.8644037,-0.102009574,0.699945693,-0.699703695,-0.100423056,-128.6,-65.6,801.36,193,15.2,164.41,32,-22.2,-39.08,-78.6,-3,-36.82,-135.2,387.2,322.68,105.2,187.2,46.19,-12,44.8,-56.53,9.4,35.2,-75.58,-100.8,166,9.04,-16,135.6,-22.61,-23.8,17.2,-73.64,-88,45,-47.16,-72,49.8,-49.42,-64.6,49.8,-42.96,-74.4,42.2,-66.54,-48.6,39.2,-26.16,-137.6,23.8,-40.7,-98.4,57.6,-84.95,-92.4,35.2,-36.5,-106.2,2.8,-48.45,-90.8,32.4,-48.77,-84.8,12.8,-44.57,-50,17.6,-60.72,-52.6,44,-52.97,o,1
1754580301,0.022983015,0.175384402,0.103498638,-90.09775627,-16.46471222,-179.854652,-0.102051024,0.700288298,-0.699351098,-0.100448476,-128.8,-65.4,802.01,193,15,165.38,31.8,-22.2,-39.08,-78.6,-2.8,-36.5,-135,387,322.03,105.4,186.4,47.8,-11.8,44.6,-56.53,9.4,34.8,-75.58,-100.8,165.8,9.37,-15.8,135.4,-22.61,-23.6,17.4,-73.32,-88.4,44.6,-47.16,-72,50.2,-49.42,-64.2,49.8,-42.96,-74.4,43.4,-66.54,-48,39.8,-25.84,-137,23.8,-40.7,-98.8,57.2,-84.95,-92.8,35.4,-36.5,-106.6,2.8,-48.45,-90.6,32.2,-49.42,-84,12.8,-43.93,-50.4,17.4,-61.05,-53,44.4,-52.65,o,1
1754580315,0.022860855,0.175404906,0.103461385,-90.09557604,-16.49404445,-179.7957292,-0.10259191,0.700196153,-0.699390354,-0.10026623,-129.4,-65.2,801.04,193.2,15.2,165.05,32,-21.8,-39.08,-78.6,-2.8,-36.82,-134.6,386.6,322.35,105,187,47.48,-11.6,44.6,-56.85,9.6,35.2,-75.58,-100.8,165.8,8.72,-16.4,136,-23.58,-23.2,17.4,-73.32,-88.2,44.6,-46.84,-72.4,49.8,-49.42,-64.2,50,-42.31,-73.6,42.8,-65.89,-48.4,39.4,-24.87,-137.2,24.2,-41.02,-98.4,57,-85.27,-92.6,36,-35.85,-106.6,2.8,-48.13,-90.4,32,-49.1,-84.4,13.2,-43.93,-50.4,18,-61.37,-52.4,44.2,-52.33,o,1
1754580329,0.022878885,0.175184727,0.103436708,-89.98170693,-16.47745829,-179.9058193,0.10191814,-0.699613868,0.700003891,0.100735469,-128.6,-65.2,801.69,193.2,15,165.05,32.4,-22,-40.05,-78.6,-3,-37.15,-134.8,386.6,323,105.2,187,47.48,-11.8,44.8,-55.88,9.6,35,-75.58,-101,166.4,8.72,-16.4,135.8,-23.26,-23,17.6,-73.64,-88.6,44.8,-47.48,-72.6,49.8,-49.74,-64.6,50,-42.31,-74.2,43.2,-66.54,-48.4,39.8,-25.84,-137.8,23.8,-41.02,-98.6,57,-85.6,-92.8,35.2,-36.18,-106.4,2.8,-48.77,-90.6,32,-49.1,-84.6,13.2,-44.25,-50,17.8,-61.05,-52.8,44.4,-52.33,o,1
