timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,actuator_on,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1752756015.5986807,0.05708765983581543,1.1339976787567139,-0.13087451457977295,-97.07496997690517,-14.037088456622946,-173.9661043780749,0,60.54,73.3125,-5.1062,-13.0575,-2.6925,-57.5113,4.395,-6.24,5.5781,-6.21,-11.715,13.2979,-3.7425,17.265,-4.6464,-0.435,-1.9275,-81.3483,-1.425,-2.775,-3.6905,-80.205,-1.41,25.894,-77.5875,69.6675,-4.477,149.49,-232.425,20.8967,-80.025,-292.035,-0.5929,148.7625,-1.1775,-7.2842,20.73,-23.2125,-37.4737,-31.95,-8.9925,-22.7238,-10.0425,20.2275,-55.4785,-5.9025,1.4925,-71.3779,-2.265,-8.7975,-23.8128,-2.13,-29.2875,-8.4579,-5.565,-3.93,-62.4118,-3.4125,-21.585,-87.3136,-51.93,-17.595,-24.5751,-39.6375,-1.71,93.9323,-92.9325,-5.46,121.7018,-72.87,-0.6525,-45.133
1752756015.9620416,-0.018578171730041504,1.1443120241165161,-0.1670486330986023,-96.97430365665005,-3.2771386511508678,-168.32989000769444,0,137.34,-3.4875,27.8058,-31.8075,77.1075,-57.5113,9.795,80.16,-56.1319,0.24,83.685,-72.6121,-3.1425,17.115,-65.1464,74.565,2.8725,-78.4443,74.175,74.625,-34.6665,-80.955,1.29,-36.058,-78.7875,-9.5325,-5.687,149.79,-308.9251,-54.1233,-79.875,-293.2351,9.0871,225.4125,76.2225,-7.2842,29.13,-23.8125,-7.4657,43.65,0.9075,-16.1898,-9.7425,20.2275,-23.5345,75.5475,117.8925,-65.5699,-1.065,-7.5975,104.2052,4.47,62.6625,-2.6499,1.335,14.82,56.6522,-5.8125,-21.585,-118.7736,-13.53,-17.745,471.0409,3.8625,1.89,-10.6117,-46.2825,2.94,-7.5262,-77.67,-3.0525,-9.317
1752756016.3260176,-0.04545915126800537,1.1292623281478882,-0.19204336404800415,-97.31985448945203,1.6313430090771912,-164.85239010406374,0,2.94,-0.7875,-3.1702,-32.4075,-5.3925,-26.5353,-77.205,-6.24,-25.3979,79.89,-12.315,-38.2481,-75.7425,5.415,-48.9324,3.165,-1.9275,-81.3483,-2.625,-2.775,33.0935,-80.955,-1.26,-20.57,-154.6875,-7.1325,2.057,-4.11,-290.025,-56.0593,-79.725,-277.035,-1.5609,-6.1875,1.2225,-8.2522,-56.97,-22.3125,-37.4737,-33.15,-8.9925,71.1722,69.1575,-54.9225,7.9255,75.5475,39.2925,-71.3779,-2.265,-7.5975,99.3652,79.47,-14.8875,238.3821,90.135,-4.53,-85.6438,128.5875,-21.585,129.0344,63.42,-17.745,-9.0871,-33.6375,-2.91,343.6763,-90.8325,2.94,122.1858,-57.57,7.7475,-44.165
1752756016.6883729,-0.06519269943237305,1.130476713180542,-0.1973084807395935,-96.54537713808033,-0.32798575106600214,-170.9951717441776,0,-15.06,73.4625,11.3498,-32.4075,-5.6925,-57.5113,-77.205,-2.79,-40.6439,-81.36,5.385,-80.8401,-60.7425,-1.785,-64.6624,-2.085,-1.9275,-69.7323,-2.625,-2.775,-65.6425,-80.955,0.39,-67.034,-209.5875,-9.5325,-5.203,-2.91,-287.025,5.4087,73.575,-254.685,59.4231,100.6125,37.5225,53.6998,-133.77,34.3875,-34.5697,120.6,11.4075,-23.9338,-5.2425,-37.5225,-23.7765,-7.2525,3.8925,-9.4259,7.335,-8.7975,-8.8088,-0.18,-30.9375,238.3821,-5.865,-2.13,-85.1598,-5.8125,55.215,134.8424,-51.93,-17.145,6.4009,-34.6875,-2.76,264.3003,-95.0325,-5.46,-7.5262,-66.87,74.0475,-44.891
1752756017.0524287,-0.07061576843261719,1.1259946823120117,-0.20390057563781738,-92.30940179778302,-1.2546762734119101,-177.8620830091294,0,-14.46,73.3125,26.8378,-31.3575,81.3075,-57.5113,-76.605,6.96,-56.3739,-83.76,105.285,-83.2601,-80.5425,7.515,-66.5984,-2.235,7.6725,-50.3723,18.375,-2.775,28.2535,-78.555,75.39,-67.034,-195.1875,67.2675,2.057,34.29,-219.825,-56.5433,75.975,-293.2351,62.3271,109.0125,44.4225,57.8138,-133.47,58.6875,-30.4557,123.15,0.6075,65.3642,143.5575,-18.0225,-55.4785,-7.2525,75.2925,-59.7619,26.535,70.4025,6.4372,6.87,43.9125,-6.5219,35.535,-4.53,-85.6438,-5.6625,55.215,-118.5316,-51.33,61.455,-22.3971,-43.8375,-2.76,-29.9717,-95.6325,-6.66,132.1078,-77.67,73.7475,-44.891
1752756017.4162931,-0.07179045677185059,1.1221768856048584,-0.20224308967590332,-91.53502097621953,-1.943101903371001,178.86234065614337,0,22.14,73.4625,14.2538,5.9925,71.4075,35.4167,-71.205,-3.84,21.3081,-82.41,70.485,-18.8881,-77.9925,-2.085,-4.6464,-1.635,-0.7275,-73.6043,-2.625,4.725,19.5415,-80.955,75.39,18.15,-78.7875,73.5675,0.121,-4.11,-232.425,-25.0833,73.575,-292.3351,-2.5289,147.4125,39.9225,8.2038,-134.07,52.9875,24.4783,120.45,-4.1925,-23.9338,153.1575,-18.3225,21.9615,-4.7025,77.6925,-12.5719,1.335,-8.7975,-24.5388,-2.73,43.3125,-9.9099,3.735,5.22,-23.2078,-5.5125,55.215,-102.3176,-47.13,61.755,68.3529,-34.8375,16.59,1.0043,-94.7325,12.54,116.3778,-72.87,78.8475,51.667
1752756017.7793934,-0.07710528373718262,1.121861457824707,-0.20667076110839844,-90.74913918010304,-0.29171521632925096,-179.3159273230898,0,-11.16,74.6625,2.6378,-32.4075,-5.6925,-57.5113,-72.405,-6.24,8.2401,-45.21,64.485,-22.2761,-42.1425,-1.935,10.8416,36.165,7.6725,-42.6283,-2.475,-2.775,4.0535,-80.955,76.59,-5.082,-79.9875,72.0675,56.265,-4.11,-232.425,6.3767,73.575,-292.6351,-0.5929,149.8125,42.7725,53.6998,-134.07,55.3875,-38.4417,120.6,-8.9925,68.9942,143.5575,-18.3225,6.4735,-7.2525,75.2925,-75.2499,-2.265,77.6025,6.4372,2.07,45.1125,51.5581,-5.865,-4.53,-68.2198,-5.8125,55.215,-118.7736,-51.93,2.655,74.1609,-34.8375,-2.91,-29.0037,-95.6325,12.54,-7.5262,-58.47,73.7475,41.019
1752756018.1434186,-0.09741544723510742,1.1271357536315918,-0.15205252170562744,-87.38270974795695,-4.095406400963523,178.55317121871525,0,156.69,-1.9875,11.3498,-20.4075,-5.6925,4.4407,-77.205,-5.04,9.4501,-70.86,74.235,-52.7681,-79.3425,-2.085,-4.6464,-2.085,74.8725,-50.3723,246.975,-2.775,-57.8985,91.845,95.79,-28.314,-233.5875,67.2675,56.749,-4.11,-279.8251,38.3207,-80.025,-293.2351,-2.2869,147.4125,-1.1775,-8.2522,-104.67,-23.5125,-36.5057,122.85,-8.6925,-14.2538,154.3575,-46.9725,-55.4785,146.3475,-1.5075,-71.3779,170.835,-8.3475,107.1092,2.67,-34.0875,-10.3939,147.735,-4.23,-85.6438,147.7875,-21.585,-116.8376,101.67,-8.145,-24.5751,113.9625,-2.61,-29.9717,115.5675,-1.86,-7.5262,95.13,-3.0525,-25.773
1752756018.5073082,-0.12018382549285889,1.1234180927276611,-0.11669766902923584,-90.47755861714046,-4.674237067349105,179.21665073157436,0,-16.11,-3.4875,-2.2022,-29.7075,3.9075,-47.8313,76.395,70.56,-55.4059,92.04,2.685,-82.2921,73.0575,-2.085,-35.6224,151.365,2.8725,-73.6043,170.175,7.725,-34.6665,72.945,-1.26,-67.034,-79.9875,-9.2325,-5.687,168.84,-309.225,-56.5433,75.975,-206.835,-0.5929,147.4125,3.9225,61.9278,-133.92,52.9875,-38.4417,-30.75,2.1075,69.4782,143.5575,-53.1225,6.7155,148.1475,3.2925,25.6641,151.335,-8.7975,6.4372,150.87,-24.4875,-10.3939,171.735,-4.23,-85.6438,147.9375,-11.985,-21.9736,101.67,-12.795,-24.5751,109.1625,35.49,1.0043,77.1675,-6.66,-7.5262,80.73,-3.0525,47.795
1752756018.8711686,-0.14181280136108398,1.1243159770965576,-0.10408675670623779,-91.4158624068666,-4.3429631954862655,179.81370283156326,0,137.34,-2.2875,87.8218,-32.4075,-5.6925,12.4267,-77.205,-3.39,21.0661,78.39,-5.115,12.0879,76.6575,-1.485,-3.6784,0.465,-1.9275,-19.1543,151.275,-2.775,-34.6665,73.395,-1.11,25.894,-79.9875,-8.3325,56.265,3.09,-309.225,13.1527,78.375,-290.8351,28.4471,-5.4375,4.2225,-8.2522,-128.07,57.7875,27.8663,62.85,77.5575,38.0182,-10.0425,20.2275,6.4735,7.1475,-0.9075,17.6781,-1.665,-8.7975,6.4372,2.07,4.9125,-1.6819,-4.665,-1.53,-7.2358,115.3875,-21.585,-56.8216,-51.63,-16.545,-24.5751,-44.4375,16.44,-13.5157,-93.2325,24.69,-3.6542,-72.87,2.1975,32.549
