timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754580203.047999,0.022840231657028198,0.1753755807876587,0.10333538055419922,-90.15643944044741,-16.454549675083037,-179.8845122255637,-0.10175501582845949,0.700681963363771,-0.6989750448558125,-0.10062070132697062,-105.2,-17.0,-31.01,-92.6,37.6,-40.38,-64.0,-21.6,-33.92,-108.2,0.0,-23.26,-110.6,39.2,-18.73,-78.4,36.8,-47.16,-86.4,20.0,-48.45,-16.0,32.4,-63.95,-88.6,36.0,-13.89,-38.8,81.8,-63.95,-49.2,1.6,-88.5,-99.2,38.4,-50.39,-63.6,50.4,-49.42,-64.2,49.2,-42.64,-74.8,42.8,-65.89,-48.0,39.8,-25.84,-136.8,23.8,-40.7,-98.6,57.0,-85.27,-92.4,35.4,-36.82,-106.2,2.8,-48.45,-90.4,32.4,-49.1,-84.6,13.2,-43.61,-50.0,18.2,-61.05,-52.8,43.8,-52.65
1754580214.9184723,0.022799521684646606,0.17572784423828125,0.10319662094116211,-90.12961564407517,-16.43171753814047,-179.88388394596768,-0.10164313682121773,0.7005380790708989,-0.6991595973755789,-0.10045343158629305,-128.6,-65.4,799.75,192.4,15.2,164.73,32.2,-22.6,-39.08,-78.8,-2.8,-36.5,-134.6,386.4,322.03,105.6,187.2,47.16,-12.0,45.0,-56.2,9.4,35.6,-75.91,-101.0,165.4,9.04,-16.0,135.4,-23.58,-23.4,17.8,-73.32,-88.2,44.8,-47.8,-72.2,50.0,-50.07,-64.6,49.8,-42.64,-74.8,42.8,-66.54,-48.4,39.8,-25.52,-136.8,24.0,-40.7,-98.4,56.8,-84.95,-92.2,35.0,-36.18,-106.6,2.8,-48.45,-90.6,32.2,-49.42,-84.4,13.2,-44.57,-49.8,18.0,-61.05,-52.0,44.0,-52.33
1754580230.8436716,0.02279222011566162,0.17547118663787842,0.10340797901153564,-90.10418551395104,-16.46915811483175,-179.88722987069065,-0.10187338422576618,0.7003525625912556,-0.6992793295771864,-0.10068018938908072,-128.8,-65.0,801.69,192.6,15.0,165.38,32.4,-21.8,-38.76,-78.6,-2.6,-36.5,-134.4,386.2,322.68,104.8,186.6,47.16,-12.2,45.2,-56.2,9.2,35.4,-75.58,-101.2,165.6,8.4,-16.0,135.6,-22.93,-23.4,17.6,-73.32,-88.2,44.8,-47.48,-72.0,49.8,-49.42,-64.4,50.0,-42.64,-74.4,42.8,-67.18,-48.4,39.8,-25.19,-136.8,23.8,-40.05,-98.6,57.0,-85.27,-92.8,35.4,-36.5,-106.4,2.8,-48.45,-90.4,32.0,-48.77,-84.2,13.6,-44.25,-50.0,18.4,-60.72,-53.0,45.0,-52.65
1754580245.3094146,0.022838622331619263,0.17531049251556396,0.10346531867980957,-90.14651671616643,-16.468799928230524,-179.83871698256692,-0.1021305905588222,0.7005679885642714,-0.6990634490646587,-0.10041968238647815,-128.8,-65.4,800.39,192.6,15.0,164.73,32.2,-21.8,-38.76,-78.8,-2.8,-36.82,-135.2,386.2,322.35,105.0,187.0,47.48,-12.2,45.0,-55.88,9.4,35.2,-75.58,-101.0,166.0,9.04,-16.4,135.8,-23.26,-23.2,17.6,-73.32,-87.6,45.2,-47.16,-72.0,50.0,-50.07,-64.6,49.8,-42.64,-74.2,43.4,-65.57,-48.2,39.8,-25.84,-137.4,24.0,-40.05,-99.0,57.2,-84.95,-92.6,35.2,-37.15,-106.8,2.6,-48.77,-91.0,32.2,-49.1,-84.2,13.2,-44.25,-49.8,17.8,-61.37,-53.2,44.2,-51.36
1754580260.0156915,0.022802293300628662,0.17545640468597412,0.1033627986907959,-90.06692675234106,-16.468989601741136,-179.88802762709545,-0.101900219315858,0.7001260139639298,-0.6995064342902642,-0.10065089732679496,-128.6,-65.6,801.04,192.8,15.0,165.05,32.4,-21.8,-39.41,-78.8,-3.2,-37.47,-134.8,386.6,322.03,105.4,186.6,46.84,-12.2,44.4,-56.53,9.6,34.8,-75.26,-101.2,165.8,8.4,-16.0,136.2,-22.93,-23.4,17.6,-73.0,-88.0,45.2,-46.84,-72.4,49.8,-49.74,-64.0,50.0,-42.64,-74.2,43.0,-65.89,-48.4,39.8,-26.16,-137.2,24.0,-40.38,-98.4,57.0,-85.27,-92.4,35.4,-35.85,-106.4,2.8,-49.1,-90.8,32.6,-49.1,-84.4,12.8,-44.25,-50.0,17.8,-62.02,-52.4,44.2,-52.33
1754580272.9030943,0.022841960191726685,0.17552292346954346,0.10314357280731201,-90.03394161600488,-16.46705392095674,-179.86417082983533,-0.10206308876590925,0.699905130281452,-0.6997305560087727,-0.10046405986176636,-129.4,-65.4,801.36,193.2,15.4,164.73,32.2,-22.4,-39.08,-79.0,-3.0,-37.15,-134.2,386.6,322.68,105.2,186.8,46.51,-11.6,44.4,-56.2,9.2,35.2,-75.58,-101.0,166.0,8.72,-15.6,135.4,-23.26,-23.4,17.0,-73.32,-88.0,45.0,-47.16,-72.2,50.0,-49.74,-64.6,49.8,-42.31,-74.2,43.2,-66.54,-48.2,39.8,-24.87,-137.0,23.4,-40.05,-98.4,57.2,-85.27,-92.8,35.4,-36.18,-106.4,2.6,-48.45,-90.8,32.4,-49.74,-84.2,13.0,-44.25,-50.4,18.0,-60.72,-52.6,44.8,-52.97
1754580287.5263731,0.022855699062347412,0.17533981800079346,0.10337573289871216,-90.03942018164858,-16.459311587798187,-179.8644037314975,-0.102009574405577,0.6999456929773795,-0.6997036946232171,-0.10042305648766531,-128.6,-65.6,801.36,193.0,15.2,164.41,32.0,-22.2,-39.08,-78.6,-3.0,-36.82,-135.2,387.2,322.68,105.2,187.2,46.19,-12.0,44.8,-56.53,9.4,35.2,-75.58,-100.8,166.0,9.04,-16.0,135.6,-22.61,-23.8,17.2,-73.64,-88.0,45.0,-47.16,-72.0,49.8,-49.42,-64.6,49.8,-42.96,-74.4,42.2,-66.54,-48.6,39.2,-26.16,-137.6,23.8,-40.7,-98.4,57.6,-84.95,-92.4,35.2,-36.5,-106.2,2.8,-48.45,-90.8,32.4,-48.77,-84.8,12.8,-44.57,-50.0,17.6,-60.72,-52.6,44.0,-52.97
1754580301.0926478,0.022983014583587646,0.17538440227508545,0.10349863767623901,-90.09775626748092,-16.464712218248795,-179.85465198926576,-0.10205102372754005,0.7002882979054973,-0.6993510981346063,-0.10044847612595552,-128.8,-65.4,802.01,193.0,15.0,165.38,31.8,-22.2,-39.08,-78.6,-2.8,-36.5,-135.0,387.0,322.03,105.4,186.4,47.8,-11.8,44.6,-56.53,9.4,34.8,-75.58,-100.8,165.8,9.37,-15.8,135.4,-22.61,-23.6,17.4,-73.32,-88.4,44.6,-47.16,-72.0,50.2,-49.42,-64.2,49.8,-42.96,-74.4,43.4,-66.54,-48.0,39.8,-25.84,-137.0,23.8,-40.7,-98.8,57.2,-84.95,-92.8,35.4,-36.5,-106.6,2.8,-48.45,-90.6,32.2,-49.42,-84.0,12.8,-43.93,-50.4,17.4,-61.05,-53.0,44.4,-52.65
1754580315.2371945,0.022860854864120483,0.17540490627288818,0.1034613847732544,-90.09557604096085,-16.49404445076219,-179.79572923975192,-0.10259191041163286,0.7001961530746219,-0.6993903538614176,-0.10026623049367349,-129.4,-65.2,801.04,193.2,15.2,165.05,32.0,-21.8,-39.08,-78.6,-2.8,-36.82,-134.6,386.6,322.35,105.0,187.0,47.48,-11.6,44.6,-56.85,9.6,35.2,-75.58,-100.8,165.8,8.72,-16.4,136.0,-23.58,-23.2,17.4,-73.32,-88.2,44.6,-46.84,-72.4,49.8,-49.42,-64.2,50.0,-42.31,-73.6,42.8,-65.89,-48.4,39.4,-24.87,-137.2,24.2,-41.02,-98.4,57.0,-85.27,-92.6,36.0,-35.85,-106.6,2.8,-48.13,-90.4,32.0,-49.1,-84.4,13.2,-43.93,-50.4,18.0,-61.37,-52.4,44.2,-52.33
1754580328.6378222,0.02287888526916504,0.1751847267150879,0.10343670845031738,-89.98170692832632,-16.477458287812638,-179.90581934458586,0.10191814023983886,-0.6996138675060325,0.7000038909048104,0.1007354691320155,-128.6,-65.2,801.69,193.2,15.0,165.05,32.4,-22.0,-40.05,-78.6,-3.0,-37.15,-134.8,386.6,323.0,105.2,187.0,47.48,-11.8,44.8,-55.88,9.6,35.0,-75.58,-101.0,166.4,8.72,-16.4,135.8,-23.26,-23.0,17.6,-73.64,-88.6,44.8,-47.48,-72.6,49.8,-49.74,-64.6,50.0,-42.31,-74.2,43.2,-66.54,-48.4,39.8,-25.84,-137.8,23.8,-41.02,-98.6,57.0,-85.6,-92.8,35.2,-36.18,-106.4,2.8,-48.77,-90.6,32.0,-49.1,-84.6,13.2,-44.25,-50.0,17.8,-61.05,-52.8,44.4,-52.33
