timestamp,patch1_area_id,patch2_area_id,patch1_inference_enabled,patch2_inference_enabled,tracker1_pos_x,tracker1_pos_y,tracker1_pos_z,tracker1_rot_roll,tracker1_rot_pitch,tracker1_rot_yaw,tracker1_rot_quat_x,tracker1_rot_quat_y,tracker1_rot_quat_z,tracker1_rot_quat_w,tracker2_pos_x,tracker2_pos_y,tracker2_pos_z,tracker2_rot_roll,tracker2_rot_pitch,tracker2_rot_yaw,tracker2_rot_quat_x,tracker2_rot_quat_y,tracker2_rot_quat_z,tracker2_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754655037.4247117,0.0,0.0,0.0,0.0,0.13204610347747803,1.2995327711105347,-0.0966774970293045,70.88876806692555,-74.87390421467316,19.840793332311055,0.538897539465113,-0.408500175646778,0.4586941545545349,0.5764690812096682,-0.05696117877960205,1.2797608375549316,-0.07787458598613739,-99.75875708495509,6.366034258514502,-176.82541922795238,0.014617742978432012,0.7642079518151371,-0.6419816933495266,0.060265746626710616,-129.6,-72.8,-27.78,-133.8,73.8,-31.33,-76.6,10.8,-22.29,-88.6,41.0,-16.15,-102.8,24.2,48.13,-106.2,43.0,-35.85,-95.4,31.2,-29.39,-12.0,39.0,-44.57,-111.0,19.0,-4.2,-94.6,47.4,-9.37,-70.2,-3.2,-44.9,-107.4,44.0,-21.0,-82.8,-4.0,-28.42,-89.4,9.4,-17.44,-94.8,30.0,-41.67,-94.2,39.2,-31.01,-145.6,3.0,-21.32,-111.2,41.6,-64.28,-102.2,24.6,-15.5,-117.6,-4.0,-30.69,-97.6,25.2,-34.88,-93.0,8.6,-28.42,-59.2,16.6,-43.93,-58.0,47.4,-35.53
1754655042.4973814,0.0,0.0,0.0,0.0,0.15038156509399414,1.2972666025161743,-0.10296456515789032,64.28137355531774,-80.2684052151192,21.744489058913278,0.5023804248931983,-0.45927958337412433,0.4588675983534032,0.5710661722300835,-0.027357161045074463,1.2842366695404053,-0.09021268784999847,-100.07298059089918,3.8381754391714598,179.81200690635546,0.02276607210746639,0.7659874418249525,-0.6419805423445155,0.02461392177124654,-130.8,-73.8,-25.52,-133.4,73.6,-30.04,-75.8,10.4,-20.35,-87.4,40.6,-15.18,-103.6,24.0,51.68,-106.0,42.6,-34.24,-95.0,31.4,-29.72,-11.8,40.4,-44.57,-111.6,19.0,-3.88,-94.4,47.4,-9.37,-70.2,-2.6,-43.93,-108.0,43.8,-20.35,-83.0,-3.0,-28.42,-89.8,10.2,-17.77,-95.0,30.6,-40.7,-94.2,39.8,-29.07,-146.2,4.0,-21.32,-111.8,42.2,-63.95,-102.0,25.2,-14.86,-117.8,-3.2,-30.36,-98.0,25.6,-35.85,-93.4,9.4,-28.1,-59.4,17.6,-43.93,-58.6,48.0,-36.82
1754655047.5814402,0.0,0.0,0.0,0.0,0.14212560653686523,1.303030252456665,-0.11799125373363495,55.75234278207466,-80.43685369321815,32.65830869209959,0.5031001152527943,-0.44737275141668237,0.4795028070681439,0.5628719830056754,-0.02924579381942749,1.2923078536987305,-0.10969676077365875,-97.84651442909671,3.65305417265437,177.7903059889353,0.03546722538436034,0.7529032265927775,-0.6570766030651128,0.0113595472075214,-130.4,-73.6,-25.84,-134.0,74.0,-29.72,-76.8,11.0,-20.35,-88.8,41.6,-14.86,-103.4,24.6,50.07,-106.6,43.0,-35.53,-96.0,32.0,-30.04,-12.8,41.4,-45.22,-111.0,19.4,-4.85,-94.6,47.2,-9.04,-70.8,-2.4,-44.57,-108.4,44.2,-20.03,-82.4,-3.4,-29.07,-90.2,10.2,-17.77,-95.4,30.8,-41.34,-94.6,40.4,-30.04,-145.8,3.6,-21.96,-111.6,42.0,-64.6,-102.4,25.2,-15.83,-117.8,-2.8,-31.33,-98.0,25.4,-35.21,-92.8,8.4,-28.42,-60.2,17.2,-44.57,-58.6,47.4,-36.82
1754655052.655388,0.0,0.0,0.0,0.0,0.13758736848831177,1.3122243881225586,-0.122499480843544,59.455097524539745,-80.9080791305291,27.887937126304195,0.5019817227063856,-0.4559173318369591,0.471493031983302,0.5637800021101991,-0.010405302047729492,1.306166410446167,-0.115146204829216,-96.3292637127005,3.567091162930971,176.41453460633426,0.04404641883091516,0.7436895054369306,-0.6670684596491411,0.002321734660731658,-130.2,-73.0,-26.81,-133.4,73.6,-31.01,-77.2,11.2,-21.0,-88.4,41.6,-14.86,-102.6,24.0,49.1,-106.6,43.8,-36.82,-96.0,32.6,-31.65,-13.4,40.8,-45.87,-109.8,19.0,-5.49,-93.8,47.6,-11.31,-70.8,-2.4,-45.54,-108.6,44.2,-21.0,-81.8,-3.0,-28.75,-89.8,10.2,-19.06,-95.4,30.2,-42.31,-95.6,40.0,-31.01,-145.2,3.6,-22.61,-111.0,41.6,-65.57,-102.6,24.6,-17.12,-118.0,-3.8,-31.65,-96.6,24.6,-36.18,-92.6,8.4,-28.1,-60.0,16.2,-45.54,-59.2,47.2,-37.79
1754655057.736476,0.0,0.0,0.0,0.0,0.1286662220954895,1.3171460628509521,0.018460825085639954,66.32076636223857,-77.53484498183131,26.071810493087447,0.5337259209051416,-0.4144792232436893,0.48090101213860614,0.5586391510552822,-0.03904980421066284,1.3099089860916138,0.013927116990089417,-94.32298316031556,-8.491310329326458,178.75615492830482,-0.04239712687853636,0.7317640885735733,-0.6774391764462053,-0.06164313138287811,-129.6,-73.2,-27.46,-133.4,74.2,-31.01,-77.2,11.4,-21.64,-89.0,41.6,-15.18,-102.0,24.8,47.48,-106.4,44.0,-37.79,-96.6,33.4,-32.3,-14.4,42.6,-47.16,-109.4,19.4,-6.14,-93.0,47.6,-12.6,-70.4,-2.6,-47.16,-108.4,44.2,-22.61,-81.8,-4.0,-28.42,-88.6,9.6,-18.09,-93.4,29.8,-41.34,-92.2,40.0,-32.62,-145.4,5.0,-19.7,-109.8,43.2,-61.69,-99.2,26.0,-14.86,-113.4,-3.4,-31.65,-97.0,27.0,-32.95,-90.8,9.6,-25.84,-55.0,17.4,-42.96,-53.8,46.8,-38.76
1754655062.8233685,0.0,0.0,0.0,0.0,0.1446298360824585,1.3225440979003906,-0.015870913863182068,64.30615435611243,-73.02555978065077,21.0606586077901,0.5125873435172783,-0.41709230309123524,0.4356745486176781,0.6111266806695042,-0.0005438923835754395,1.2801231145858765,-0.019384264945983887,-94.67602606004817,-12.538830572360233,-172.5333322064429,-0.12144255831456165,0.7245966140312322,-0.6774183643177362,-0.03627285483088422,-128.4,-75.0,-21.96,-129.8,72.2,-26.81,-72.0,10.0,-20.03,-83.6,40.8,-16.47,-104.0,23.2,57.17,-102.0,42.4,-30.04,-90.4,31.0,-27.13,-7.4,39.8,-46.84,-110.8,20.4,0.32,-91.6,47.6,-6.14,-66.0,-2.4,-43.28,-103.4,44.4,-22.29,-81.8,-2.2,-23.9,-87.2,11.0,-14.54,-90.6,31.0,-39.73,-89.6,40.4,-31.65,-144.8,5.4,-18.41,-108.6,43.2,-61.05,-98.4,25.6,-14.86,-113.8,-3.6,-32.62,-97.0,26.8,-32.62,-90.8,9.4,-26.16,-56.6,18.4,-42.96,-55.2,47.8,-37.79
1754655067.8982394,0.0,0.0,0.0,0.0,0.1494046449661255,1.299791693687439,-0.017836108803749084,74.64124172563663,-74.69637720670687,13.425473148635735,0.5350562001976505,-0.42280222549066165,0.4391781578928597,0.5848722518026581,0.004081249237060547,1.2955271005630493,-0.022325098514556885,-92.56515315140385,-13.006000439962937,-176.11964172195658,-0.10253831304292232,0.7150451061933233,-0.6890332631884653,-0.05856166732782095,-130.0,-75.2,-22.93,-130.8,72.2,-27.46,-72.4,10.2,-19.38,-84.2,41.4,-15.83,-104.2,23.8,55.88,-102.4,42.6,-30.36,-91.2,32.2,-27.78,-8.2,40.8,-46.51,-110.8,20.8,0.0,-91.6,48.6,-6.46,-66.6,-2.0,-41.99,-103.8,44.6,-21.64,-82.0,-1.8,-24.23,-87.6,11.8,-13.89,-90.8,32.0,-39.08,-89.2,41.2,-31.01,-145.0,6.2,-18.41,-109.0,44.0,-61.05,-98.2,26.6,-14.54,-113.2,-3.0,-32.95,-97.0,27.0,-33.59,-90.8,10.0,-26.49,-56.4,18.4,-43.93,-54.8,47.8,-38.11
1754655072.9768493,0.0,0.0,0.0,0.0,0.1442781686782837,1.2975635528564453,-0.022993817925453186,74.46957274633824,-75.67517133432449,13.62756395280998,0.5324340195948348,-0.42824144466382874,0.44315057961364934,0.5802936667270924,-0.005467414855957031,1.2946888208389282,-0.028923198580741882,-92.43287893667771,-13.01068493487472,-176.64459626744852,-0.0993607095431327,0.7147076619220816,-0.6895808599580213,-0.06163235170924842,-130.0,-74.4,-21.0,-131.6,72.4,-25.52,-72.8,11.0,-18.09,-84.2,42.0,-14.54,-104.6,24.0,57.49,-102.6,43.0,-29.72,-90.4,32.6,-27.46,-7.4,41.0,-45.22,-111.6,21.4,0.32,-91.8,48.8,-5.17,-66.4,-1.8,-41.67,-103.8,45.0,-21.64,-82.2,-1.4,-25.19,-87.8,11.8,-14.21,-91.0,31.8,-39.08,-90.2,40.8,-31.01,-145.4,5.8,-19.06,-109.0,43.8,-61.37,-99.0,26.4,-14.54,-114.0,-2.8,-31.98,-97.4,26.8,-32.62,-91.4,10.4,-25.84,-56.4,18.6,-42.96,-55.4,48.2,-38.44
1754655078.0535219,0.0,0.0,0.0,0.0,0.14858251810073853,1.2902655601501465,-0.018571987748146057,75.98823932883941,-75.8768143489936,12.546265638657163,0.5355267829315822,-0.4285689323047646,0.44411506457967304,0.5764559118414805,0.0003821849822998047,1.2849009037017822,-0.023979216814041138,-93.36333730409496,-13.200337104374494,-176.23554577739375,-0.10255043955336787,0.7197514261844911,-0.6838832299424282,-0.06119581122189891,-130.8,-74.6,-22.29,-131.8,72.2,-25.84,-73.2,10.4,-17.77,-84.2,41.2,-13.89,-104.6,24.0,57.17,-103.2,42.8,-30.04,-91.4,32.0,-26.81,-7.8,41.6,-44.9,-111.4,21.4,0.0,-92.0,49.0,-4.85,-66.6,-2.0,-41.34,-103.4,44.8,-20.35,-82.6,-1.2,-24.55,-87.6,12.0,-13.24,-90.6,31.8,-38.44,-89.4,41.6,-30.36,-145.4,6.4,-18.73,-109.4,44.2,-61.37,-98.6,26.8,-14.54,-113.4,-2.4,-31.65,-97.2,27.8,-32.95,-90.6,10.8,-25.84,-56.4,18.6,-42.64,-55.2,48.8,-37.79
1754655083.127039,0.0,0.0,0.0,0.0,0.15085244178771973,1.289520025253296,-0.016134485602378845,74.46474467537107,-75.07276340972409,13.208608256354696,0.5323909518391721,-0.4266898528498029,0.43880175263574644,0.5847636902865688,-0.003445267677307129,1.2870204448699951,-0.021478325128555298,-93.22849192176707,-12.841442256769625,-177.5201131790595,-0.09242532484052413,0.7203556440407491,-0.6841970061400579,-0.06648068927732437,-130.8,-75.2,-21.64,-132.4,72.2,-24.87,-73.2,10.4,-17.12,-84.2,41.8,-13.89,-104.4,23.2,57.82,-104.2,43.0,-30.69,-91.8,32.6,-26.81,-7.8,40.8,-44.9,-111.6,21.4,-0.97,-92.6,48.2,-5.81,-67.2,-1.8,-41.67,-103.6,45.0,-20.35,-82.4,-1.6,-24.55,-88.4,11.8,-13.57,-91.0,32.0,-38.11,-89.8,41.4,-30.69,-145.0,6.2,-18.41,-109.4,44.2,-61.37,-98.6,26.6,-14.86,-113.6,-2.4,-31.98,-97.0,27.4,-32.62,-90.8,10.4,-26.16,-56.2,18.6,-42.31,-55.0,48.6,-37.47
