timestamp,pos_x,pos_y,pos_z,rot_roll,rot_pitch,rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1752676082.5094533,0.3122420907020569,1.1031763553619385,-0.673170804977417,73.35469195188963,0.8379830127387518,-19.16045908340178,42.42,-3.135,21.8526,-26.085,-18.0675,82.3526,9.6075,-6.12,48.5936,9.0075,-2.4075,-6.6066,-2.4825,-12.1425,8.2522,2.055,-18.9225,1.3431,-1.35,2.2575,6.6187,-9.0,7.77,12.1484,-5.25,19.185,-16.093,10.1025,-39.5475,1.1374,60.3375,-5.6175,-21.0056,-7.2075,-20.8125,10.8658,-4.2225,-32.3475,16.456,-4.4025,-4.905,-5.1546,-3.48,-13.0725,9.7042,-14.655,-2.85,16.698,34.1775,19.8225,-35.1989,-33.645,80.19,-11.4708,-29.085,3.2925,-69.4782,28.9875,3.375,24.6235,-2.5875,43.905,-5.3361,-1.665,61.455,-10.5391,18.75,47.28,-7.9134,49.2,-3.165,18.3557
1752676082.8713052,0.31084829568862915,1.1029860973358154,-0.6857061386108398,78.47276410150006,9.51404424629386,-16.873787869646023,45.42,-0.435,-11.5434,-35.085,-5.9175,64.6866,3.0075,-6.12,27.2976,9.4575,0.5925,-82.5946,-4.8825,-16.3425,14.0602,3.855,-18.9225,53.6151,-10.35,-2.6925,6.6187,-28.05,3.12,13.1164,14.55,-52.815,-2.541,17.3025,39.6525,0.8954,60.0375,-5.4675,9.9704,-2.1075,47.4375,-22.7722,-4.2225,-27.5475,12.584,-5.0025,3.795,9.3654,63.72,-2.2725,9.7042,-14.655,-1.65,31.702,26.6775,22.2225,-17.7749,-34.245,75.39,19.5052,14.115,-1.3575,22.9658,28.9875,3.375,22.6875,-2.5875,43.905,-3.4001,-1.515,56.505,-9.5711,11.55,37.68,7.5746,-22.8,-3.165,22.2277
1752676083.2344077,0.30555635690689087,1.0986568927764893,-0.7007647752761841,80.85377032741003,17.594797470132352,-15.704916477095198,119.22,6.465,50.4086,40.515,-18.0675,67.1066,-2.3925,-4.62,18.8276,3.9075,8.9925,12.2694,-4.4325,-17.5425,-1.1858,69.555,-18.9225,22.6391,65.85,-1.9425,18.2347,48.6,-1.83,14.0844,-0.45,-48.015,-18.029,-0.0975,37.2525,0.6534,-13.1625,-5.6175,9.9704,2.3925,-28.1625,-20.1102,0.5775,-22.7475,12.584,-5.0025,-4.755,-3.9446,63.72,-10.6725,-13.5278,42.945,-2.85,16.94,-28.5225,22.2225,11.7491,-33.045,78.99,4.0172,9.915,-1.6575,6.9938,-9.4125,-1.425,26.5595,-2.5875,44.505,-5.0941,-1.665,61.305,5.4329,16.5,38.58,-8.8814,49.2,-3.165,18.5977
1752676083.5975134,0.3016512989997864,1.0976738929748535,-0.7162899971008301,90.30158358927868,23.149184916238912,-11.67282232667685,-24.78,-3.135,-27.0314,59.715,-17.9175,64.6866,-2.3925,-6.12,46.6576,-3.5925,1.1925,16.6254,72.2175,-17.3925,-62.8958,69.255,-14.1225,-70.5309,68.55,8.1075,10.4907,53.4,0.72,12.1484,9.45,-43.215,14.641,-3.0975,38.4525,0.6534,61.2375,-5.6175,9.9704,-4.8075,-29.2125,-4.6222,-4.2225,-32.3475,13.552,-5.0025,-0.105,-6.1226,-13.08,64.1775,9.7042,-21.255,-2.85,15.972,-33.0225,17.4225,26.7531,-30.645,80.19,-7.5988,-27.735,8.5425,22.4818,31.3875,-1.425,38.6595,0.4125,43.905,2.4079,3.135,56.655,5.4329,16.35,37.98,-1.1374,-27.0,-3.015,18.5977
1752676083.9602966,0.2969406247138977,1.0956535339355469,-0.730035662651062,89.86413565547427,2.676876167544283,0.09848402917686987,120.12,-3.135,-34.7754,61.965,-8.3175,-28.2414,16.8075,-4.92,11.8096,8.1075,-2.7075,10.3334,81.9675,-14.8425,-16.9158,60.555,-17.7225,26.2691,78.0,-0.2925,7.1027,-13.8,-1.83,12.6324,-5.25,-57.615,12.947,73.7025,37.2525,-30.3226,-16.6125,-5.6175,-18.8276,-5.8575,49.8375,-15.5122,-3.0225,-17.9475,-2.904,-5.0025,-9.705,2.1054,-13.08,-11.7225,11.6402,-14.655,-2.85,15.972,-33.3225,17.4225,-3.7389,-27.045,87.54,-3.4848,-28.785,-1.6575,-8.4942,28.9875,9.375,22.6875,-0.7875,44.805,2.4079,-1.665,56.655,4.9489,16.35,40.08,24.0306,49.2,-3.165,18.8397
1752676084.3232741,0.2956603169441223,1.0960298776626587,-0.7355434894561768,80.39569798206774,-12.306247544841076,0.31853163172746,-34.38,2.865,-11.5434,-12.435,-18.0675,-27.2734,151.2075,-6.12,44.7216,-6.2925,6.5925,-4.6706,-4.5825,-17.2425,-63.3798,-17.145,-17.7225,37.8851,85.05,-1.4925,-55.3333,-16.8,-0.63,12.3904,-4.95,-57.465,43.923,78.5025,37.2525,-13.8666,-16.1625,-3.2175,10.6964,-7.2075,48.0375,7.9618,-4.0725,-31.7475,16.456,-5.0025,67.095,-4.1866,66.12,64.0275,10.4302,43.245,7.2,0.484,-33.3225,21.0225,-2.2869,-34.095,75.39,-11.4708,9.315,3.1425,-6.3162,33.7875,-1.425,22.6875,-2.5875,43.905,-5.3361,-1.665,57.705,-10.5391,16.35,37.68,-8.8814,54.15,-3.165,20.2917
1752676084.686359,0.30166536569595337,1.0959373712539673,-0.763018012046814,89.14396489376414,-20.143563728126935,1.7016400948962953,-34.23,9.465,-41.5514,-31.635,-8.4675,65.1706,-2.3925,-4.77,43.7536,-6.2925,4.4925,26.0634,4.7175,-17.5425,-55.6358,-17.145,-9.0225,-8.5789,65.85,-2.6925,6.6187,48.6,-1.83,23.7644,5.55,-56.715,12.947,78.6525,37.2525,4.5254,-7.0125,-5.6175,-20.0376,-7.0575,48.6375,-16.2382,0.5775,44.4525,-16.456,-5.0025,67.095,26.7894,64.92,64.9275,-21.2718,43.545,-0.45,-6.292,-33.3225,18.0225,26.7531,-33.645,75.39,-11.4708,-29.085,12.8925,8.9298,29.5875,2.775,22.6875,-2.5875,48.705,-5.3361,8.835,60.105,-18.2831,-60.15,37.68,-8.8814,68.4,6.435,-74.5723
1752676085.0503871,0.3147379755973816,1.0969617366790771,-0.7863941192626953,89.50257361037649,-19.568503175363503,1.6871671819344463,61.62,-2.985,3.9446,40.365,1.1325,-24.3694,84.0075,-5.82,42.7856,-1.4925,6.5925,16.6254,-4.8825,-15.1425,0.5082,59.955,-18.6225,-8.3369,65.85,16.5075,6.6187,49.8,-1.23,12.1484,71.55,19.335,51.667,74.9025,-39.5475,-90.3386,2.4375,72.3825,-20.0376,69.5925,57.1875,-23.4982,-3.0225,45.0525,-46.948,14.1975,-9.705,-4.1866,-13.08,63.7275,9.7042,62.145,-1.95,16.94,-33.3225,17.4225,-35.1989,-34.245,75.54,-10.5028,-27.885,3.4425,-8.4942,29.5875,-1.275,22.9295,16.6125,63.105,-5.3361,-0.465,56.805,-26.0271,35.55,59.58,-8.8814,73.35,-3.165,2.8677
1752676085.4122734,0.31972557306289673,1.0982192754745483,-0.8085583448410034,89.93025072437912,-19.90397661348423,0.6487229463345989,52.17,-3.135,25.2406,-36.435,-17.4675,64.6866,151.2075,-5.52,-36.1064,3.6075,10.1925,10.3334,-4.8825,-17.3925,29.5482,62.055,-15.9225,-70.5309,-10.95,-2.6925,22.1067,-27.0,12.57,-3.3396,84.75,19.185,43.923,76.1025,-38.9475,9.1234,2.4375,71.1825,-21.0056,74.3925,-28.7625,-13.3342,-4.2225,45.6525,13.068,-5.0025,68.295,9.3654,-12.78,64.9275,-35.7918,62.445,-1.65,15.972,-31.9725,17.4225,-3.9809,5.355,75.39,4.0172,-19.485,-1.6575,-3.6542,-47.6625,-1.425,7.1995,111.4125,43.905,-3.4001,-1.665,56.505,4.9489,-54.75,37.68,-5.0094,-22.65,-0.765,-12.6203
1752676085.775923,0.3257041573524475,1.096146821975708,-0.8314030170440674,90.32115193211135,-21.112123480258564,1.1301191440384428,119.82,-0.735,34.9206,-36.435,-17.9175,-12.7534,-1.7925,-6.12,27.2976,13.6575,-3.0075,18.0774,148.8675,-16.9425,-63.3798,-17.145,-17.7225,-69.5629,-0.15,-1.9425,-54.3653,48.9,-1.83,-80.7796,71.55,19.185,44.407,-3.0975,37.2525,-88.4026,-11.9625,72.5325,-21.0056,79.1925,-2.9625,-43.3422,-1.8225,44.4525,28.314,-5.0025,71.895,-6.1226,-12.93,64.9275,-52.2478,-33.855,-2.85,15.972,-28.5225,39.3225,-35.1989,-14.745,76.14,-10.9868,14.115,17.5425,-3.4122,-47.2125,17.775,24.6235,-2.5875,63.105,-3.4001,3.135,92.505,8.8209,-60.15,59.28,-8.8814,-27.6,-3.165,-12.6203
