timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,actuator_on,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1752754836.3458312,0.03265941143035889,1.1187548637390137,-0.03145492076873779,0,26.4525,2.2425,24.5872,-5.355,-2.085,53.9902,52.5225,15.6075,-75.7097,-1.335,-1.5,-4.2713,19.905,-4.395,-2.057,137.6025,-5.4375,24.8292,-2.7375,-3.4275,-14.1933,-80.1825,2.445,58.3946,-231.3825,72.9,18.8881,-4.8075,-304.9726,72.3217,-37.6875,-309.2401,-4.8642,-3.84,-4.9425,-1.452,-135.93,-311.9551,52.5261,-8.61,-4.23,-15.5848,-10.2225,56.5725,12.6324,-8.355,-3.975,4.235,1.095,5.9325,-28.6165,-34.44,-2.025,-15.0645,-26.5125,7.56,31.0486,-6.315,-2.505,-71.269,-20.8425,37.935,-6.0742,-3.6825,17.055,26.2328,-32.4225,8.3775,6.6066,-3.1875,6.225,20.3038
1752754836.707969,-0.052300870418548584,1.0821058750152588,-0.11292719841003418,0,98.4525,85.6425,-5.4208,-12.705,-2.085,-37.4858,-31.4775,7.3575,20.8483,-25.935,-15.3,2.5047,0.705,-4.395,-0.121,-15.3975,-5.4375,9.3412,74.2125,-4.0275,-68.4013,-80.1825,-1.455,-46.1494,-230.4825,1.2,-11.8459,-4.8075,74.3775,-20.6063,-38.2875,74.46,35.7918,15.36,73.6575,-5.324,-154.23,76.245,-8.6999,68.19,302.67,-46.5608,66.8775,56.5725,12.6324,72.795,73.125,-80.949,-37.905,72.2325,17.8475,-14.34,93.975,-5.8685,-14.3625,-2.04,-46.3914,122.685,-2.505,-34.485,132.6075,17.835,489.7838,149.9175,113.055,-20.2312,103.6275,94.7775,-8.6394,143.8125,83.025,-65.1222
1752754837.0712965,-0.06280004978179932,1.0877853631973267,-0.1086345911026001,0,98.6025,87.5925,-36.3968,-14.955,78.315,-37.4858,119.7225,6.1575,-12.0637,51.615,72.9,-9.1113,-76.095,-4.395,-3.993,-1.5975,-5.4375,-83.5868,171.1125,83.5725,-76.1453,-78.9825,2.295,-46.1494,-231.6825,5.7,-14.5079,-0.0075,-2.5725,-19.3963,-38.8875,-2.34,-2.9282,-3.84,13.6575,4.598,-155.13,-2.205,52.2841,11.79,302.67,-11.7128,-5.4225,286.9725,14.5684,0.795,-3.975,-80.949,-37.905,-4.8675,-26.6805,-15.54,36.375,-9.9825,-16.3125,-1.44,-61.8794,-26.715,7.245,-73.205,-11.3925,-1.965,489.5418,1.1175,55.455,-15.3912,-31.2225,-3.6225,6.8486,-10.3875,15.825,-34.1462
1752754837.4348528,-0.08794033527374268,1.0826404094696045,-0.120777428150177,0,108.0525,75.4425,-37.3648,5.295,79.515,-39.4218,131.1225,73.9575,-67.9657,72.465,52.2,-86.5513,-76.095,15.705,-58.201,138.2025,-3.0375,-67.1308,-2.2875,72.7725,-75.9033,-70.5825,6.945,-38.4054,-226.8825,-3.9,-14.7499,-4.8075,-1.9725,-20.3643,-38.8875,-2.34,62.1698,-3.84,-5.5425,-4.356,-154.23,-235.605,-1.9239,-5.91,75.87,-15.5848,-5.4225,286.9725,13.3584,-4.005,74.175,-78.771,-33.105,71.9325,103.5155,-34.74,-1.425,0.4235,-15.7125,-2.04,63.4766,-28.515,7.695,54.571,-20.9925,-0.165,613.4458,-2.1825,94.455,104.1568,-51.1725,73.1775,8.3006,-9.7875,73.425,-72.3822
1752754837.799934,-0.12429642677307129,1.0807856321334839,-0.1336471438407898,0,98.4525,1.1925,-37.3648,157.845,-2.085,-30.7098,-33.7275,74.4075,-72.0797,79.665,52.5,-90.4233,-76.095,-4.095,-62.073,161.6025,5.3625,-83.5868,151.0125,72.7725,-76.1453,73.4175,76.545,-46.1494,-58.8825,92.1,48.1701,235.7925,-232.9725,-20.6063,114.8625,-232.74,57.0878,151.11,-5.5425,24.684,-59.13,-235.755,-9.4259,68.19,72.27,-69.7928,143.6775,-15.4275,-49.3196,145.095,-3.825,-80.949,115.695,-1.2675,-24.7445,118.86,-2.025,-14.8225,136.6875,36.36,-61.8794,161.085,-1.605,-73.205,-17.9925,41.235,-6.0742,149.9175,19.455,104.1568,139.6275,34.7775,-8.3974,143.8125,-0.975,-57.3782
1752754838.1639192,-0.13038349151611328,1.090588092803955,-0.11086046695709229,0,-54.5475,-1.3575,24.8292,-13.305,-2.085,-39.4218,-32.9775,-1.1925,-13.9997,51.615,-25.5,-5.2393,77.505,-4.395,-3.993,-15.9975,-5.4375,-71.9708,152.0625,-3.4275,-43.4753,75.8175,-2.655,19.1906,-77.4825,-3.15,50.5901,148.7925,-230.5725,-18.4283,117.7125,-309.5401,103.7938,-3.84,-5.5425,56.628,-133.83,-235.755,52.2841,-8.61,72.27,-77.5368,146.0775,56.7225,17.4724,145.095,-3.975,-15.125,116.895,35.9325,-24.2605,128.46,36.375,-15.0645,127.0875,10.26,-61.8794,122.085,35.895,-73.205,142.5075,36.435,-4.1382,151.1175,56.655,-19.2632,101.2275,-3.6225,-8.8814,143.8125,-3.225,-72.8662
1752754838.527618,-0.16553497314453125,1.0893237590789795,-0.10449624061584473,0,-53.9475,-1.3575,28.4592,138.945,-2.085,-31.6778,-33.8775,-3.5925,-75.9517,50.265,-20.7,-31.8593,77.805,-4.395,-65.945,-15.9975,-5.4375,-83.5868,6.7125,5.5725,16.7827,73.4175,-2.505,-36.4694,-68.4825,-1.5,-14.7499,148.7925,-232.9725,42.3137,121.9125,-309.5401,10.6238,-3.84,4.0575,-6.292,-145.83,-230.955,-5.7959,-8.61,82.02,-77.0528,-0.6225,56.5725,14.5684,144.945,2.325,-72.963,118.695,33.5325,2.3595,121.26,41.175,-15.0645,128.2875,-1.44,7.8166,-31.515,7.095,27.467,132.9075,36.735,-2.2022,-1.2825,17.055,10.7448,-52.0725,-2.2725,6.6066,-10.3875,-3.375,20.0618
1752754838.8908436,-0.19470429420471191,1.0966081619262695,-0.10244542360305786,0,98.6025,-1.3575,-6.3888,-10.305,7.515,53.5062,-33.8775,-3.2925,-13.9997,57.465,-25.5,-36.2153,-76.095,-3.645,-2.057,-15.9975,-5.1375,-71.9708,-2.8875,5.5725,-75.1773,-60.9825,6.945,15.8026,-230.4825,10.5,-14.2659,73.1925,-232.9725,45.7017,-38.2875,-226.74,-1.9602,75.96,71.2575,-5.324,-136.23,-235.755,63.9001,-8.61,72.27,-5.9048,-5.4225,57.9225,-48.3516,-8.805,-3.975,-18.029,-37.755,0.5325,-28.6165,-34.74,0.675,-15.0645,-24.4125,-0.84,1.0406,-31.515,-2.505,-7.139,-20.9925,-1.965,-0.9922,-3.3825,27.255,-2.3232,24.4275,-0.3225,-8.8814,-8.5875,-3.375,-10.9142
1752754839.254503,-0.2058955430984497,1.0938454866409302,-0.117137610912323,0,22.5525,-1.3575,36.2032,-13.755,7.665,22.5302,42.9225,-2.0925,-5.7717,-4.485,-25.5,-5.2393,21.105,-4.395,-65.945,80.0025,-5.2875,-21.6348,74.5125,-4.0275,-44.2013,-79.8825,17.145,15.8026,-231.6825,81.3,47.2021,73.1925,-299.8726,41.3457,-26.8875,-309.5401,-4.8642,-1.44,72.0075,-6.05,-154.23,-235.1551,-5.7959,-8.01,72.27,-15.5848,0.5775,56.7225,-49.3196,87.195,24.825,-17.061,-33.105,-4.5675,-26.6805,-34.74,17.175,-15.0645,-25.3125,0.36,0.5566,45.885,16.995,27.467,-20.8425,-0.765,75.2378,-3.6825,36.255,-12.4872,-52.3725,-3.6225,-8.8814,66.4125,1.425,21.2718
1752754839.6182046,-0.1987476348876953,1.09428870677948,-0.1093868613243103,0,98.4525,-1.3575,24.5872,61.695,-2.085,22.5302,119.7225,-3.5925,-75.9517,-7.335,-25.05,-4.7553,3.405,-4.395,-3.509,-10.8975,-5.4375,17.0852,73.9125,15.1725,16.7827,-3.3825,-2.355,15.8026,-154.5825,72.9,47.2021,71.9925,-307.0726,56.8337,-37.6875,-230.34,-4.8642,20.76,-3.1425,56.386,-155.43,-235.755,21.3081,-7.71,77.07,-15.1008,68.3775,58.0725,-36.9776,-8.805,-3.975,12.705,-37.905,-4.7175,-24.7445,-32.34,17.175,-5.3845,-7.3125,-1.74,15.5606,64.485,-2.055,21.175,79.9575,0.435,-2.6862,-3.6825,19.455,10.7448,-52.3725,-2.2725,-7.9134,81.1125,2.625,21.0298
