timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753081987.3533027,1.0804284811019897,-0.3167755603790283,-1.2560518980026245,115.30581679384554,20.866139146131975,-9.318189710043614,40.65,0.195,-11.6886,-5.16,-4.05,-7.623,25.275,-5.73,12.4388,-8.9625,7.8375,4.114,2.595,-2.985,14.4595,-19.53,2.685,37.4737,5.235,-1.575,29.1247,1.0875,-3.96,19.4931,16.7925,-38.0925,-9.7042,-3.7275,-37.35,-49.5132,12.6225,6.7125,10.5633,1.7325,-47.7225,-18.9244,-0.2025,-1.4025,5.7233,-2.16,4.7925,12.7171,-2.9025,-20.8875,8.0102,-7.08,-4.4025,11.495,10.005,7.8525,-9.2928,27.6825,-2.22,13.673,-5.5425,-0.9375,17.2788,28.62,-2.0025,28.0841,-4.74,10.845,5.5902,-18.705,-4.7625,-17.2425,-2.2575,-4.7025,1.4762,-4.35,4.9125,6.0984
1753081987.7154453,1.0708775520324707,-0.3147010803222656,-1.2482476234436035,114.33726665451844,18.495247578415853,-12.055225186048816,-45.75,3.195,-17.4966,6.84,-1.5,-7.623,20.475,8.52,11.2288,1.9875,-4.9125,-92.928,22.095,-3.135,14.4595,-28.53,-2.265,33.6017,0.135,3.225,-8.6273,-0.2625,6.39,20.4611,-1.5075,-37.4925,-16.4802,-6.1275,-35.1,25.9908,0.6225,4.4625,9.5953,6.5325,-33.4725,10.5996,-2.4525,-6.8025,9.5953,-3.06,-4.8075,21.4291,10.1475,-11.1375,13.8182,-7.08,-4.4025,11.495,5.205,-4.1475,26.0392,-1.4175,-2.07,10.527,12.4575,7.6125,-12.9712,9.42,-2.7525,20.3401,-4.44,-3.555,-9.8978,-18.705,-3.5625,14.7015,-6.4575,-3.5025,-6.2678,-5.7,-3.4875,6.0984
1753081988.07832,1.080275297164917,-0.3178187608718872,-1.2488192319869995,114.02852507452515,18.588329647712495,-10.60229362992434,-44.25,0.195,3.7994,9.24,-4.05,-5.687,7.275,-5.88,15.5848,9.0375,2.4375,1.452,2.895,-3.135,18.3315,-29.58,-0.765,18.1137,-4.065,-6.375,21.3807,6.9375,5.79,19.4931,-2.7075,-38.0925,-17.4482,-3.7275,-39.75,-51.4492,-4.1775,-2.8875,10.0793,6.5325,-41.8725,26.0876,16.5975,-6.8025,7.6593,1.74,-4.8075,11.0231,-3.0525,-11.1375,8.4942,-7.08,-4.4025,11.495,-33.045,5.4525,-22.8448,-6.2175,-0.42,10.285,-5.5425,-1.9875,-13.9392,-9.63,6.8475,44.0561,-0.24,-3.555,-8.4458,-8.355,-368.3625,23.4135,-7.0575,-4.7025,-4.0898,-5.7,-3.4875,6.3404
1753081988.4401402,1.0867812633514404,-0.31825828552246094,-1.2570606470108032,116.67216395350759,18.9929464513528,-7.847866491900658,31.35,21.795,21.4654,-12.36,-2.85,-3.751,25.275,-3.48,13.1648,-0.4125,-3.7125,-93.17,2.595,6.465,32.3675,-29.58,7.635,-74.8143,-4.665,-6.075,6.3767,15.4875,-3.81,0.6171,-1.5075,-35.3925,-13.5762,-3.7275,-35.1,41.4788,-4.1775,-2.8875,14.4353,-3.0675,-52.6725,-20.3764,16.5975,-6.8025,7.6593,15.54,-4.8075,9.8131,1.7475,55.9125,15.7542,-1.08,-4.4025,11.495,24.405,-3.6975,22.1672,9.3825,-2.22,14.157,-4.3425,-0.7875,17.0368,-4.98,4.4475,30.0201,4.56,-3.105,22.0462,24.795,-4.7625,13.7335,-4.6575,12.6975,24.7082,-0.9,-4.6875,6.0984
1753081988.802258,1.1016128063201904,-0.27054786682128906,-1.1926262378692627,96.6910278015063,25.370948908017528,-17.034477885369604,50.55,-2.205,-11.2046,-14.31,0.75,1.089,6.075,-5.88,18.9728,-3.7125,14.2875,15.004,5.145,-3.135,32.3675,-29.58,-2.265,-74.8143,-4.665,-6.375,25.2527,1.0875,-1.56,27.2371,-2.7075,-38.0925,13.5278,-5.3775,36.9,42.4468,2.7225,-2.8875,11.5313,7.1325,26.5275,10.5996,-2.6025,3.9975,10.0793,5.94,-4.8075,-21.1629,-2.4525,-20.8875,8.9782,-6.78,14.7975,13.431,5.355,-4.1475,-9.2928,27.3825,-2.22,-20.691,-5.5425,-1.9875,-13.6972,9.42,-2.7525,-64.8439,14.16,-3.255,13.3342,-17.505,-4.7625,-17.2425,-7.0575,2.4975,9.2202,5.1,4.9125,9.9704
1753081989.1644452,0.9488815069198608,0.28203022480010986,-0.954613208770752,50.22586229406214,-23.63981736545884,-14.954289311851449,-40.95,-2.205,-41.2126,4.44,1.35,-1.815,6.075,-5.28,-81.2152,9.0375,2.4375,0.0,2.595,-3.135,47.3715,-19.83,-1.665,33.6017,-4.365,-1.575,-71.5473,-3.2625,-3.81,4.0051,-2.7075,38.7075,13.5278,-6.1275,-30.3,43.4148,-2.6775,-2.2875,9.5953,-3.0675,-52.6725,-20.3764,-2.6025,-6.8025,-17.2667,-2.46,5.3925,-5.6749,16.1475,-20.8875,-21.9978,-7.08,-4.4025,12.947,5.205,-1.7475,-9.2928,27.9825,7.38,10.285,-7.9425,-1.9875,17.0368,9.72,-2.4525,28.0841,-5.04,13.245,-9.4138,-9.105,14.4375,13.9755,-6.4575,-4.7025,-5.0578,-5.7,7.6125,21.5864
1753081989.5264385,0.5399360656738281,0.43036919832229614,-0.9634959697723389,52.758307504558985,-62.7492978353505,9.094021744239658,-45.15,7.395,-3.9446,-14.16,5.55,-6.897,25.875,-5.88,26.7168,9.3375,-2.2125,7.26,-74.055,-2.985,14.4595,-10.38,-2.115,19.0817,-3.165,-6.375,-9.5953,15.3375,-2.76,19.4931,-2.7075,-18.8925,-17.2062,-1.1775,-35.1,49.2228,0.6225,6.7125,-21.3807,6.6825,-42.9225,-51.3524,-2.6025,-6.8025,8.6273,-3.66,-0.0075,9.8131,-3.0525,-6.4875,11.8822,12.12,-4.4025,-19.481,14.805,6.6525,-40.2688,36.9825,-1.62,10.769,-7.9425,0.4125,17.0368,-9.78,-2.7525,-64.8439,14.31,-3.555,-6.0258,-18.705,-4.7625,15.6695,-44.8575,0.0975,24.7082,-5.7,-4.0875,9.9704
1753081989.8893495,0.3967631161212921,0.3498219847679138,-0.969996452331543,56.39666227589842,-67.32957481028309,26.636269731465568,117.6,-2.055,-42.6646,139.44,-4.05,-7.623,25.425,-5.88,42.2048,67.2375,-7.1625,-85.668,-73.905,6.465,-47.4925,123.87,-2.265,-74.8143,158.535,-1.575,22.3487,24.9375,-3.66,19.4931,21.2925,39.3075,-17.4482,13.2225,-39.9,-51.4492,16.2225,-1.5375,40.5713,16.1325,24.1275,18.3436,16.5975,-6.6525,-56.2287,1.74,-4.5075,-83.1149,-2.9025,-19.6875,-53.9418,-6.48,-4.4025,19.239,-18.795,-4.1475,-40.2688,-1.4175,-1.62,-19.723,-7.9425,-1.5375,-68.1472,-7.38,1.7475,-64.8439,-43.44,-3.555,-9.8978,1.095,-4.7625,-17.2425,-44.8575,0.0975,-0.7018,-5.7,5.0625,-86.8296
1753081990.2524295,0.4069524109363556,0.31111013889312744,-0.9820847511291504,74.11193658924931,-63.18506966958273,17.236382836092424,109.05,-1.005,-31.0486,174.84,5.7,-7.623,-70.725,-5.88,-81.2152,107.7375,5.2875,30.492,-74.205,-3.135,-47.4925,125.07,4.935,-67.0703,151.335,0.825,-71.5473,-3.8625,-1.41,-73.4349,-2.7075,-38.0925,-8.7362,13.8225,-39.9,29.8628,25.8225,4.4625,60.1733,8.9325,-47.8725,10.5996,74.4975,4.5975,-52.1147,-2.46,5.9925,-51.6549,-3.0525,-19.5375,40.9222,-2.28,-4.4025,-7.865,-33.045,4.2525,-40.2688,-9.8175,2.58,-18.755,11.2575,-1.9875,-68.1472,-9.78,-2.7525,28.3261,-38.19,-0.855,53.0222,-18.705,5.1375,75.6855,-26.2575,-4.7025,-2.3958,23.1,-4.0875,9.9704
1753081990.6153638,0.4199766516685486,0.30151891708374023,-0.9874062538146973,91.11337126700195,-63.12328839021548,-0.7651248848864834,-45.15,-2.205,-36.8566,138.84,5.55,69.817,-51.225,73.32,11.2288,93.0375,384.7875,-0.484,-74.205,-3.135,45.4355,123.87,-2.265,19.0817,153.735,-6.375,-9.1113,-3.8625,-3.96,-3.7389,74.0925,-33.2925,52.2478,-6.1275,36.9,-43.7052,24.7725,-0.4875,-21.3807,-2.9175,24.1275,11.0836,-2.6025,-2.0025,13.4673,34.74,71.9925,-83.1149,16.1475,-18.4875,8.0102,-6.78,-3.2025,-19.481,-13.995,-4.1475,22.6512,-0.8175,-2.22,-18.755,-7.6425,-1.8375,-13.9392,9.42,0.8475,4.8521,-39.84,-3.105,83.0302,-9.105,0.0375,48.5815,-45.4575,0.5475,0.0242,-5.4,-4.3875,-16.6496
