timestamp,pos_x,pos_y,pos_z,rot_roll,rot_pitch,rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1752676305.951822,0.29714590311050415,1.1155433654785156,-0.6556321382522583,85.36607844724269,-30.436281302221143,3.874608562292563,-3.345,-1.65,28.193,-35.955,-16.4775,83.3448,-24.12,-4.98,19.4326,-3.405,2.19,-94.0291,-17.7375,0.06,20.2554,-42.9225,6.8025,28.0357,-11.1375,-7.7325,9.4138,-1.6575,-6.78,26.5474,-2.4075,-26.385,20.4974,-5.535,-29.6775,21.7195,-10.7925,-3.405,-0.484,7.9275,45.8175,8.2764,-4.7175,-7.605,-1.5004,69.8025,46.02,16.335,-15.81,-17.715,-63.0289,-11.895,7.125,22.5786,11.1375,19.2975,-2.2869,3.4725,-1.62,20.7757,-33.9225,-1.7775,44.9757,-10.6425,-1.2825,-73.3381,-5.4975,-436.6725,-5.2151,52.62,18.24,9.8131,12.735,-2.9775,3.5574,-13.0875,-4.5525,0.2783
1752676306.3146176,0.29739969968795776,1.1119334697723389,-0.6996582746505737,85.50031258664819,-11.510580563877527,3.6510076384786756,63.855,4.65,53.603,-16.755,-16.7775,-9.5832,-30.12,-4.98,-73.4954,-23.205,-0.21,-0.6171,-97.2375,-2.64,-15.0766,-58.8225,-2.6475,28.5197,65.6625,1.8675,19.5778,55.9425,-6.03,33.8074,-3.6075,49.215,-6.6066,-1.785,47.1225,-75.0805,-1.1925,-3.705,1.452,-6.4725,45.8175,8.2764,-5.0175,71.745,-47.2384,-7.8975,-1.83,18.271,-15.21,-13.665,-1.3189,6.855,-2.625,-10.3334,1.5375,17.4975,-32.2949,3.3225,-2.82,-3.6663,-31.5225,0.6225,48.8477,14.5575,7.7175,37.0139,-9.3975,20.5275,-4.2471,-2.73,17.94,-18.7429,12.135,-0.5775,-11.9306,61.3125,-6.6525,-75.2257
1752676306.677542,0.29392093420028687,1.1033556461334229,-0.7331167459487915,88.5556690569843,5.307863149924868,0.3430090870826008,-0.945,-1.65,-8.591,45.645,-17.9775,-17.3272,-27.72,4.62,19.4326,-0.255,-4.56,13.9029,-20.4375,-2.34,-13.1406,13.1775,-0.3975,28.0357,65.6625,-7.7325,19.0938,-1.0575,-6.78,25.5794,-3.6075,-28.635,20.4974,77.265,-10.4775,17.8475,-10.7925,6.045,-0.484,13.0275,48.2175,-22.6996,-5.0175,66.795,13.9876,-3.0975,-1.98,-14.641,-15.81,53.385,-1.3189,62.505,-2.325,-74.2214,-45.2625,17.4975,-33.2629,3.6225,-2.82,-10.6843,-24.3225,-1.7775,-47.9523,13.3575,4.1175,19.5899,-4.5975,20.8275,-3.0371,4.47,30.24,11.7491,12.435,-2.9775,-11.9306,61.3125,0.5475,-76.6777
1752676307.0397866,0.2946847081184387,1.0997521877288818,-0.7405478954315186,88.45895600611884,8.238119289674106,-3.0119194692798943,71.055,3.15,84.337,-26.355,-7.7775,-9.0992,-25.32,-1.98,-10.8174,53.745,9.39,-94.0291,-0.6375,18.96,93.3394,13.1775,-2.6475,29.4877,70.4625,-7.7325,7.4778,65.5425,-6.78,25.5794,-1.2075,-27.585,20.4974,76.215,47.4225,18.3315,-5.9925,-3.705,-15.972,-5.8725,-30.9825,-38.1876,-5.0175,69.495,-12.8744,6.5025,-1.83,-14.641,-14.61,-11.115,-1.3189,63.105,7.575,18.7066,-45.8625,17.6475,-2.2869,-33.8775,-2.82,-11.6523,-33.9225,-1.7775,13.9997,-25.0425,0.6675,35.0779,-10.5975,20.6775,2.5289,-5.13,20.34,-21.1629,12.135,6.6225,-8.0586,61.3125,-9.3525,-68.9337
1752676307.4026868,0.29359740018844604,1.0981330871582031,-0.7436976432800293,90.22511710742153,7.588237171613149,0.0414135375310442,-23.745,-1.65,49.489,-35.955,-8.3775,-1.8392,118.98,-4.98,24.2726,54.195,4.59,3.2549,-97.2375,-0.09,-15.0766,27.5775,-2.1975,28.0357,66.8625,-7.7325,3.6058,55.9425,-6.48,4.7674,-3.6075,-23.985,51.4734,76.365,48.3225,-12.8865,-10.7925,-3.705,-30.976,-6.4725,45.9675,9.2444,-1.7175,66.795,18.1016,-7.8975,75.42,0.847,62.19,53.385,-1.3189,-14.295,-2.625,19.1906,-46.1625,18.0975,-2.0449,-30.2775,2.28,-10.6843,-33.9225,-1.4775,17.8717,22.9575,0.5175,4.5859,-10.5975,21.7275,-5.2151,-5.13,19.14,-8.3369,16.935,2.7225,3.5574,67.0125,-4.5525,-77.1617
1752676307.7661374,0.2926951050758362,1.0968773365020752,-0.7445708513259888,91.45295418942915,9.985622040128552,1.805556802698645,-24.945,-1.65,-12.463,-34.755,-17.9775,13.6488,118.68,-4.98,5.8806,-3.405,-3.81,13.6609,-97.2375,2.16,15.8994,-63.6225,-2.4975,43.5237,65.6625,-7.7325,19.0938,55.9425,-6.78,10.0914,-0.6075,-17.685,51.4734,71.265,47.1225,4.2955,-10.7925,-3.705,-31.46,-6.1725,-30.3825,-19.7956,-5.0175,-9.705,14.2296,-7.5975,17.52,16.335,-15.81,53.385,-32.2949,-10.695,-2.025,-9.3654,-45.8625,17.6475,-2.0449,-32.5275,-2.82,-11.6523,-24.3225,-1.7775,13.9997,56.5575,-0.6825,-11.3861,-10.5975,20.5275,0.5929,-5.13,20.64,9.8131,12.135,-1.4775,-11.4466,-15.4875,13.4475,16.0083
1752676308.1287549,0.290056049823761,1.0948052406311035,-0.7461210489273071,89.12756057590124,7.605057478466358,1.1408556913692054,-24.195,-1.65,-4.719,-35.955,-17.9775,13.8908,-25.32,-4.98,-73.4954,1.395,-4.71,17.7749,-97.2375,8.16,15.8994,-52.8225,-2.4975,-64.8923,76.4625,-7.7325,3.8478,58.9425,-6.78,25.8214,-3.6075,48.015,20.4974,4.065,-29.6775,-13.1285,-9.4425,-3.705,-15.972,-0.3225,-16.5825,-53.6756,-4.4175,67.395,-16.9884,1.7025,79.62,-14.641,-15.51,53.385,-32.2949,62.505,-2.475,-3.5574,-46.4625,17.6475,1.5851,-32.6775,-2.82,-6.8123,-31.5225,10.5225,13.9997,54.3075,-1.8825,23.4619,-10.5975,20.8275,-5.2151,71.67,27.54,9.8131,12.135,-0.5775,19.2874,61.3125,-8.9025,15.7663
1752676308.4923015,0.29018634557724,1.0990092754364014,-0.7849998474121094,87.03394486765797,3.2320310105180416,2.2265621784442113,71.205,-1.65,-11.495,-31.155,-17.9775,13.6488,118.68,-4.83,23.3046,-12.405,9.39,18.2589,-96.6375,-2.64,82.6914,-54.0225,-0.0975,-62.4723,85.4625,-6.5325,3.6058,-20.8575,0.57,2.3474,-0.6075,-19.185,51.7154,71.265,-29.6775,17.8475,-10.7925,-3.105,-31.46,4.9275,47.6175,-37.9456,-4.8675,66.795,14.9556,-4.8975,2.82,-10.769,-15.81,-4.215,-62.7869,62.505,0.375,-8.3974,-46.4625,17.6475,-29.3909,-35.0775,-2.67,-11.6523,-33.9225,-1.7775,-43.5963,52.0575,0.8175,20.5579,-10.5975,22.9275,-4.0051,-4.98,27.54,14.6531,-64.665,-2.9775,-11.9306,-15.3375,-2.1525,15.7663
1752676308.855484,0.2950569987297058,1.1009474992752075,-0.8027838468551636,89.17413354884266,3.811499767514411,1.8458692214596748,131.355,-1.65,84.337,54.045,-13.1775,48.4968,-6.12,-0.48,19.4326,53.895,5.79,9.5469,-20.4375,-2.34,77.8514,32.3775,-2.6475,-57.1483,-1.5375,-7.4325,4.5738,61.4925,-6.48,-5.3966,73.1925,-28.785,-10.4786,92.865,-24.8775,-74.5965,-10.7925,-2.955,-25.652,74.0775,45.8175,-37.2196,14.1825,-7.605,14.4716,11.3025,-1.98,-14.157,-11.01,53.535,-1.0769,63.105,6.975,18.7066,-24.8625,19.8975,1.5851,-35.0775,15.18,-10.6843,-33.9225,-1.7775,13.9997,51.9075,-0.5325,-11.3861,-10.2975,20.5275,-1.3431,-5.13,19.29,-20.9209,36.135,-2.3775,-10.9626,-9.4875,-4.5525,15.7663
1752676309.2193813,0.3018171191215515,1.0997788906097412,-0.8094929456710815,90.92899306916664,10.619965244837603,1.8527339193262362,-24.645,-1.65,34.001,117.645,-17.9775,-15.3912,42.48,-4.68,-42.5194,-2.205,-3.81,-11.7491,56.3625,-2.64,-11.2046,13.1775,-0.3975,28.0357,-11.1375,1.8675,-55.9262,75.8925,-6.78,26.5474,73.1925,48.015,82.4494,72.465,47.2725,-75.0805,-10.7925,-1.155,-31.46,70.3275,46.4175,-45.9316,-4.7175,-10.005,15.1976,1.7025,74.82,16.335,-15.66,53.385,-1.3189,-9.345,21.375,5.1546,-46.4625,36.6975,-32.5369,-35.0775,16.38,-2.9403,-33.9225,17.4225,13.9997,62.1075,-1.8825,-11.3861,-10.5975,42.1275,-3.2791,111.57,19.14,-21.1629,46.935,-1.7775,-11.9306,62.5125,-6.9525,-5.5297
