timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753523844.3614852,0.3199008107185364,-0.06363999843597412,0.3715171813964844,115.40043420956759,-68.00617180055555,-20.48315100201027,6.9225,-9.18,10.7448,7.92,-51.3225,-1.5851,16.5075,-9.5475,17.6297,9.1425,-0.3225,26.2933,28.7475,-0.5775,-67.5301,11.2875,-38.6175,50.3239,2.145,-7.4025,-13.6609,-21.195,-3.1125,20.7515,-12.0975,6.0225,23.474,-2.4375,-2.4225,-33.8316,22.7325,-3.54,-6.9696,-18.7725,-5.4675,17.6418,16.8075,-6.21,-2.3716,44.55,1.3275,-22.0099,24.195,-12.735,-1.1132,-29.19,0.555,39.5428,-34.7625,93.21,-1.1495,5.5425,36.93,8.2038,-5.0925,35.6025,-71.7651,-6.9825,16.3875,19.9045,1.7625,29.3025,-11.979,27.915,92.6325,-28.2535,-3.1725,16.215,-1.4762,-16.875,1.77,-71.0028
1753523844.7238235,0.31850308179855347,-0.0623321533203125,0.37037205696105957,110.67440479359794,-67.82688753541916,-16.641272128029453,6.9225,-8.88,18.0048,5.37,-45.9225,3.2549,-12.2925,-9.8475,13.5157,9.8925,-0.6225,25.8093,29.1975,344.4225,11.8459,-0.8625,-43.4175,27.0919,-11.655,-2.9025,-77.5489,-22.695,-0.7125,25.5915,-12.3975,-2.3775,6.05,-2.7375,7.1775,-33.8316,23.0325,1.26,-6.9696,-18.7725,-5.4675,1.1858,4.9575,-6.21,-2.3716,-13.2,-5.5725,8.9661,-26.805,-12.735,-2.3232,-27.99,0.555,9.5348,8.4375,96.51,-40.3535,-13.5075,38.88,-22.7722,-5.0925,44.0025,-67.8931,-5.7825,25.9875,35.3925,7.3125,19.7025,-13.915,27.315,92.9325,9.9825,-1.6725,16.215,22.2398,-15.975,-2.88,-0.3388
1753523845.087236,0.31762397289276123,-0.061864376068115234,0.36713147163391113,108.68125462758219,-67.96389035539927,-15.16680741624991,24.9225,-9.18,10.2608,-13.53,256.4775,-0.6171,11.7075,-9.8475,13.2737,9.8925,356.0775,30.8913,33.5475,0.0225,25.3979,-10.4625,-48.2175,61.9399,27.345,30.9975,11.5071,-20.295,-3.2625,28.4955,36.5025,-4.7775,-17.182,-2.1375,-2.4225,-33.8316,-16.4175,-3.54,-6.9696,23.5275,-5.3175,-59.5562,-3.4425,-3.81,-2.3716,-15.75,-5.8725,8.9661,17.595,-11.535,-3.2912,18.81,-1.245,39.5428,3.6375,93.21,-32.8515,5.6925,38.73,-3.8962,-7.4925,34.4025,36.8929,-5.4825,-354.1125,-71.0875,16.1625,19.7025,1.573,-30.285,93.2325,2.2385,-31.9725,-356.985,5.7838,27.225,-2.13,37.4132
1753523845.4505463,0.4426068067550659,0.12754929065704346,0.5084341764450073,152.77701389780077,-71.78420088587522,-47.98390171465504,-51.8775,-9.18,25.7488,26.97,-51.3225,-4.4891,-17.0925,-8.6475,-79.6543,-9.4575,-3.9225,-74.8627,28.7475,-1.1775,25.3979,8.8875,278.1825,50.3239,16.695,-1.7025,11.5071,-22.695,-2.0625,28.7375,-10.2975,-4.7775,-24.926,-2.7375,7.1775,59.0964,24.3825,-2.34,-6.9696,-18.7725,-4.8675,1.4278,-4.7925,-5.01,1.5004,-15.45,-5.7225,8.9661,33.195,-11.535,-3.2912,-29.19,-1.845,44.3828,-15.5625,94.71,-9.8615,-12.6075,36.63,8.9298,-9.8925,44.3025,37.1349,17.0175,-362.8125,25.7125,16.6125,24.5025,1.573,10.515,92.9325,2.2385,16.0275,16.665,-0.0242,-17.175,5.22,37.8972
1753523845.8131342,0.32316458225250244,-0.06792938709259033,0.3801593780517578,132.58471046711932,-68.89850836680212,-30.4188041342481,-51.7275,0.42,-2.3232,26.97,-48.3225,-0.6171,12.9075,-2.4975,-1.2463,9.1425,6.2775,26.0513,-28.7025,0.0225,2.1659,13.5375,-43.4175,42.5799,35.745,-2.6025,-81.4209,15.705,-0.8625,-10.2245,47.3025,-4.0275,-21.054,-2.4375,-2.4225,74.5844,-16.4175,-3.54,-6.7276,19.6275,-4.2675,2.3958,-4.7925,-1.41,-0.4356,44.55,-4.5225,11.8701,11.595,-12.735,-2.3232,19.41,-1.845,40.0268,3.7875,103.71,-9.8615,5.6925,36.33,-22.2882,-8.6925,44.0025,-67.8931,-6.9825,16.3875,-73.0235,-3.1875,19.8525,17.061,27.315,92.6325,3.2065,-0.7725,16.665,-9.7042,22.725,-3.33,-71.0028
1753523846.1756885,0.3205721974372864,-0.06750857830047607,0.37727224826812744,120.3912959453963,-68.1356331881354,-23.276306309031387,-51.8775,46.17,27.9268,-13.83,-49.5225,-4.4891,11.7075,-9.8475,-17.7023,9.1425,-3.9225,-74.8627,29.9475,-1.1775,-67.5301,8.7375,-45.8175,-50.3481,-11.055,-7.7025,12.2331,-22.695,-3.1125,20.7515,-12.6975,-4.7775,6.292,0.2625,-2.4225,43.6084,-13.8675,1.26,0.7744,19.7775,-5.4675,1.1858,-4.7925,-6.21,5.3724,-12.9,-5.1225,8.9661,-26.805,-3.135,-2.3232,9.36,0.555,39.5428,6.0375,93.96,-2.1175,-3.6075,36.63,22.2398,-9.8925,34.5525,-71.7651,-6.9825,26.5875,-73.0235,6.4125,19.7025,1.573,17.865,-288.3675,17.7265,1.6275,28.215,-9.7042,-17.175,-3.33,29.6692
1753523846.5390046,0.31968945264816284,-0.06608021259307861,0.3739117383956909,113.65047257864013,-68.50945893510399,-18.277805738164474,-51.8775,-7.38,10.2608,-13.83,-46.5225,100.5389,16.5075,38.1525,21.0177,9.4425,-1.2225,14.6773,-27.5025,8.7225,-67.5301,-10.1625,-47.0175,-49.3801,-11.655,-7.7025,-81.4209,-16.695,0.3375,28.4955,-12.6975,0.0225,6.05,-2.7375,-1.3725,61.0324,21.9825,6.06,12.3904,-17.5725,6.5325,8.9298,-4.4925,-6.21,-1.4036,-13.95,-5.8725,9.2081,25.995,-11.835,-0.3872,33.21,-0.345,40.0268,9.6375,93.21,-9.8615,5.6925,37.53,7.7198,-7.4925,39.2025,-9.8131,8.0175,25.9875,-73.0235,-2.5875,29.3025,9.317,23.115,95.3325,4.1745,6.4275,25.815,-5.8322,-16.425,-2.73,21.9252
1753523846.9018614,0.3190685510635376,-0.0649118423461914,0.3722717761993408,110.52729633485241,-68.55871237015144,-15.86268310852234,24.9225,-9.18,-36.2032,-13.68,-49.6725,-4.0051,12.3075,-9.8475,-79.6543,14.3925,1.0275,26.5353,28.7475,-1.1775,-5.5781,18.3375,-48.0675,42.5799,31.545,-6.3525,23.1231,-21.495,-3.2625,28.7375,-12.6975,-4.6275,6.05,16.4625,-2.4225,-33.8316,21.9825,6.06,-6.9696,20.3775,-5.1675,1.1858,14.4075,-6.21,1.9844,-15.45,-5.2725,-13.2979,-25.605,-12.735,-3.2912,-29.19,-0.495,31.7988,4.8375,93.81,-7.9255,-13.8075,45.93,-7.7682,-4.1925,35.0025,-9.3291,-6.8325,16.5375,20.6305,4.0125,19.7025,1.573,-25.335,99.9825,2.7225,-1.9725,28.215,-9.7042,-17.175,-3.33,22.8932
1753523847.264617,0.3187448978424072,-0.062309861183166504,0.37008678913116455,109.38260647568706,-68.48279431354727,-15.397622264794885,18.9225,-9.18,-5.2272,25.17,-51.3225,-4.4891,14.1075,-9.8475,-17.7023,-5.2575,-2.1225,32.5853,28.7475,2.4225,-64.6261,-7.1625,-48.2175,-49.8641,-10.905,-6.5025,-80.2109,-22.695,-0.8625,5.2635,25.8525,-4.7775,-22.99,-2.1375,4.7775,59.3384,21.9825,-1.14,-30.2016,19.6275,-5.4675,2.1538,14.5575,-1.41,-29.4756,41.85,-5.8725,8.9661,-26.805,-9.435,0.5808,-29.19,-1.245,-53.3852,3.6375,93.21,-38.9015,5.3925,45.93,-23.2562,-9.5925,46.4025,-7.8771,12.2175,16.9875,-73.0235,-3.1875,19.7025,9.317,-30.285,93.8325,-27.7695,-1.9725,17.715,21.2718,-16.575,-3.03,-71.0028
1753523847.6284432,0.31863129138946533,-0.06012392044067383,0.3683016300201416,108.69780818315361,-68.34238356748094,-15.050000426349722,10.5225,-8.43,-36.2032,-1.83,-51.1725,-4.4891,11.8575,-9.6975,13.2737,-2.8575,-1.5225,19.7593,-18.6525,-1.1775,-67.5301,-0.8625,-43.4175,-50.3481,26.895,-6.5025,11.5071,40.005,-3.2625,21.4775,26.3025,0.0225,6.05,-1.3875,-2.4225,-33.5896,-16.4175,-3.54,24.9744,-13.9725,-5.4675,1.1858,-3.5925,-6.21,15.0524,41.85,-5.8725,-22.0099,21.195,1.665,-1.3552,20.31,17.355,13.4068,3.6375,94.41,-17.6055,-13.8075,41.13,7.9618,-9.8925,35.6025,23.0989,-5.7825,16.6875,6.5945,1.6125,19.7025,-5.929,17.715,92.6325,-16.8795,-38.8725,16.515,-9.7042,30.825,1.47,33.5412
