timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_w,tracker_rot_x,tracker_rot_y,tracker_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754375933.3428187,-0.22155976295471191,0.19260156154632568,-1.034961223602295,0.4611195027194198,0.3459760628485896,-0.47508115366427295,0.6648061739459299,40.7175,-48.6675,114.1514,-10.14,18.2475,-47.9402,-10.59,-2.0175,60.8751,-2.385,-2.49,77.6941,-4.7925,-13.56,-44.3949,13.515,-18.5325,-70.6277,-3.1875,-49.1325,-7.5988,-8.7675,10.725,152.9924,-11.295,-2.7225,-59.3384,-11.1375,-2.685,-19.2753,-20.865,-4.5825,-9.438,-20.3325,-9.9,-16.7101,1.4475,3.345,1.5125,-11.46,-2.88,-10.2971,-9.6975,-1.8825,-19.7351,-5.6025,-71.5575,79.5454,9.6525,-0.105,32.8636,9.4575,-5.565,-53.3489,7.3275,16.8375,-18.7792,9.675,-38.835,-66.5742,-19.2,-5.85,10.3092,-15.0675,-4.785,139.2589,3.87,-38.4075,-19.7351,-5.7675,6.7125,-62.6538
1754375933.7048774,-0.21845918893814087,0.19285297393798828,-1.0382492542266846,0.46284368447247765,0.35315457625881147,-0.4709709582845744,0.6627548076389791,-16.8825,-2.7675,125.0414,-5.49,8.7975,-46.0042,-10.89,-1.4175,-63.9969,4.965,-2.34,-58.0679,-4.7925,-37.26,-39.5549,-6.285,57.9675,109.9043,-3.7875,17.9175,-5.9048,-9.8175,20.175,147.1844,-11.295,-2.8725,58.7576,-5.1375,-3.885,-11.5313,-20.715,-4.5825,-9.922,-17.9325,-5.1,-18.6461,0.8475,2.145,-12.0395,41.34,-2.73,53.1069,-9.6975,-1.8825,-2.3111,-5.6025,5.2425,-44.3586,-9.8475,0.495,-9.7284,7.0575,2.535,-53.3489,7.3275,12.6375,-18.7792,-5.025,-57.285,-66.5742,37.8,12.15,73.2292,-13.8675,7.215,-49.5011,2.67,-38.4075,-20.2191,-0.9675,6.7125,123.2022
1754375934.0683277,-0.20005983114242554,0.20127320289611816,-1.0575623512268066,0.4666314603590246,0.3728395152358912,-0.4574752469816471,0.6587580512104934,41.0175,7.4325,110.5214,37.71,18.3975,-47.9402,-10.89,-2.0175,75.3951,3.765,-1.89,-58.0679,-4.4925,-35.46,-41.4909,-4.485,57.9675,-70.6277,-4.3875,-48.6825,-7.8408,-13.1175,18.075,-32.8636,-10.995,1.9275,56.8216,-6.3375,15.315,-19.0333,-20.415,-4.2825,36.542,193.2675,-8.7,-18.6461,-4.5525,2.145,-10.1035,-11.46,16.32,-10.7811,0.5025,-1.8825,-19.9771,-2.0025,6.4425,-40.4866,-9.8475,-0.105,-28.3624,7.0575,-2.265,-49.4769,7.4775,15.0375,-17.8112,14.025,19.065,120.2498,-12.6,-7.05,72.5032,4.7325,-14.385,147.9709,21.87,-38.4075,-20.2191,3.8325,6.7125,-62.6538
1754375934.4316714,-0.12237074971199036,0.25636404752731323,-1.11734938621521,0.48644915674369177,0.35627724458850474,-0.38867189592943524,0.6966834723495712,-20.4825,-2.7675,-65.1706,28.11,13.7475,-47.9402,-6.09,-2.0175,60.3911,-2.535,3.51,65.8361,-4.7925,58.14,110.4851,-6.885,-17.3325,-70.6277,-4.3875,18.0675,0.1452,-13.7175,14.775,-28.9916,-11.295,-2.8725,-67.0824,47.0625,-3.585,-11.5313,-21.015,-4.5825,52.03,-19.7325,-9.9,-2.9161,-4.5525,21.345,-12.0395,-10.86,-2.88,20.4369,19.1025,-1.8825,-17.5571,-5.6025,10.0425,-44.3586,-8.6475,4.695,36.7356,9.4575,-7.065,105.4031,7.6275,-8.8125,174.8208,-3.225,-58.035,-58.8302,-19.8,21.75,-51.6428,-53.4675,-14.385,-49.5011,-35.73,211.1925,-20.7031,-5.7675,6.7125,64.1542
1754375934.7946153,-0.00011628866195678711,0.2519572973251343,-1.1619181632995605,0.5580101261317938,0.37960821732025857,-0.4246453719454757,0.6034887338330593,-21.6825,-50.7675,-65.6546,-8.19,8.6475,84.6758,-8.49,-2.6175,-63.9969,-2.385,2.61,113.2681,0.1575,-37.26,125.9731,-6.285,-16.8825,-70.6277,-4.3875,17.9175,-5.9048,-13.4175,10.575,91.2824,-11.295,8.0775,-62.2424,-1.5375,-3.885,-18.0653,-20.415,-4.5825,-8.954,-17.6325,72.3,-18.6461,47.3475,2.145,-12.0395,-10.86,-2.73,20.6789,-9.6975,-1.8825,-19.9771,-3.2025,7.6425,87.2894,9.3525,4.695,-29.0884,7.0575,-7.065,-53.3489,-1.0725,-4.1625,-14.9072,6.975,18.915,57.3298,-19.8,-6.75,-51.6428,4.1325,-4.785,138.2909,7.47,-36.0075,-20.7031,-5.7675,7.3125,-58.7818
1754375935.157716,0.08605796098709106,0.21109694242477417,-1.2039105892181396,0.5946918032656361,0.4624805621204238,-0.5105285365359389,0.41450456222006393,-16.8825,-3.2175,104.9554,-10.29,9.8475,122.6698,-10.89,-2.6175,59.9071,-2.535,-78.09,-55.6479,-4.7925,-34.86,-43.4269,-6.885,-18.5325,102.1603,-4.3875,23.0175,38.6232,-13.7175,11.175,98.7844,-8.895,-2.8725,-67.0824,-10.5375,73.065,-19.2753,-21.015,-3.9825,-9.922,190.8675,66.9,17.1699,-4.5525,-50.505,-12.0395,-8.76,-2.88,35.6829,-9.3975,-1.8825,-15.1371,-5.6025,5.2425,-42.4226,10.2525,11.895,5.7596,13.2075,12.135,132.5071,-31.0725,19.8375,147.7168,4.275,-55.935,-58.8302,-15.0,16.95,6.6792,-53.4675,24.015,120.8669,5.07,-38.4075,-12.9591,-5.7675,6.7125,107.7142
1754375935.5215943,0.10580211877822876,0.2028038501739502,-1.2194732427597046,0.5756432937351461,0.47138411097955074,-0.5622195441334377,0.36102768656474815,-13.8825,1.7325,104.2294,-9.69,18.2475,-47.9402,-10.89,-2.6175,60.3911,7.065,2.31,66.8041,-4.7925,38.94,110.4851,3.015,-6.5325,84.2523,-4.3875,23.9175,39.1072,-13.7175,10.575,-30.9276,-11.295,1.9275,-32.2344,-9.9375,72.915,-19.2753,-20.115,-3.8325,-9.438,-20.3325,-9.6,-10.1761,-4.2525,2.145,42.1685,-11.46,-2.28,-1.1011,-7.2975,-1.8825,-4.4891,-5.0025,22.0425,-41.9386,-29.0475,19.095,32.8636,-31.3425,14.085,93.7871,-31.0725,0.6375,-18.7792,-24.225,18.765,-66.5742,-19.8,-237.45,-4.2108,-53.4675,5.115,136.5969,-26.13,-38.4075,-20.7031,-5.7675,6.7125,-61.4438
1754375935.884622,0.10824409127235413,0.20159375667572021,-1.222670078277588,0.5785102720354255,0.4297894715164608,-0.5536828282616244,0.41718374221540155,-12.0825,-3.3675,120.4434,-9.09,8.6475,-44.0682,-10.44,-2.6175,-63.9969,-2.235,-2.49,97.0541,-4.7925,38.94,-43.4269,-6.285,-9.0825,-70.6277,-4.3875,37.7175,39.1072,-13.7175,10.575,-32.3796,144.705,-2.8725,-66.5984,-11.1375,-3.885,-12.9833,-19.815,72.5175,28.798,-19.1325,-5.1,0.7139,5.0475,-74.655,-11.7975,-10.26,-1.68,22.1309,-9.6975,-1.8825,-19.9771,-0.8025,5.2425,127.9454,-29.0475,31.245,-29.0884,12.1575,-7.065,-52.8649,-31.0725,-6.5625,167.0768,14.175,-53.235,-66.3322,-19.65,16.95,73.4712,-52.2675,-14.385,-49.5011,-34.98,-38.4075,-20.7031,-5.7675,11.5125,92.2262
1754375936.2487142,0.1090238094329834,0.20103925466537476,-1.2283016443252563,0.5386484013754846,0.37877909765517176,-0.582629524254701,0.4763686729355119,-14.3325,2.4825,-65.1706,-7.89,8.6475,-47.9402,-6.09,27.3825,-63.7549,2.265,-2.49,-58.0679,-4.4925,48.84,-44.3949,3.315,-18.2325,90.0603,5.2125,17.9175,31.6052,-13.4175,20.175,137.5044,-10.995,2.0775,-25.4584,-11.1375,75.315,-19.2753,-18.315,74.9175,21.054,-20.3325,-0.15,28.7859,-4.5525,-73.455,38.2965,-11.46,3.42,24.0669,-9.6975,-1.8825,-19.0091,-3.2025,14.8425,93.5814,9.3525,19.095,94.8156,19.2075,12.135,-48.5089,-31.0725,-8.9625,156.4288,-19.725,25.065,-66.5742,-19.8,-237.45,10.3092,-52.8675,-14.085,120.8669,-35.73,-37.8075,-19.4931,56.6325,6.7125,92.2262
1754375936.6113412,0.11809343099594116,0.19946599006652832,-1.249387264251709,-0.46560194636674157,-0.44372084418488467,0.5459497483966976,-0.5369036465994349,-6.6825,-3.3675,95.5174,-5.49,8.6475,83.9498,-1.29,-2.0175,90.8831,-1.335,4.11,112.3001,-4.7925,-32.46,-19.2269,-6.885,-18.8325,100.7083,-4.3875,17.9175,30.8792,-3.5175,10.575,122.0164,-11.295,0.7275,58.7576,-6.0375,78.015,-15.4033,-21.015,72.8175,-5.082,-20.3325,-9.9,-17.6781,0.2475,-74.055,26.6805,-10.86,6.72,32.5369,-4.8975,1.1175,150.8749,-4.4025,6.4425,126.4934,-27.2475,19.245,3.8236,16.9575,31.335,71.5231,-31.0725,1.2375,-16.3592,-24.525,-57.285,61.2018,-19.8,-3.9,72.2612,-52.8675,-14.385,-49.5011,-34.53,-29.8575,-20.2191,-5.1675,7.3125,93.1942
