timestamp,tracker_1_pos_x,tracker_1_pos_y,tracker_1_pos_z,tracker_1_rot_w,tracker_1_rot_x,tracker_1_rot_y,tracker_1_rot_z,tracker_2_pos_x,tracker_2_pos_y,tracker_2_pos_z,tracker_2_rot_w,tracker_2_rot_x,tracker_2_rot_y,tracker_2_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754499509.2192118,0.02353021502494812,0.1423506736755371,0.006804466247558594,0.5771891318173207,0.5977648955295322,0.40265531330040377,-0.38392512700430287,0.10760518908500671,0.05668973922729492,-0.2254522442817688,0.5555153330921598,0.6217823141887621,0.40985798640490195,-0.3698725935667297,-7.245,-11.1,7.865,30.54,5.97,-21.1629,7.77,38.7225,45.1814,-7.935,-7.1175,-3.9204,-5.22,-10.7475,30.1048,-3.8775,-13.3425,-34.2188,-12.1725,40.935,32.7668,11.3475,-0.615,34.1462,-5.0175,-3.45,-9.8373,-2.22,14.4375,21.9615,-2.37,0.165,24.1879,-4.5675,-0.5625,-22.9174,3.1125,-2.9775,-1.4883,-6.3075,13.35,-9.6558,-2.895,-3.12,-14.3869,26.6175,0.165,-20.1465,-1.1025,-80.2125,-4.8037,-1.35,-1.3725,-141.7878,-2.115,-3.24,-144.7644,-0.54,-3.8925,0.2541,-1.4325,8.49,-132.737,5.6625,4.86,106.3227,5.6625,-3.69,-119.4149,27.345,3.4125,-12.6808
1754499509.581386,0.03696918487548828,0.2023705244064331,0.07220262289047241,0.5932226230941722,0.5751098857790395,0.39380679303064675,-0.40280483810928897,0.012880861759185791,0.19613301753997803,-0.10015827417373657,0.6643659230683547,0.6708452336066093,0.2346606216426056,-0.23134173059164356,-16.845,-15.45,6.655,10.14,10.92,11.7491,13.17,-4.4775,48.5694,-9.135,-7.1175,-2.2264,-5.52,-8.3475,-0.8712,3.3225,25.0575,-34.2188,-12.7725,44.685,41.4788,1.7475,-1.815,-16.1898,-5.0175,-2.85,-10.8053,0.03,4.8375,14.2175,7.23,-2.085,-7.7561,-12.2175,-2.8125,-21.9494,27.1125,-2.9775,-3.4243,-11.1075,1.2,1.4762,-3.495,1.23,-6.6429,-11.6325,-0.735,-14.3385,3.3975,-2.8125,22.0583,7.05,-1.2225,11.1562,-1.815,-3.09,8.6636,28.41,-3.5925,-7.0059,-0.5325,-1.56,-132.737,-3.9375,0.66,-71.7893,-3.9375,-3.54,50.7111,-8.355,-2.5875,-12.6808
1754499509.944,0.036968499422073364,0.2022613286972046,0.0721774697303772,0.593305885766602,0.575140187090517,0.39367505864690616,-0.40276773500454,0.012941420078277588,0.19582903385162354,-0.1002511978149414,0.6646029635276007,0.6710446140827901,0.23387401367830848,-0.23087871650686215,-15.195,-14.1,23.837,-9.06,8.07,11.9911,-1.23,29.4225,41.7934,-9.135,31.8825,-5.6144,-1.62,-10.7475,37.8488,-5.0775,-10.7925,-31.7988,-10.0725,-35.715,1.7908,30.5475,-1.815,-16.1898,-5.0175,-3.45,-11.7733,-2.37,2.4375,14.7015,4.83,-2.235,-3.8841,-14.7675,-2.9625,9.0266,-1.6875,0.0225,-3.4243,-8.1075,8.4,-6.2678,-1.695,5.73,15.6211,-11.7825,-0.735,-18.2105,-1.2525,16.9875,-7.9497,-0.15,5.8275,42.1322,7.785,-2.94,39.1556,-10.14,-3.8925,-14.2659,-0.8325,0.84,-132.737,-3.7875,-2.34,102.4507,-2.7375,5.61,-119.4149,-10.755,-2.5875,26.0392
1754499510.3060145,0.03693145513534546,0.20226669311523438,0.07217806577682495,0.5931947876415175,0.5750887548950009,0.39369298232822253,-0.4029872476333216,0.012915819883346558,0.1961303949356079,-0.09994524717330933,0.6650037754390745,0.6706778732774399,0.2337447531249228,-0.23092115193720028,-12.045,6.3,-271.645,29.34,6.57,9.8131,-1.83,-9.2775,40.8254,-4.185,-7.1175,-6.0984,-5.22,-7.1475,38.0908,-5.9775,-13.3425,-34.2188,-12.4725,-35.865,33.2508,-7.8525,-1.065,-15.7058,-4.7175,3.75,-11.5313,-4.47,0.6375,0.6655,-3.72,-2.235,-5.5781,-2.6175,1.8375,8.5426,-11.2875,-2.2275,19.8077,-11.1075,-1.2,21.8042,-3.495,-3.87,-13.4189,-11.4825,-0.735,-20.1465,-1.4025,-3.2625,-4.0777,-0.15,8.2275,-135.9798,0.435,6.96,-146.7004,1.86,-3.8925,-10.3939,-1.1325,1.44,53.603,15.8625,-2.04,-71.7893,-3.3375,8.01,66.1991,-1.455,-2.5875,18.2952
1754499510.668187,0.03703680634498596,0.2023184895515442,0.07232367992401123,0.5931230695032207,0.5751972459461776,0.39380775818588765,-0.402825783438836,0.012854337692260742,0.19602501392364502,-0.10003721714019775,0.6649025997259085,0.6706655642363232,0.23385944179358595,-0.2311320247832961,-16.845,17.55,22.627,-9.06,7.77,-12.9349,0.57,-8.9775,41.0674,-9.135,32.4825,-6.0984,-4.92,-10.1475,30.1048,-5.0775,25.0575,-32.0408,-10.3725,-35.865,33.2508,-4.8525,7.785,14.7862,0.0825,-1.05,-11.0473,-4.77,6.0375,29.9475,4.83,-2.235,-0.0121,-14.7675,6.6375,16.2866,28.3125,-2.9775,4.3197,8.0925,-1.2,24.7082,-3.495,-3.87,15.6211,26.6175,0.615,10.8295,8.1975,-3.2625,-36.0217,-2.55,3.4275,-141.7878,-1.815,-3.24,-7.3084,-7.59,-1.4925,11.8701,-39.8325,-1.56,37.631,-3.9375,7.26,-71.7893,10.4625,5.61,62.5691,-3.855,-2.4375,18.2952
1754499511.0310545,0.03723585605621338,0.20246058702468872,0.07244575023651123,0.5935711675651921,0.5748989331336085,0.39408048090282244,-0.4023245460185698,0.01279383897781372,0.19646906852722168,-0.10045802593231201,0.6660651392811175,0.669350248799441,0.2345105243469362,-0.23093792375892264,-16.245,-16.5,-270.677,-6.66,-2.88,13.9271,7.77,0.9225,-237.9586,-9.135,-4.7175,-6.0984,-4.92,-10.4475,22.3608,-6.2775,-13.3425,244.5652,-4.6725,40.935,-246.0172,-7.5525,7.785,-15.9478,-5.0175,-2.25,-11.7733,-4.17,0.1875,-16.7585,4.98,-1.035,-7.5141,24.2325,-2.6625,-22.9174,-1.6875,9.0225,-3.4243,-11.1075,3.6,29.5482,-2.595,-3.87,-14.3869,36.2175,18.465,-19.1785,-1.4025,3.7875,23.9943,-2.55,3.4275,42.1322,-1.815,15.96,-15.0524,-10.14,-3.8925,-7.4899,1.5675,-1.56,-132.737,-3.9375,-2.34,-71.7893,-3.9375,-2.79,68.1351,-1.155,-1.3875,19.2632
1754499511.3931913,0.037023335695266724,0.20229941606521606,0.07227563858032227,0.5934785754634099,0.574794188844052,0.3939563076399512,-0.4027323005264182,0.012551754713058472,0.19755303859710693,-0.1012452244758606,0.6669996751605684,0.6680940662229907,0.23401978100468704,-0.23237151766402217,-15.645,-18.45,22.385,-4.26,-3.63,10.7811,-1.83,-8.0775,9.8494,-9.135,-1.8675,-6.0984,-0.57,-0.5475,30.1048,-6.1275,-13.3425,-30.3468,-12.7725,-35.865,32.7668,-7.8525,-1.815,-14.0118,-4.8675,-2.85,-11.7733,-4.77,0.1875,-16.7585,-3.57,2.565,-5.8201,-14.7675,-2.9625,-22.9174,-11.2875,-2.9775,-3.4243,-1.5075,-0.45,11.1562,1.755,6.03,-13.4189,-8.7825,-0.135,-20.1465,9.8475,16.3875,22.0583,-0.15,-1.3725,12.6082,-2.115,-2.94,0.4356,-7.74,-3.5925,49.8641,9.9675,-1.26,-124.751,-3.9375,2.46,-71.7893,1.6125,-3.99,66.1991,-1.455,-2.5875,19.5052
1754499511.755318,0.03694459795951843,0.2022334337234497,0.0721968412399292,0.5933852606737275,0.5748804993130556,0.39385647455777356,-0.40284422941906206,0.012527048587799072,0.19755053520202637,-0.10130101442337036,0.6671449004183152,0.6679306987666305,0.23383839250911004,-0.23260675043262977,-12.045,19.5,8.107,-6.66,-3.63,9.8131,-1.83,5.1225,41.5514,-8.385,2.6325,-6.0984,-4.32,-10.7475,38.5748,-6.2775,-13.3425,-34.2188,-3.1725,-34.965,1.7908,-7.8525,-1.515,27.3702,0.9825,-3.45,19.9287,0.18,0.0375,-7.0785,-4.77,-1.635,-7.7561,-11.1675,7.0875,-15.1734,-9.9375,7.2225,-3.4243,-11.1075,-1.05,22.7722,-1.095,-2.97,-7.6109,-8.1825,7.665,-20.1465,-0.0525,6.1875,-8.9177,3.15,-1.3725,11.1562,-1.965,-3.24,39.3976,-9.54,-1.3425,-139.1379,-0.2325,-1.41,45.859,-3.9375,7.86,98.5787,-3.6375,-3.39,42.9671,-6.255,7.3125,-12.6808
1754499512.118657,0.03706800937652588,0.20228511095046997,0.07229435443878174,0.5932520318123489,0.5748953417267505,0.3938759883214086,-0.40300014121180416,0.012534737586975098,0.19775879383087158,-0.10136914253234863,0.6671825588286268,0.6678731427947199,0.23352935814243655,-0.2329741852720524,2.355,18.3,7.139,-3.81,-3.63,-21.1629,1.17,29.1225,40.8254,-9.135,-4.7175,-6.0984,-5.22,-10.7475,30.1048,-3.5775,-13.3425,-34.2188,-3.1725,2.535,32.7668,-6.6525,7.785,22.5302,-5.0175,-3.45,-10.8053,8.58,1.2375,-12.8865,-4.77,-1.635,-6.3041,-14.1675,-2.6625,15.8026,3.1125,-2.8275,-3.4243,-1.5075,8.4,21.0782,-2.895,-3.27,-13.4189,-11.7825,-0.735,-17.2425,-1.2525,1.3875,-24.4057,-0.15,-1.3725,19.3842,-2.115,-3.24,-7.3084,-0.54,10.5075,-133.3299,-0.8325,3.24,-132.495,-3.9375,0.06,-70.3373,6.2625,0.81,66.4411,27.345,-1.9875,34.2672
1754499512.4814966,0.03698599338531494,0.20226001739501953,0.07229173183441162,0.59322636601014,0.5750047895928457,0.39385206946613804,-0.4029050656881748,0.01250004768371582,0.19800066947937012,-0.10153281688690186,0.6672564790759176,0.6678076180540049,0.23335761775194028,-0.23312236734107453,13.755,17.1,7.623,-9.06,-3.63,25.3011,-1.68,29.1225,40.8254,-8.535,-4.5675,14.7136,32.88,-10.7475,32.0408,3.3225,-13.1925,-32.0408,30.8775,43.335,1.7908,6.5475,-1.665,-15.9478,14.7825,-3.45,3.7147,-3.27,0.0375,14.2175,-3.42,-1.935,-7.7561,23.6325,-2.9625,8.0586,27.1125,1.8225,0.4477,28.4925,-1.2,-10.1398,-3.495,0.93,-15.3549,-11.7825,1.665,-12.4025,-1.4025,-1.0125,-8.9177,-2.4,-0.1725,49.8762,0.585,-3.24,39.3976,-10.14,-3.2925,-139.1379,-1.4325,-1.56,45.859,5.6625,-2.34,-71.7893,10.6125,17.61,-119.4149,27.345,-2.5875,18.2952
