timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_w,tracker_rot_x,tracker_rot_y,tracker_rot_z,patch_on,area_num,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754495565.8897507,-0.11957648396492004,0.2957764267921448,0.1691957712173462,0.7604289236234881,0.640443577234354,0.10723035722800962,-0.009029794017691453,0.0,0.0,7.77,-1.8825,-88.0275,-4.8225,12.4125,29.7902,-6.3825,-67.7925,-42.1564,-3.96,-11.985,-3.9688,3.3075,-5.6025,-63.6702,-2.8875,-42.33,-30.8429,-1.6575,-3.45,-43.4874,-4.5225,0.42,-5.2393,-2.3775,-1.98,-5.6144,-4.47,-7.35,-16.4923,12.8475,7.92,62.0972,-5.985,-4.9575,-8.0102,-1.335,0.3075,-9.2686,-0.9375,2.2875,-7.8166,-4.5075,8.88,-11.0715,-3.5475,3.5325,-0.6534,-11.16,3.9975,-16.6133,9.795,-3.6225,-21.0298,15.7725,-1.755,-31.2785,-4.8825,-2.7975,-19.9408,-11.715,63.45,-14.6894,-7.3125,3.2325,-41.5877,6.5925,-37.0125,1.8634,-5.7375,0.51,-6.7881
1754495566.252595,-0.07796445488929749,0.29012060165405273,0.15800487995147705,0.7890226476822014,0.6103529477759989,0.06901193738779433,-0.01224340768012354,0.0,0.0,5.37,6.8175,-78.1055,-3.6225,12.1125,-5.2998,-5.7825,9.0075,-32.4764,-1.56,-11.985,4.0172,13.0575,5.1975,-31.7262,-2.4375,68.07,-19.9529,-3.7575,-4.35,-39.6154,-4.8225,0.87,2.5047,-2.3775,-1.98,-5.6144,-3.27,-4.8,-10.6843,7.7475,2.82,7.8892,-6.135,-4.9575,45.2298,-3.735,1.6575,-9.7526,-0.3375,0.3375,-5.6386,-2.7075,-0.42,-8.1675,-3.8475,3.5325,3.2186,17.64,4.8975,57.6807,-10.155,-3.6225,-30.9518,5.8725,-1.155,-30.7945,-5.3325,-1.5975,-10.7448,-11.715,43.95,0.5566,14.5875,1.1325,-42.5557,-2.4075,-34.7625,-2.0086,-5.7375,-1.89,0.9559
1754495566.614764,-0.06059834361076355,0.28087037801742554,0.15357649326324463,0.7865950084602105,0.6133050545390905,0.06728105464071811,-0.024463177835339616,0.0,0.0,4.62,0.8175,-90.2055,-4.5225,-7.0875,-4.8158,-6.3825,13.8075,-41.9144,-3.96,-1.185,-3.9688,-5.9925,1.5975,-63.6702,8.9625,-42.33,-30.8429,0.8925,-4.35,-39.6154,-4.8225,1.62,-5.2393,-1.7775,1.92,-5.6144,-3.87,-13.65,-2.9403,-6.5025,-2.28,-9.5348,-3.735,-4.9575,-1.2342,-3.735,-0.8925,-7.8166,6.5625,-2.0625,7.4294,-3.9075,-0.57,-11.0715,6.9525,15.3825,-4.5254,-9.96,13.5975,-24.5993,-10.155,-1.2225,-30.9518,1.0725,0.645,167.4035,-0.6825,-2.6475,121.8712,7.485,55.05,-7.1874,-7.4625,0.8325,-40.6197,-2.1075,-29.8125,0.4114,-3.6375,-3.24,8.6999
1754495566.975323,-0.05597788095474243,0.27667486667633057,0.15392076969146729,0.7840459099052488,0.6165261457660358,0.06439083720165835,-0.03195823330205597,0.0,0.0,8.97,-17.4825,-88.7535,-4.8225,-6.3375,-4.0898,-6.3825,9.0075,205.6516,-1.56,-9.585,-2.0328,-6.7425,13.8975,-61.7342,-3.0375,-42.33,-31.8109,5.6925,14.85,-43.4874,-4.8225,2.82,-5.2393,-1.7775,2.82,2.1296,-2.07,62.25,-13.8303,-6.6525,-1.08,-9.5348,13.065,-4.9575,-16.7222,-3.735,10.2075,-9.7526,-3.1875,-2.6625,-8.5426,-4.5075,-0.72,-3.3275,15.0525,3.3825,-4.5254,-9.96,8.7975,-16.8553,-10.155,6.1275,159.0182,-3.7275,-1.755,-31.0365,-0.6825,-1.5975,-19.4568,-10.515,43.95,-14.9314,0.9375,10.4325,-38.6837,-3.0075,-37.1625,-1.5246,-5.7375,-4.44,-2.1901
1754495567.3383873,-0.058118224143981934,0.2757059335708618,0.15537619590759277,0.7810791615617371,0.6200285050656533,0.06539959509937424,-0.03468299045811799,0.0,0.0,7.92,-17.7825,-79.7995,14.3775,3.7125,-4.8158,-5.7825,10.2075,-42.1564,3.24,-6.885,-0.0968,-6.4425,-5.6025,-55.9262,-3.0375,-41.73,-27.9389,-4.0575,-1.8,-42.2774,4.9275,0.42,-5.2393,-2.2275,-1.38,17.6176,0.33,-14.25,20.2917,-4.8525,-2.28,0.6292,1.065,-3.7575,-12.3662,1.065,-0.7425,-9.7526,7.4625,-2.6625,-8.5426,-5.1075,-0.72,-11.0715,0.6525,3.3825,-3.5574,-8.76,9.0975,48.9687,-10.155,-3.6225,-30.9518,-3.7275,-1.455,174.4215,10.1175,-0.3975,180.9192,-11.565,43.95,-14.2054,-7.4625,0.9825,143.7843,30.5925,-32.3625,-2.0086,-5.7375,1.86,-1.9481
1754495567.700307,-0.05884459614753723,0.27415162324905396,0.15423965454101562,0.7797823997262522,0.621441366783229,0.06541584712082435,-0.03835109958085737,0.0,0.0,14.97,2.3175,-89.7215,9.5775,12.1125,-4.3318,-5.1825,9.0075,209.5236,-3.96,-10.785,-3.9688,-6.1425,3.9975,-56.8942,-1.8375,-42.03,-31.8109,-2.8575,-3.75,208.4346,0.1275,10.62,3.4727,-2.3775,-0.78,6.0016,0.33,62.25,-10.6843,-4.1025,-2.28,6.1952,-6.135,1.0425,-16.7222,-3.735,-53.0925,-9.7526,1.4625,6.9375,-8.0586,-5.1075,8.88,-2.3595,-2.7975,3.3825,-4.5254,15.39,8.7975,42.1927,-0.555,-0.9225,154.9042,-3.7275,17.445,-22.5665,-5.4825,-2.4975,165.6732,-11.565,54.3,54.7646,3.0375,0.8325,-42.3137,6.5925,-36.8625,1.8634,6.2625,2.76,-6.7881
1754495568.0623002,-0.058742254972457886,0.2712138295173645,0.15483415126800537,0.7800769677915285,0.6211805317883085,0.06290066660888144,-0.04072083624279078,0.0,0.0,10.17,3.9675,209.3905,5.0775,-7.0875,-5.2998,0.8175,9.0075,-42.1564,-3.96,-2.385,-0.0968,-5.5425,-3.2025,-63.6702,-3.0375,-41.73,-31.5689,-1.6575,-3.0,-27.9994,-2.4225,1.02,-5.2393,-1.1775,7.62,6.0016,-3.87,63.45,0.9317,-4.8525,-2.28,-5.6628,3.465,-4.9575,46.1978,5.865,-0.7425,-9.5106,3.8625,39.3375,1.1374,-5.1075,-0.42,-9.1355,-4.1475,10.5825,-4.5254,12.84,8.9475,-16.8553,-5.355,-3.6225,154.9042,-3.1275,-1.755,-31.0365,4.1175,-2.7975,-18.4888,-11.715,48.75,-14.9314,-7.4625,0.8325,-42.5557,-3.0075,-37.1625,-0.0726,4.0125,0.96,-4.8521
1754495568.4243765,-0.058355748653411865,0.26583003997802734,0.1547091007232666,0.7790156146094124,0.622302119762204,0.059899377553510234,-0.047820728915183554,0.0,0.0,1.77,-22.8825,-89.7215,-4.8225,12.1125,-5.2998,-1.5825,-67.7925,-42.1564,5.64,-9.585,-3.9688,-6.7425,13.5975,-63.1862,-3.0375,-39.78,-29.8749,5.5425,-3.15,251.0266,-0.0225,2.37,-5.2393,-1.4775,4.02,-4.4044,-4.17,67.05,-18.4283,-6.3525,-1.68,-9.0508,-5.835,4.6425,-14.5442,-3.735,3.9075,-2.0086,6.2625,-2.0625,-5.6386,-5.1075,0.48,-11.0715,-1.5975,12.9825,-3.3154,18.84,3.9975,-22.6633,-9.555,-3.6225,-30.9518,-3.7275,-1.755,-10.9505,5.3175,-1.5975,-20.4248,-11.715,-183.45,-11.0594,-7.4625,0.8325,154.9163,-0.6075,-37.1625,1.8634,3.8625,-4.44,-6.7881
1754495568.788231,-0.05762970447540283,0.26433849334716797,0.15472173690795898,0.7788197770705931,0.6225183143743331,0.05842299799987339,-0.0499744228819574,0.0,0.0,8.37,9.2175,-89.7215,14.5275,-6.7875,-0.9438,12.8175,11.4075,-38.2844,-3.96,-8.235,-3.4848,-6.7425,13.5975,-63.6702,-1.8375,-42.03,270.2051,0.7425,14.85,255.1406,-4.8225,1.02,-5.2393,-0.5775,-1.53,-5.6144,-4.47,62.25,-18.1863,-6.6525,8.52,0.6292,13.065,-2.5575,-12.8502,-3.735,3.9075,-9.7526,-0.9375,-2.0625,-8.3006,2.0925,0.48,-10.5875,-4.1475,8.1825,-4.5254,-11.16,3.9975,-24.5993,16.245,-3.3225,-30.9518,-2.5275,-0.555,-22.5665,14.3175,8.0025,165.4312,-11.715,44.55,-11.0594,-5.5125,3.9825,-42.3137,-3.0075,-31.7625,-1.0406,-5.7375,5.16,-1.7061
1754495569.1499572,-0.056700676679611206,0.2638273239135742,0.15485763549804688,0.7787785874090069,0.6225956877345254,0.05804837775676807,-0.0500889148149132,0.0,0.0,1.92,-23.1825,-88.7535,14.9775,-7.0875,-4.8158,3.2175,11.4075,-42.1564,5.64,26.415,-3.9688,-6.7425,13.5975,-63.6702,-2.7375,34.77,277.9491,11.5425,5.25,267.2406,-4.5225,0.42,57.1967,19.2225,-1.98,9.8736,-4.32,-14.55,-18.1863,-5.4525,3.12,52.4172,-5.535,4.6425,-16.7222,-3.735,-67.9425,-9.2686,-2.7375,12.3375,-6.6066,4.4925,-0.72,50.8805,2.4525,25.5825,-4.5254,22.44,5.1975,-19.5173,28.245,-3.6225,174.2642,-3.7275,2.445,-30.7945,13.7175,-2.1975,-20.4248,7.635,53.55,111.3926,-2.0625,10.7325,-42.0717,-3.0075,-37.1625,3.7994,-5.7375,-4.44,-2.9161
