timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754586399.7143052,0.18761107325553894,0.17142093181610107,-0.23491990566253662,95.0369497776182,-69.06554611825425,-5.86949342296679,0.5871522094533311,-0.4134457793448198,0.38903644385712777,0.5770316610946864,-100.0,-33.6,-12.6,-86.6,27.6,-28.42,-58.0,-29.0,-27.46,-102.8,-6.6,-17.12,-120.0,17.6,-8.72,-86.8,17.4,-39.08,-92.2,1.8,-42.64,-18.6,11.0,-56.85,-110.4,-4.0,-20.35,-83.6,26.0,-30.69,-72.8,-26.4,-67.83,-109.8,13.8,-44.25,-78.8,-12.8,-42.96,-92.2,-6.8,-39.73,-105.6,-3.8,-67.51,-54.4,16.0,-24.87,-149.4,-5.8,-37.79,-128.2,19.0,-87.86,-137.6,-30.2,-40.7,-127.6,-120.6,-46.51,-107.6,16.2,-53.62,-131.4,-18.6,-51.68,-163.0,-83.8,-41.02,-159.0,-229.0,114.99
1754586412.6788445,0.1876896619796753,0.17138230800628662,-0.23481589555740356,94.98832101105265,-69.08686370464136,-5.782445744524198,0.5871384327854537,-0.4132643658440264,0.3894157956174345,0.5769197253675684,-111.2,-27.0,-33.59,-99.0,30.6,-42.96,-68.6,-27.6,-36.82,-110.8,-6.0,-26.81,-115.0,29.6,-22.93,-84.6,27.8,-50.71,-92.8,10.0,-52.33,-20.6,20.8,-65.57,-104.0,0.0,-23.58,-79.0,31.0,-32.62,-71.4,-26.4,-68.48,-109.4,14.4,-43.61,-79.2,-13.2,-42.31,-91.8,-7.2,-39.41,-105.4,-4.0,-67.18,-54.2,15.6,-25.19,-149.0,-5.6,-37.47,-128.8,18.6,-88.18,-137.8,-30.2,-39.73,-127.4,-120.0,-46.51,-107.2,16.2,-53.62,-131.0,-18.8,-51.36,-162.6,-83.8,-40.7,-158.8,-229.2,115.31
1754586427.2864053,0.19435608386993408,0.17141294479370117,-0.22654461860656738,95.36784335867748,-68.10910665477147,-5.9673993624527375,0.5921777855820806,-0.4083686798295838,0.38448024157276456,0.5785632618880502,-111.0,-26.8,-33.59,-99.0,31.0,-42.31,-68.8,-27.8,-36.5,-111.0,-5.8,-27.13,-114.4,29.4,-21.96,-85.2,27.6,-50.07,-92.4,9.4,-51.36,-21.0,20.4,-66.22,-103.8,-0.2,-23.58,-79.4,30.4,-32.62,-71.2,-26.4,-67.51,-109.2,14.0,-43.93,-79.4,-13.2,-42.64,-92.2,-7.0,-39.08,-105.8,-4.0,-67.51,-54.2,15.8,-25.19,-149.0,-6.2,-37.15,-128.2,18.6,-87.86,-137.2,-29.8,-39.73,-127.4,-120.2,-46.19,-107.4,16.4,-53.62,-131.0,-18.6,-51.68,-162.6,-83.6,-40.7,-159.0,-229.0,115.63
1754586441.523807,0.1943192183971405,0.1714620590209961,-0.22654372453689575,95.32204015874306,-68.10028752799977,-5.935839829398839,0.5920930129573193,-0.40831807238988893,0.38442781002709503,0.578720591499101,-111.2,-26.8,-32.62,-99.2,30.6,-43.61,-68.4,-27.8,-37.15,-110.8,-5.4,-27.13,-114.6,29.4,-23.26,-84.8,28.0,-50.71,-92.4,9.6,-52.33,-21.2,20.4,-65.89,-103.8,0.4,-22.93,-79.0,31.4,-31.98,-71.0,-26.4,-67.51,-109.2,14.0,-43.61,-79.4,-13.0,-42.31,-92.0,-6.8,-39.73,-105.8,-3.6,-67.18,-54.2,16.0,-25.84,-149.0,-5.6,-37.47,-128.6,19.4,-88.18,-137.6,-29.6,-39.73,-127.4,-120.0,-46.84,-107.6,16.6,-53.3,-130.8,-18.4,-51.68,-162.8,-83.4,-40.7,-159.2,-228.8,115.63
1754586455.346588,0.1943143606185913,0.1714465618133545,-0.22645097970962524,95.36785595449444,-68.10376157893033,-5.964749592587096,0.5922079165535781,-0.4083299793196008,0.38446419467713616,0.5785703855923157,-111.4,-26.6,-33.27,-99.2,30.8,-43.28,-68.4,-27.0,-37.79,-110.4,-5.6,-27.13,-114.6,29.6,-22.61,-84.6,28.8,-50.39,-92.2,10.0,-52.0,-21.0,20.6,-66.22,-104.0,0.2,-22.61,-79.6,30.8,-31.98,-71.0,-25.8,-67.51,-109.2,14.4,-42.96,-79.4,-12.8,-41.34,-91.8,-6.6,-40.05,-105.2,-3.4,-67.51,-54.4,16.0,-25.19,-149.2,-5.8,-37.79,-128.4,19.2,-88.18,-137.8,-30.2,-39.73,-127.4,-120.4,-46.19,-107.0,16.6,-53.62,-131.2,-18.6,-52.0,-162.6,-83.6,-40.38,-159.4,-228.8,114.99
1754586470.783299,0.1943185031414032,0.1714569330215454,-0.22660493850708008,95.40743992075433,-68.10670761151789,-5.975729126692213,0.5923572549657491,-0.40826765453996,0.3845660917992959,0.5783937575490589,-111.0,-26.2,-33.27,-99.0,31.2,-43.28,-68.2,-27.2,-37.15,-110.2,-5.4,-26.16,-114.4,29.4,-22.61,-84.6,28.2,-50.39,-92.4,10.0,-51.36,-20.8,21.0,-65.89,-104.2,0.2,-23.26,-79.0,30.8,-32.62,-71.0,-26.2,-67.51,-109.0,14.6,-43.28,-79.4,-12.6,-42.31,-91.8,-6.6,-39.08,-105.8,-3.8,-66.86,-54.4,15.6,-24.87,-148.8,-6.0,-38.11,-128.2,19.2,-88.5,-137.4,-29.8,-39.73,-127.2,-120.2,-47.16,-107.4,16.4,-53.94,-131.2,-18.8,-51.68,-163.0,-83.0,-41.02,-158.4,-229.2,115.31
1754586486.1224608,0.19429191946983337,0.17156946659088135,-0.22656959295272827,95.44059530030306,-68.118802821146,-6.024655567098968,0.592303496841443,-0.4084657868631364,0.3845039522180482,0.578350237768545,-111.6,-26.4,-33.27,-98.6,31.0,-43.61,-68.4,-27.8,-37.15,-110.6,-5.2,-27.13,-115.0,29.4,-22.93,-84.8,28.2,-50.39,-92.4,10.2,-52.0,-22.0,20.4,-64.6,-106.8,-0.8,-22.61,-80.6,29.8,-33.59,-72.4,-27.2,-68.48,-110.8,11.6,-44.25,-80.0,-12.8,-42.64,-92.8,-7.2,-39.73,-108.4,-5.0,-67.51,-55.4,13.4,-23.58,-149.4,-5.4,-37.79,-129.6,20.0,-88.18,-144.6,-31.2,-38.76,-138.4,-139.4,-38.76,-106.0,17.2,-52.97,-130.6,-15.0,-52.0,-173.2,-72.8,-39.73,-208.2,-236.4,166.67
1754586500.2524216,0.19422468543052673,0.17164874076843262,-0.22662049531936646,95.43090982773063,-68.12431006979331,-5.9860228293481725,0.5923709981368634,-0.40832428121313297,0.3846947639914634,0.5782540977039736,-111.4,-26.6,-33.59,-99.2,30.6,-43.61,-69.2,-28.0,-37.47,-110.8,-6.0,-26.81,-115.0,29.8,-23.26,-84.8,27.8,-51.03,-93.2,9.4,-52.33,-21.6,19.4,-65.89,-104.2,0.0,-23.9,-79.8,30.0,-31.98,-72.4,-27.6,-68.15,-110.4,11.4,-43.28,-79.6,-13.2,-43.28,-93.0,-7.0,-39.73,-108.4,-5.4,-67.83,-55.2,13.6,-23.9,-148.6,-5.4,-37.79,-129.8,20.4,-87.86,-144.6,-31.2,-39.41,-138.2,-139.6,-38.44,-106.6,17.6,-53.62,-130.8,-14.8,-51.68,-172.8,-72.8,-39.73,-208.4,-236.8,166.35
1754586514.5293734,0.1943453550338745,0.17156577110290527,-0.22673213481903076,95.36443526185522,-68.11470591267907,-5.95564664625834,0.5921808583597814,-0.40834554593837863,0.38455826621275463,0.578524578363348,-111.4,-26.8,-33.27,-99.2,31.0,-43.28,-68.8,-27.8,-38.11,-110.8,-6.0,-26.81,-115.0,29.6,-22.29,-85.0,27.8,-50.71,-92.8,9.2,-52.33,-21.2,19.0,-65.89,-103.8,0.0,-23.26,-79.6,30.4,-32.3,-72.2,-27.2,-68.15,-110.2,11.4,-43.28,-80.0,-12.6,-42.64,-93.2,-7.2,-40.05,-108.8,-5.6,-67.51,-55.8,13.4,-24.23,-148.6,-5.4,-37.15,-129.8,20.4,-88.5,-144.8,-30.8,-38.76,-138.4,-139.2,-38.44,-107.0,17.6,-53.3,-130.6,-14.8,-52.0,-173.2,-72.6,-40.38,-208.6,-236.8,166.99
1754586530.3316417,0.19423583149909973,0.1716703176498413,-0.2265346646308899,95.43729405846082,-68.12079054797402,-6.016585452515183,0.5923079467521275,-0.40844443419150056,0.3845439035999512,0.5783342320823681,-111.4,-26.8,-33.59,-99.6,31.2,-43.61,-68.8,-28.0,-37.47,-110.8,-6.0,-26.81,-115.0,29.6,-22.61,-85.2,27.4,-51.03,-92.6,9.2,-51.68,-21.2,19.8,-66.22,-104.4,0.0,-23.26,-80.0,30.4,-32.62,-72.2,-27.2,-67.83,-109.8,11.4,-44.25,-79.6,-12.6,-41.99,-93.2,-7.0,-40.38,-108.6,-5.2,-67.51,-55.2,13.4,-24.23,-149.2,-5.6,-37.79,-130.0,20.0,-88.18,-144.2,-30.8,-38.44,-138.6,-139.4,-39.08,-106.6,17.2,-52.97,-130.0,-14.8,-51.68,-173.0,-72.8,-39.73,-208.4,-236.6,166.67
