timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z,Patch,Area
1754586613,-0.064428419,-0.016937494,0.472977757,-90.94506831,-1.279573307,179.3810421,-0.003979658,0.712901827,-0.701154127,-0.011747903,-106.2,-28,-36.82,-98.4,31.8,-41.02,-68.8,-25,-33.59,-111.2,-3,-23.58,-108,31.6,-23.58,-83.2,31,-45.87,-90.4,15.6,-46.51,-19,28.2,-59.43,-100.2,2.6,-17.44,-74.8,37.6,-24.87,-65.8,-14.8,-59.11,-107,30.6,-34.88,-73.8,-8.8,-33.92,-82,5.2,-28.42,-93.2,21.2,-53.3,-54,32,-0.32,-138.4,0,-27.13,-105,37.2,-73,-101,23.2,-27.13,-112.8,0.4,-40.7,-91.6,21.2,-40.38,-86.6,3.6,-36.18,-53.8,11,-54.26,-55.8,40.4,-47.16,x,0
1754586626,-0.064669222,-0.015761137,0.471734643,-90.96991523,-1.166514724,179.1677806,-0.001958349,0.713062495,-0.700988933,-0.01234993,-106.2,-28,-36.5,-98.2,31.6,-41.34,-68.4,-25.4,-34.56,-111.2,-2.2,-22.93,-108.2,31.8,-23.9,-82.8,31.2,-46.19,-90.6,15.4,-46.51,-19.8,28.2,-59.43,-100.8,2.2,-17.77,-74.6,37.4,-24.87,-66,-14.8,-58.79,-106.6,30.6,-34.88,-73.4,-8.6,-34.56,-81.6,5,-27.13,-93.4,21,-52.97,-54,31.8,-0.65,-138.2,-0.2,-27.46,-105.4,37,-73.64,-100.8,24,-26.81,-112.8,0.8,-41.02,-92,22,-39.41,-86.6,3.2,-36.82,-54,10.6,-54.59,-56,41,-46.84,x,0
1754586634,-0.064701766,-0.015529275,0.471490264,-91.09207276,-1.138331041,179.1032777,-0.001371122,0.713810771,-0.700224433,-0.012570629,-106.2,-27.6,-36.18,-98.4,31.8,-41.99,-68.6,-25.2,-34.24,-110.6,-2.2,-23.26,-107.8,32.2,-23.9,-82.6,31.2,-46.51,-90.6,15.4,-46.51,-19.6,27.8,-59.11,-100.4,2.2,-17.44,-75,37.4,-25.19,-65.8,-14.6,-58.79,-107.4,30.2,-35.21,-73.2,-9,-34.24,-81.6,5,-27.78,-93.8,21.2,-52.65,-53.6,31.6,-0.65,-138.4,-0.2,-27.13,-104.8,36.6,-73.32,-101.2,23.4,-27.13,-112.8,0.4,-40.7,-91.6,21.6,-40.05,-86.8,3.2,-35.85,-54,10.8,-54.59,-55.6,40,-47.8,x,0
1754586640,-0.064838916,-0.015301347,0.471714973,-91.01925136,-1.129941884,179.092773,-0.001262443,0.713365876,-0.700677697,-0.01258177,-106.2,-28.2,-36.5,-98.6,31.4,-41.02,-68.4,-25.2,-34.88,-111.2,-2.2,-23.26,-108,31.4,-23.58,-82.8,31,-46.19,-91,15.2,-46.84,-19.4,27.8,-60.08,-100.4,2.2,-17.77,-75.2,36.8,-25.19,-66,-14.6,-58.79,-107.4,30.4,-35.21,-73.8,-8.6,-33.92,-82,5.2,-28.1,-93.6,20.8,-52.97,-54,32,-0.32,-138.2,0,-27.13,-105.2,36.8,-73.64,-101.4,24,-26.49,-112.4,0.6,-41.02,-92,21.4,-40.05,-86.6,3,-36.18,-53.6,11,-54.59,-55.8,40.4,-48.45,x,0
1754586644,-0.064697891,-0.015375257,0.47131598,-91.14512338,-1.116898898,179.0541143,-0.000928009,0.714135619,-0.699890827,-0.012737994,-105.8,-28.4,-37.15,-98.4,31.8,-41.34,-68.8,-25.2,-34.56,-111.2,-2.4,-22.93,-108,31.8,-22.61,-83,31,-46.19,-90.6,15.2,-46.51,-19.8,28,-59.76,-100.4,2.2,-17.77,-75.4,37.6,-24.87,-66,-14.6,-58.79,-107,30.2,-35.85,-73.6,-8.8,-34.24,-81.6,5.2,-27.13,-93.6,21.2,-53.3,-53.6,31.8,0,-138.2,-0.4,-27.78,-105.6,37,-74.29,-100.6,23.6,-27.13,-112.2,0.4,-40.38,-91.6,21.6,-40.38,-86.6,3.8,-36.18,-53.4,11,-54.26,-56.2,40.4,-47.8,x,0
1754586657,0.188455909,0.169314265,-0.222254395,-93.7459848,-61.49654318,-177.288305,-0.364255173,0.618794856,-0.596180862,-0.359137127,-106.4,-28.4,-36.5,-98.6,31.4,-41.02,-69,-25.6,-34.56,-111.2,-2.4,-23.58,-107.8,31.4,-23.58,-82.8,31,-46.51,-90.8,15.2,-46.51,-19.2,28,-59.43,-100.6,2.2,-17.77,-75.2,37,-24.87,-66.2,-15,-58.79,-107,30.2,-34.88,-73.8,-9,-34.56,-82.2,5.2,-27.78,-94.2,21.2,-52.97,-53.8,31.8,-0.32,-138.4,0,-26.81,-105.2,37.2,-73.32,-101,23.4,-26.16,-112.8,0.8,-40.7,-91.6,21.6,-40.38,-86.8,3,-35.85,-53.8,10.4,-54.26,-56.2,40.6,-47.16,o,9
1754586671,0.188680351,0.168946624,-0.221936703,-93.51892508,-61.50108591,-177.3543217,-0.36463319,0.617807178,-0.597185919,-0.358783888,-106.2,-27.8,-37.15,-98.8,31.4,-41.34,-68.8,-25.4,-34.88,-110.8,-2.2,-23.58,-108.2,31.4,-23.58,-82.4,31.2,-46.19,-90.6,15.2,-46.51,-19.8,27.8,-59.43,-100.4,1.8,-18.09,-75,37.2,-24.87,-66.2,-14.6,-59.11,-107.2,30.4,-35.21,-73.6,-8.8,-35.21,-81.6,5,-27.78,-93.8,21,-52.33,-53.8,31.8,-0.32,-138.6,-0.2,-27.46,-105.4,37.2,-73.64,-101,23.8,-26.16,-112.8,0.4,-40.7,-91.8,21.6,-40.05,-86.6,3.2,-36.5,-53.8,11,-54.59,-55.8,39.6,-47.16,o,9
1754586687,0.188714117,0.168812752,-0.221969128,-93.46312536,-61.47731412,-177.3778967,-0.364560413,0.617671348,-0.597482607,-0.358597761,-106.4,-28.4,-36.18,-98.8,31.8,-41.34,-68.8,-25.2,-34.24,-111,-2.2,-23.26,-108.2,31.4,-23.26,-82.6,30.8,-46.19,-91,15.2,-46.51,-19.4,28.2,-59.11,-100.6,2.2,-17.77,-75,37.4,-24.87,-66,-14.6,-59.11,-107,30.6,-35.21,-73.8,-9.2,-34.56,-82.4,4.4,-27.78,-93.6,21,-52.97,-54.2,32.2,-0.32,-138.4,-0.4,-27.13,-105.4,37.2,-73,-101,23.6,-26.81,-113,0.2,-40.05,-92,22,-40.7,-87,3.4,-35.53,-53.6,10.8,-53.94,-56.2,40.6,-47.48,o,9
1754586701,0.173673242,0.168698311,-0.219458938,-92.8683704,-55.01092146,-178.0419615,-0.329224134,0.637149057,-0.61691474,-0.324143069,-106.2,-27.8,-36.18,-98.8,31.8,-41.34,-69.4,-25.8,-33.92,-110.6,-2.4,-23.26,-107.8,31.4,-23.26,-82.6,30.8,-46.19,-90.8,15.4,-46.19,-19.4,27.8,-59.43,-100.4,2.6,-17.77,-75,37,-23.9,-65.8,-14.8,-58.46,-106.8,30.2,-34.88,-73.6,-8.6,-34.56,-82,5.2,-28.42,-93.6,21.4,-53.3,-53.4,31.8,0.32,-138.2,-0.6,-27.13,-105.8,36.8,-73,-101.2,23.4,-26.81,-112.8,0.8,-39.73,-91.6,21.4,-40.38,-87.2,2.6,-36.18,-54.2,10.6,-54.59,-56.4,39.8,-46.19,o,9
1754586710,0.174079001,0.167901397,-0.218827188,-92.78398284,-55.00140641,-178.1156701,-0.329002817,0.636934959,-0.617200903,-0.324243851,-107.8,-33.8,-46.84,-102,39.2,-24.23,-73.6,-35.4,-31.01,-113.8,-13.8,-24.55,-111.8,31,-26.49,-85.6,27.6,-52,-93.8,8.6,-52.33,-21.6,18,-65.89,-104.2,-0.2,-23.58,-80.4,30,-32.62,-73.2,-28.4,-68.15,-111,9.2,-43.93,-80.2,-13,-42.64,-94.6,-8,-40.38,-110.4,-7.8,-66.86,-55.4,12.2,-21.64,-150,-5.8,-37.79,-132.6,18.8,-88.83,-149.2,-36.6,-36.5,-136.8,-150.8,-32.3,-107.8,18.2,-54.26,-135,-16,-52,-187.8,-80.8,-29.72,-201,-255.4,208.34,o,9
