timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,actuator_on,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753076613.2077246,0.2591681182384491,0.25971221923828125,-0.592676043510437,89.89870017544,28.127534149404042,11.874717724803903,0,31.9725,-3.3975,-8.9056,-4.305,3.54,-35.5135,0.315,-4.665,-32.8636,-0.4425,2.505,-33.88,-1.47,-1.2525,-3.751,-59.4525,-2.6175,31.4842,-62.6625,-72.4425,5.3603,-34.77,-39.6525,-16.0688,-78.3075,5.4975,-3.146,-25.4625,-9.51,32.8273,-1.7925,-2.6775,-3.4848,-4.9575,31.17,-13.6488,-1.545,-3.5325,-51.0015,-4.9425,8.7225,-4.598,-3.1125,-25.14,23.8733,-3.315,-2.565,-31.9198,-35.415,16.05,-19.5415,-18.315,-1.9875,-2.3716,-5.2125,-1.7775,0.121,-4.8075,-1.35,0.6534,-22.5375,1.3575,-2.6741,-23.07,2.1,-6.05,-8.7375,-2.16,-1.9239,-5.9025,-2.43,1.8876
1753076613.5694892,0.315749853849411,0.332516074180603,-0.5193146467208862,71.56102827330054,17.329519993667823,-5.357103530540087,0,30.9225,-3.3975,-9.3896,-4.305,5.94,-35.0295,-2.085,-4.365,-32.6216,-1.1925,-7.245,-26.862,12.63,-1.2525,11.737,-53.4525,-2.0175,0.9922,-72.2625,-35.0925,5.3603,-44.37,-34.8525,44.9152,-77.8575,5.3475,1.694,-25.4625,-86.31,50.2513,-2.2425,-2.2275,-3.9688,-4.9575,32.07,49.2712,-3.945,-3.5325,10.9505,-4.9425,-0.4275,-4.598,1.6875,51.51,23.8733,-3.315,-2.865,-4.8158,-28.065,1.65,-19.0575,-18.315,-2.2875,-2.3716,-4.7625,-2.5275,36.663,4.6425,-1.35,4.5254,-32.1375,-3.7425,-2.6741,-23.07,19.05,28.798,-46.9875,-1.56,27.8421,70.8975,-2.43,17.3756
1753076613.9331205,0.42260095477104187,0.31859922409057617,-0.4785473644733429,75.01469862816957,8.21870177228986,-21.3033620772773,0,-41.0775,-3.3975,-42.3016,-4.305,2.34,-35.5135,-0.885,-4.665,-95.2996,-6.4425,1.155,10.164,-1.77,-1.2525,-1.815,-64.2525,11.3325,-61.9278,-72.5625,-73.6425,-52.7197,34.83,-39.6525,-17.2788,150.1425,4.8975,-6.05,-25.4625,-8.61,67.6753,-2.9925,-2.8275,-3.9688,225.4425,-45.78,-17.5208,150.255,-1.1325,-51.0015,1.0575,1.3725,-66.55,74.8875,52.11,-38.0787,78.285,9.135,-66.7678,-36.015,1.65,11.4345,0.885,-2.4375,1.5004,-5.2125,-2.3775,59.895,-5.1075,-1.35,-33.9526,-19.5375,-4.6425,120.2619,1.98,16.05,118.096,-45.9375,16.59,-3.1339,-5.6025,74.37,-52.3204
1753076614.2963314,0.437849223613739,0.3028421401977539,-0.47715023159980774,78.34010097023673,9.274264702391394,-20.10057626885178,0,30.9225,74.0025,-35.5256,8.895,73.14,-31.6415,-69.285,72.135,-93.3636,-5.6925,77.205,-95.106,-1.77,-0.9525,-65.703,12.5475,7.1325,4.8642,4.8375,3.1575,-47.8797,-25.17,42.5475,-12.9228,-73.0575,28.7475,-5.324,51.3375,-71.91,-28.6407,-2.9925,74.1225,-0.0968,-4.9575,35.97,46.3672,-1.245,15.6675,-20.0255,0.4575,8.8725,-4.598,-0.4125,52.26,-22.5907,-2.715,73.935,-64.8318,-37.815,74.25,104.3625,-16.965,112.6125,-0.4356,-0.4125,-2.5275,-61.831,-0.3075,37.05,61.1534,-41.7375,0.1575,615.8779,34.53,83.25,131.406,-44.7375,79.29,120.7701,-4.7025,80.37,-63.9364
1753076614.6601894,0.43424004316329956,0.3063470721244812,-0.4825908839702606,85.28690351958079,14.917419580450483,-5.898345585495973,0,31.0725,73.8525,-11.3256,-1.905,73.14,-18.0895,-76.485,72.135,-95.0576,-0.4425,69.705,-97.526,-1.77,-1.2525,-61.831,-59.3025,-2.0175,-50.3118,-38.8125,12.7575,26.6563,-44.37,37.1475,-13.4068,-79.3575,7.1475,17.182,-3.8625,-9.21,2.3353,-0.5925,74.2725,3.7752,-4.8075,-26.73,45.3992,-3.345,-2.1825,-13.2495,-4.9425,1.3725,-66.55,-2.9625,51.66,-38.0787,7.485,74.085,26.8862,-28.215,73.65,105.8145,-18.165,119.8125,-1.8876,-1.4625,26.2725,-48.521,-3.7575,56.4,-34.1946,-32.1375,33.9075,615.8779,-12.12,131.85,118.822,-42.3375,83.49,120.7701,-5.3025,74.52,-47.9644
1753076615.0232146,0.46868187189102173,0.3261701464653015,-0.4290812909603119,88.99182999458958,5.7705214885039195,-6.659576510095998,0,30.9225,-3.0975,-26.8136,-3.105,92.34,-35.5135,-78.435,14.535,-95.2996,-83.2425,92.355,-83.732,-1.47,8.9475,-65.703,12.5475,-1.7175,-60.9598,-67.1625,-73.6425,-56.5917,-8.37,-39.6525,-13.4068,-3.4575,4.7475,-0.242,52.5375,-86.31,32.8273,150.6075,4.3725,11.5192,148.6425,-44.13,-5.9048,149.655,15.6675,-35.5135,14.2575,1.3725,1.21,-3.1125,-15.39,23.8733,73.485,1.935,-66.7678,-37.065,6.45,42.4105,61.185,-1.9875,1.5004,81.1875,-2.5275,-32.549,78.8925,-1.05,-65.1706,-41.7375,-4.0425,511.3339,-23.07,-3.0,-2.178,-47.1375,35.49,-3.1339,-5.3025,7.77,-1.0164
1753076615.3862717,0.511268138885498,0.31531691551208496,-0.3757437765598297,88.92451770834776,-2.4417750963575053,-14.38728223106929,0,222.9225,35.0025,-11.3256,-4.305,150.24,-33.5775,-2.085,-4.665,-95.2996,3.4575,10.905,24.2,-77.97,10.8975,-1.815,-64.1025,15.9825,62.9442,-70.1625,-70.4925,67.7963,-44.37,-29.7525,107.5932,-76.9575,-52.8525,-6.05,-20.6625,-86.31,-25.2527,-0.5925,-2.5275,119.9352,4.6425,-6.93,106.3832,5.955,39.9675,72.9025,-4.9425,3.7725,57.354,-1.0125,13.11,-38.0787,6.285,40.335,-66.7678,-37.815,-540.7501,-19.5415,-18.315,-1.9875,1.5004,-5.2125,-2.2275,-1.089,-5.1075,-596.4,-26.4506,-32.1375,-618.4426,-3.6421,-7.47,-3.15,-5.808,-2.7375,73.89,-1.1979,42.0975,74.37,-56.1924
1753076615.7502322,0.5577671527862549,0.29690080881118774,-0.3988747298717499,89.24808467841625,-1.0598488327009878,-16.505877621341142,0,187.3725,92.6025,-10.3576,152.745,149.94,134.8545,37.665,16.935,40.2204,-82.9425,512.3551,24.442,-78.57,460.1475,68.365,-64.1025,150.3825,93.1942,-71.2125,-64.0425,82.8003,-44.37,-0.9525,-17.2788,-77.7075,82.7475,-6.05,-24.8625,73.29,-12.6687,-1.6425,35.5725,-0.0968,-4.9575,108.57,-16.5528,73.755,18.0675,74.8385,-2.5425,1.3725,-65.098,73.6875,-25.29,-38.0787,-3.315,-2.865,-65.7998,-36.915,-3.0,-19.2995,-17.115,-2.5875,245.4364,6.7875,64.6725,-64.009,-4.8075,41.85,184.5734,-41.4375,-4.6425,2.6499,-23.07,-1.95,257.246,-46.8375,-2.91,4.6101,81.6975,74.37,-60.0644
1753076616.1142159,0.534121572971344,0.3331279158592224,-0.5290151834487915,85.37630352957399,5.479932794230107,-14.98560596754292,0,107.7225,76.4025,-36.4936,91.695,74.34,-33.5775,-2.085,-4.665,-87.5556,150.1575,89.055,-33.88,-78.57,8.9475,-1.815,-64.2525,1.5825,3.8962,158.1375,-64.0425,13.5883,109.23,-39.6525,-1.7908,75.2925,-71.1525,-1.21,-25.4625,-86.01,1.8513,155.4075,-2.8275,27.0072,148.6425,-24.78,13.4552,-3.945,3.6675,-47.1295,16.6575,3.7725,-42.35,152.8875,-25.29,23.8733,152.685,-2.865,-57.8138,134.985,2.85,120.8185,137.685,-2.5875,-0.9196,148.3875,7.6725,59.895,186.8925,25.65,58.7334,150.2625,15.7575,120.2619,15.93,1.95,-6.05,144.8625,-2.91,120.7701,147.6975,2.37,-1.9844
1753076616.4783955,0.4658295214176178,0.3115825057029724,-0.5219587087631226,83.07739818998441,17.579560618481892,-14.596325953917678,0,31.0725,85.5525,-42.3016,-3.705,73.14,-34.7875,84.765,-1.665,-87.5556,80.2575,79.155,-95.59,93.03,10.7475,-63.525,89.3475,78.3825,0.0242,-72.5625,3.1575,-56.5917,130.83,37.4475,75.6492,73.9425,26.3475,-5.082,128.1375,-62.31,2.3353,73.8075,309.1725,-3.9688,72.2925,-45.93,-17.2788,73.005,304.8675,-50.0335,71.8575,306.1725,-51.062,-3.1125,282.51,-37.8367,150.285,1.935,-62.4118,1.185,75.15,-18.5735,-17.115,74.2125,-2.3716,4.3875,3.4725,-55.781,24.8925,-1.35,-30.3226,-41.7375,-4.6425,507.4619,112.23,8.85,-6.05,50.6625,-2.91,-2.1659,72.0975,19.17,-1.0164
