timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753523718.6793714,0.2401392012834549,0.036257266998291016,0.22968006134033203,-84.33595550619013,-76.45393288335539,173.46301869955067,-19.7325,-0.0525,24.9018,-16.38,-16.215,-10.4907,10.3425,-4.1775,-65.6062,-20.67,-38.7825,13.3705,-48.8325,-52.7025,-45.7622,13.2075,-1.95,-57.0152,-28.9875,-7.4625,21.6953,-25.1775,-0.195,-66.55,-22.47,-0.645,5.0336,4.38,-0.9,-34.4245,-15.945,-4.9125,21.78,-26.0625,-2.7525,2.4079,-8.0175,4.89,2.057,-27.315,13.32,2.2506,-21.8925,3.9975,7.744,-18.2925,-2.9175,-4.7795,-30.63,38.13,15.4033,3.1575,9.705,-14.2054,16.1625,45.42,-53.845,-6.1725,14.595,29.2215,-4.4325,67.005,19.0575,8.76,56.655,2.3958,3.78,-306.24,-7.9739,32.355,-1.0275,24.7203
1753523719.0418205,0.24010087549686432,0.036191701889038086,0.22968173027038574,-84.33515073138935,-76.4466426293512,173.45186001249917,-25.7325,-2.6025,25.1438,22.17,-16.515,8.3853,10.3425,-4.1775,59.0238,0.33,-37.7325,-80.5255,-69.2325,-46.7025,31.4358,27.3075,3.45,40.7528,-28.9875,-7.0125,21.6953,-22.6275,7.605,-64.856,26.73,1.155,5.5176,-4.62,-0.9,67.6995,-17.145,4.6875,-9.196,22.8375,-3.3525,3.3759,-5.6175,7.29,2.541,-25.515,-1.23,-28.7254,16.8075,-5.0025,-1.936,20.1075,-2.9175,32.0045,7.17,35.73,-32.0287,-6.4425,-2.295,-11.3014,-4.2375,-343.38,39.083,-6.1725,15.195,-63.7065,-4.4325,66.405,-19.4205,13.56,56.505,6.2678,3.78,-309.84,-8.4579,-14.595,-1.6275,-60.7057
1753523719.4051049,0.24027083814144135,0.03645467758178711,0.2299497127532959,-84.35480952240367,-76.45917162442969,173.46139067137415,-25.7325,-2.6025,-37.0502,-15.18,-15.915,-10.9747,-3.9075,-4.1775,27.3218,77.73,-29.3325,-79.5575,12.6675,-55.7025,17.8838,-10.4925,-1.95,40.7528,-29.2875,-7.6125,37.1833,-25.1775,4.755,30.008,18.33,1.155,5.0336,-5.22,1.5,65.7635,-17.145,-4.9125,21.78,-27.8625,-3.3525,21.5259,-8.0175,-2.31,2.299,-26.715,-0.93,-28.7254,26.1075,-3.2025,-1.694,-18.2925,6.6825,24.2605,7.47,35.73,15.4033,0.7575,-1.995,-8.3974,-6.6375,35.52,27.467,13.0275,26.745,-61.7705,5.1675,66.405,-19.6625,8.76,55.605,8.2038,1.68,-301.44,22.5181,-15.795,0.6225,24.4783
1753523719.768711,0.24011282622814178,0.03631901741027832,0.2298799753189087,-84.16841443375134,-76.44681250272335,173.30260339976581,128.1675,-2.6025,-35.1142,26.97,-14.115,6.4493,-8.5575,-2.9775,-65.8482,0.63,-37.7325,35.6345,-69.2325,-55.1025,49.1018,142.5075,-1.95,-59.9192,-29.1375,-2.2125,-9.2807,32.4225,-2.445,28.072,35.13,-0.045,5.0336,-5.22,-0.6,-34.9085,-12.195,-4.9125,-37.994,10.5375,-3.3525,2.4079,-6.8175,-1.86,2.057,22.485,-1.23,-28.7254,16.8075,12.9975,-24.2,30.9075,-2.9175,47.7345,16.77,35.73,-0.8107,-6.1425,-2.295,17.7386,-6.4875,42.72,54.571,-0.7725,-364.155,-63.7065,14.7675,67.005,-18.4525,16.26,61.005,8.2038,1.38,73.26,7.5141,41.805,8.8725,24.4783
1753523720.1300702,0.24030254781246185,0.03654170036315918,0.22999095916748047,-84.13143056122205,-76.43867080050397,173.22819086374457,-25.7325,54.9975,-37.0502,22.02,-16.515,-10.4907,1.3425,-4.1775,27.0798,3.33,-35.3325,15.3065,7.5675,-56.0025,48.8598,8.1075,-1.95,34.9448,9.1125,35.7375,-9.0387,13.2225,2.805,27.104,-22.47,8.505,5.0336,-5.22,-0.9,-33.6985,21.255,-4.9125,-8.712,20.7375,-3.3525,6.0379,1.5825,16.89,2.057,-27.915,13.77,17.7386,35.8575,-5.6025,-1.936,-17.0925,-2.9175,-68.4255,7.77,35.73,-32.0287,15.1575,-376.695,-11.3014,0.5625,-346.08,8.107,-3.1725,-369.555,29.2215,-3.8325,66.405,1.8755,18.36,55.305,2.3958,3.78,72.96,-4.3439,22.605,-1.9275,24.4783
1753523720.4947472,0.24024374783039093,0.03672635555267334,0.22994661331176758,-84.1364444981594,-76.43646215739601,173.26000365310057,51.6675,-2.6025,-37.0502,22.32,-15.915,-10.9747,-65.8575,7.8225,36.7598,-6.87,-38.9325,-2.8435,7.5675,-56.3025,46.9238,8.4075,315.0,34.9448,9.4125,-7.6125,21.6953,14.1225,4.605,-64.856,-22.47,17.955,5.0336,-5.07,4.2,-34.9085,26.055,-4.9125,-9.196,-27.8625,8.9475,2.1659,-2.6175,-2.31,2.057,-27.615,-0.93,2.9766,27.3075,-5.0025,-24.2,-7.4925,-2.9175,34.4245,16.77,-337.02,29.9233,13.0575,-2.295,23.5466,12.5625,36.12,41.019,13.0275,25.245,-63.7065,-4.4325,66.405,-11.4345,8.76,59.805,2.3958,1.38,72.96,115.4461,-15.795,2.8725,1.2463
1753523720.8574326,0.24008725583553314,0.036353230476379395,0.22978198528289795,-84.29315448605853,-76.48049497613462,173.437968591683,52.4175,6.9975,-5.5902,2.97,-16.515,-3.2307,11.0925,-4.1775,-3.8962,-1.47,-33.2325,20.6305,7.5675,-51.5025,20.7878,8.7075,-1.95,33.0088,-29.2875,-7.6125,22.4213,-24.8775,-2.595,27.588,39.93,-1.245,5.0336,-5.22,-0.9,-31.0365,-16.995,0.0375,-7.26,-27.8625,-3.3525,9.9099,-7.4175,-2.31,-59.895,-26.715,-0.63,2.2506,26.1075,12.9975,-1.936,39.9075,1.8825,8.7725,8.37,36.33,14.4353,12.9075,-2.295,-14.6894,-6.6375,40.32,-53.845,-6.0225,15.045,-1.7545,-4.4325,80.805,11.3135,27.96,55.605,-30.5162,1.68,73.26,-4.5859,25.005,0.4725,9.2323
1753523721.219026,0.2401856929063797,0.036618947982788086,0.22984910011291504,-84.24263100084772,-76.44451018842973,173.35430172910904,-25.5825,-1.4025,9.4138,-16.38,-16.365,-10.9747,-8.8575,-4.0275,29.0158,-1.17,-38.6325,30.7945,8.1675,-52.7025,25.6278,-11.0925,-1.95,42.9308,-29.2875,-7.0125,-70.9907,-22.1775,-2.445,34.848,20.73,-1.095,5.0336,19.68,-0.9,65.7635,35.655,-4.9125,-9.196,-27.8625,15.8475,-13.3221,11.1825,7.29,2.299,-27.915,-1.23,-27.7574,16.5075,-5.0025,1.936,-18.2925,9.0825,24.2605,7.17,35.73,38.8773,-6.4425,-2.145,-15.1734,-5.7375,35.82,46.827,-6.1725,14.445,29.2215,-1.7325,66.705,13.2495,29.76,55.005,-28.5802,1.53,72.96,-8.4579,41.805,-1.9275,24.4783
1753523721.5817392,0.24000419676303864,0.03627657890319824,0.22969746589660645,-84.32313858592994,-76.46347164149023,173.4108661934842,36.6675,-2.6025,25.1438,-16.23,-16.515,-10.9747,-8.8575,-4.1775,27.0798,0.03,-33.5325,12.4025,-49.8825,-51.3525,15.9478,8.1075,7.65,33.0088,-29.1375,-7.6125,23.1473,-25.1775,-0.195,26.378,-21.87,-0.945,5.0336,-4.62,-0.9,-32.9725,2.055,4.6875,-8.228,-17.9625,-3.3525,2.1659,11.1825,-2.31,3.025,-27.165,-0.78,-20.9814,26.4075,12.9975,-1.936,-18.1425,4.2825,24.2605,7.17,36.18,-1.0527,12.7575,-384.195,15.8026,-4.2375,35.52,39.083,-4.8225,14.745,29.2215,-4.4325,66.405,11.3135,-28.44,55.005,0.4598,1.68,74.46,-8.4579,-15.795,-1.3275,24.4783
1753523721.9438715,0.24041981995105743,0.036991119384765625,0.23039305210113525,-84.45778165059,-76.46493939659878,173.52903160182706,31.8675,-0.2025,-6.0742,-16.08,295.485,-10.9747,-8.2575,43.8225,-65.8482,-15.27,-27.5325,1.0285,7.5675,-56.3025,46.9238,-11.0925,-1.95,-58.9512,18.7125,1.9875,-71.2327,-20.3775,7.605,41.624,-22.47,-0.645,5.0336,-4.02,8.7,61.8915,-7.545,-4.9125,21.78,12.3375,6.2475,2.1659,0.3825,-2.31,2.057,32.085,-0.63,4.1866,-21.8925,12.9975,-0.968,-18.2925,6.6825,24.7445,17.07,36.93,30.4073,12.9075,-2.295,15.8026,1.7625,35.52,42.955,-4.9725,19.245,-63.7065,-4.4325,66.405,19.0575,9.36,55.005,0.4598,-37.02,80.16,7.0301,-15.795,-0.7275,24.4783
