timestamp,tracker_1_pos_x,tracker_1_pos_y,tracker_1_pos_z,tracker_1_rot_w,tracker_1_rot_x,tracker_1_rot_y,tracker_1_rot_z,tracker_2_pos_x,tracker_2_pos_y,tracker_2_pos_z,tracker_2_rot_w,tracker_2_rot_x,tracker_2_rot_y,tracker_2_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754500303.5782392,-0.1437121033668518,0.5102419257164001,0.19590461254119873,0.7246550908024098,0.5263459898014031,-0.3094580483788137,0.31948496447281977,0.047699183225631714,0.5829651951789856,0.4962739944458008,0.7568837649092258,0.37281648485031393,0.3417109774626422,-0.41396673021949465,19.2,96.9,3.388,0.0,86.4,3.872,6.0,81.9,0.0,0.3,9.75,8.47,0.0,2.7,0.0,0.0,0.0,0.968,0.0,76.8,1.936,14.4,98.4,0.0,0.0,19.2,0.484,0.0,8.4,9.68,2.4,0.6,23.716,0.0,0.6,3.872,4.8,78.0,15.972,9.6,21.6,0.0,0.0,96.6,15.488,0.6,96.0,0.0,28.8,232.8,0.968,28.8,81.6,0.0,17.1,28.8,0.0,0.6,153.9,0.968,21.15,240.0,8.228,0.9,82.2,15.972,9.75,10.2,0.242,0.0,76.8,0.0
1754500303.9378636,-0.10875648260116577,0.4565817713737488,0.18111395835876465,0.6915853922929597,0.5812540462313273,-0.2564080950140823,0.34366883856408226,0.058296769857406616,0.5705568790435791,0.5090456008911133,0.7424510839112178,0.47563501818357096,0.31535541606305667,-0.3508399723652286,5.25,82.35,16.456,0.15,101.4,0.968,0.0,76.8,7.744,0.0,9.6,0.484,0.75,0.0,7.986,0.0,110.4,0.0,6.6,76.95,1.936,20.4,82.2,0.484,0.9,9.6,9.196,21.6,77.7,62.92,0.0,1.2,0.0,9.6,19.2,0.0,0.15,96.0,3.872,0.9,21.6,7.744,3.6,81.6,3.872,9.6,77.4,0.0,28.8,232.8,0.484,27.6,79.2,194.568,0.0,24.0,201.586,0.15,153.9,0.0,0.0,259.2,0.0,2.4,96.0,0.0,0.0,240.0,0.242,0.0,96.3,0.0
1754500304.297251,-0.01722314953804016,0.2708447575569153,0.11482393741607666,0.8002809077919839,0.48497014925565834,-0.25823365772700685,0.24014543130512864,0.041961997747421265,0.5387760996818542,0.5378177165985107,0.7190629832238369,0.5881885387205867,0.21972024455850664,-0.2978349880388329,1.65,77.25,317.504,0.0,86.55,5.808,0.0,81.6,0.0,2.7,9.75,0.0,0.0,9.9,0.484,4.8,0.0,0.0,3.0,86.4,0.0,0.3,77.4,0.0,0.0,1.2,0.242,1.2,20.4,30.976,5.4,0.0,0.242,0.0,2.4,63.888,1.2,79.2,0.484,9.6,0.15,0.484,0.0,76.8,7.986,4.8,77.4,9.922,0.0,232.8,0.484,0.0,78.6,0.0,0.0,19.5,0.0,0.6,174.0,0.968,25.2,230.55,0.0,0.0,96.3,0.0,12.0,0.0,0.484,0.6,108.0,4.114
1754500304.6580179,0.07230392098426819,0.19630920886993408,0.12055373191833496,0.6690146612154224,0.5654509036856111,-0.4045766930141432,0.26268303576549923,0.016167908906936646,0.5172315239906311,0.5460880994796753,0.72910165738203,0.64567653572626,0.10716735544763939,-0.2000693391191075,0.3,77.4,294.756,0.3,105.6,0.0,4.8,76.8,1.936,2.4,19.2,17.424,9.6,0.0,0.0,1.8,0.0,0.484,0.0,76.8,309.76,0.75,76.8,0.242,4.8,19.2,0.0,1.2,86.55,0.0,0.0,19.2,0.0,0.0,0.0,0.0,15.0,25.5,5.808,0.0,38.4,0.0,0.0,100.8,62.436,10.8,79.5,0.968,0.6,250.8,8.712,0.0,85.5,0.0,0.0,0.0,0.0,3.6,163.8,0.0,38.7,249.9,46.706,4.8,79.2,154.88,0.0,252.0,166.496,0.0,91.2,54.208
1754500305.0182555,0.0680210292339325,0.18133485317230225,0.11299270391464233,0.6341887104519212,0.5973211419463035,-0.33362187899285034,0.3601507906236533,-0.017254143953323364,0.5425222516059875,0.5831326246261597,0.7484150321709908,0.6418049103001142,0.09740716220624741,-0.13591628349954293,6.0,123.6,294.514,0.0,76.8,248.292,0.0,78.3,0.0,0.3,4.8,0.0,0.0,0.0,15.488,9.75,80.4,0.242,9.6,77.1,279.752,19.2,76.8,0.0,14.4,2.4,23.474,1.2,86.7,39.688,4.8,76.8,0.0,0.0,1.2,40.656,4.95,0.3,0.0,13.2,76.95,0.0,9.6,106.2,33.154,0.15,79.35,3.872,0.0,235.2,0.968,4.2,76.8,0.968,0.0,0.0,1.936,2.55,156.15,0.484,12.0,231.6,0.0,0.0,76.8,187.792,10.2,0.3,1.21,0.3,76.8,8.712
1754500305.3799162,0.07741734385490417,0.19199836254119873,0.12451070547103882,0.6279493980666114,0.6000945528232567,-0.33855044437332577,0.3618696835228635,-0.06527021527290344,0.41529786586761475,0.48571670055389404,0.6909657795407756,0.5931989302824979,0.19682076918702562,-0.3632394643412409,4.8,115.2,285.802,0.0,76.95,249.018,0.0,90.0,287.738,0.0,1.2,0.0,0.0,39.0,0.0,0.0,115.5,1.452,9.6,76.8,294.272,14.55,76.8,30.976,14.4,9.6,0.0,0.0,2.55,0.0,0.0,76.8,7.744,12.0,19.2,46.706,2.4,19.35,0.484,2.1,19.35,0.0,0.0,78.15,48.4,9.9,84.6,1.936,0.0,230.4,61.952,39.0,76.8,139.876,9.9,0.6,0.484,0.0,158.4,0.0,0.0,232.8,55.176,5.4,79.2,0.0,0.0,0.0,170.368,0.3,76.8,0.0
1754500305.740906,0.07753163576126099,0.19187581539154053,0.124431312084198,0.6237407310343986,0.602369884020569,-0.34467157452101715,0.35958243923759386,-0.06763353943824768,0.3654250502586365,0.4774969816207886,0.6518609596764113,0.6231362419129515,0.2963735453713299,-0.31454928890122136,25.2,84.15,310.244,19.2,115.5,247.808,2.55,76.8,298.628,0.0,0.0,7.986,0.0,0.0,31.944,0.3,78.0,0.0,0.6,120.0,3.872,4.8,77.1,1.452,0.0,0.0,15.488,0.6,1.2,1.936,0.15,82.8,15.488,2.4,28.8,50.336,1.2,28.8,2.904,19.5,76.8,0.0,0.75,87.6,46.464,4.8,79.35,61.952,2.4,230.4,61.952,4.8,105.6,0.0,4.95,4.8,186.34,0.0,153.9,141.812,19.2,0.0,55.176,38.4,76.8,170.852,0.0,0.0,0.968,4.95,77.4,1.936
1754500306.102462,0.07748925685882568,0.19205236434936523,0.12430703639984131,0.6228398869378015,0.6028645011459893,-0.34613326832189306,0.35891033257170696,-0.06467476487159729,0.35893189907073975,0.49337148666381836,0.5914774579963309,0.6440542683610938,0.3819070715345857,-0.2991579682536444,4.8,115.35,294.272,10.2,77.1,0.484,19.2,76.8,0.0,22.8,39.75,0.242,0.15,0.0,30.976,9.6,0.0,15.488,16.8,115.2,282.656,16.95,77.1,0.0,14.7,0.0,8.228,0.3,0.6,30.976,0.0,76.8,30.976,0.0,30.0,47.432,12.3,20.55,0.0,0.15,76.8,35.816,0.0,76.95,0.0,2.7,81.75,0.484,38.4,230.4,61.952,38.4,76.95,0.0,0.0,2.4,170.368,0.0,153.6,0.0,3.0,230.4,1.21,38.4,76.8,158.752,0.0,0.0,0.0,5.4,76.8,40.172
1754500306.463638,0.07744607329368591,0.19199669361114502,0.12406927347183228,0.6221437854359994,0.6034813567627455,-0.34686390282740215,0.35837522882885425,-0.06642112135887146,0.3673498034477234,0.5000067949295044,0.5984823500091844,0.6408704873912069,0.37564555582856074,-0.29999051837542867,19.35,121.5,283.624,1.2,77.4,0.484,4.8,77.1,0.484,0.0,5.4,38.72,0.0,38.4,2.178,2.4,115.2,61.952,0.0,115.2,0.484,0.15,76.8,0.968,0.0,1.2,0.0,0.15,0.0,12.1,2.4,76.95,0.242,9.9,0.15,47.916,2.4,0.6,10.648,10.2,77.1,32.912,0.0,76.8,46.464,0.15,78.0,6.05,0.0,230.4,31.46,0.0,86.4,0.0,11.1,0.0,178.596,1.2,163.2,123.904,39.6,230.7,61.952,39.0,154.2,186.824,0.15,6.0,15.488,2.4,80.4,0.0
1754500306.8235667,0.07742181420326233,0.19201529026031494,0.12391120195388794,0.6224317009950935,0.6031884652881162,-0.3469580879355658,0.35827721508455945,-0.0835508406162262,0.3663720488548279,0.4813469648361206,0.5785046302412596,0.6423566139553415,0.38328570323365724,-0.32527286730988253,15.6,76.8,310.002,4.8,87.0,0.0,0.6,99.9,247.808,19.2,0.3,7.744,14.4,38.55,0.0,1.2,9.6,0.484,9.6,87.0,0.0,14.4,76.8,0.242,0.0,0.9,0.0,9.6,0.6,0.484,4.8,76.8,0.968,0.0,0.0,0.726,19.35,0.0,0.0,0.3,76.8,0.0,2.4,76.8,0.242,1.95,81.6,1.21,21.6,249.6,3.872,2.55,77.4,0.0,0.0,0.0,0.0,0.0,153.6,123.904,0.0,230.7,0.0,6.0,76.8,0.0,2.4,10.8,1.936,0.0,78.0,0.968
1754500307.184087,0.07745632529258728,0.19214069843292236,0.12392401695251465,0.6219917590983652,0.6037581796082332,-0.3468941626560458,0.3581434890603109,-0.0798054039478302,0.3689815402030945,0.4758073091506958,0.5836602255483679,0.6364689141254293,0.38201228823631656,-0.32911192267860834,19.2,115.65,295.24,19.2,77.4,0.0,9.6,76.8,0.0,11.1,1.8,0.0,0.0,48.0,0.726,0.3,0.0,8.228,0.0,115.5,0.484,0.0,76.8,1.936,0.6,0.0,0.0,0.3,0.15,30.976,6.6,76.8,19.602,0.0,78.15,38.72,0.3,0.0,0.0,0.0,81.6,15.488,10.8,82.8,38.72,0.6,80.4,61.952,3.15,230.55,0.0,0.0,76.8,0.0,0.0,0.0,7.744,0.0,154.05,0.0,0.3,0.3,50.578,0.0,76.8,0.0,0.6,9.6,0.968,0.75,79.2,0.0
1754500307.5451043,0.07732895016670227,0.1921294927597046,0.12399452924728394,0.6219163182669165,0.6036348014182109,-0.34693109494880164,0.3584466005425056,-0.0781954824924469,0.3676176071166992,0.4725576639175415,0.5806899019600337,0.632357860852488,0.3866425029508286,-0.3367942159442031,18.6,81.0,302.5,2.4,81.75,3.872,6.0,79.2,0.0,6.0,38.85,7.744,0.0,0.15,0.0,3.0,0.3,9.68,4.8,115.2,287.012,0.6,76.8,46.464,2.4,1.95,0.0,16.8,0.0,0.0,0.0,76.8,0.484,2.7,2.4,0.0,4.8,0.0,7.744,0.0,28.8,30.976,0.15,84.0,46.706,0.75,76.8,0.0,0.0,230.4,63.162,0.3,76.8,0.0,0.0,0.6,181.984,0.0,154.35,0.484,38.4,234.0,50.336,14.4,153.6,185.856,0.0,230.4,4.84,0.0,76.8,46.948
1754500307.9062262,0.07734540104866028,0.1922844648361206,0.12390744686126709,0.6222347872247546,0.6034523205987694,-0.3469992088381631,0.3581350559113418,-0.0749574601650238,0.371787428855896,0.4751392602920532,0.5826583542604215,0.6229834641150767,0.3934966090809904,-0.3428721263338983,16.95,117.6,302.984,9.6,76.8,247.808,0.3,79.2,7.744,9.6,0.15,7.744,0.6,0.15,2.178,0.0,0.0,1.936,2.4,116.4,286.528,0.15,76.8,0.0,4.8,2.4,0.968,0.6,0.0,15.73,0.15,81.6,0.0,19.2,28.8,54.208,0.3,19.2,4.84,0.0,12.0,1.936,0.0,76.8,46.706,10.2,87.15,7.744,1.2,230.4,38.72,5.4,76.8,0.0,0.9,0.0,0.0,6.3,153.75,187.55,0.0,230.55,0.0,1.2,153.6,7.744,1.2,8.4,0.0,10.2,87.6,38.72
1754500308.2671926,0.07736918330192566,0.1922440528869629,0.12375044822692871,0.622414081667921,0.6033056852134671,-0.3469382726619376,0.3581295738795403,-0.07702460885047913,0.36995190382003784,0.4868215322494507,0.5863552567242353,0.6234362755406838,0.38621515627256553,-0.34402409166828885,15.15,87.75,282.656,20.4,86.4,0.0,5.1,76.8,6.05,4.8,9.75,15.488,0.3,41.4,30.976,9.9,0.0,1.452,2.4,76.8,294.272,1.2,76.95,0.0,0.6,9.6,15.488,0.0,0.0,0.0,9.6,76.8,0.0,14.4,0.0,31.218,9.6,19.8,0.0,0.0,21.6,16.456,1.2,79.2,2.42,0.0,76.8,8.712,0.0,264.0,30.976,0.0,76.8,0.726,12.15,0.0,157.784,19.2,154.2,189.728,4.8,232.8,123.904,40.8,76.8,172.304,5.7,0.0,1.936,0.3,78.0,0.484
1754500308.629818,0.07739675045013428,0.19226622581481934,0.12382018566131592,0.6224712200186289,0.6032565301860033,-0.34674191901646556,0.35830320750366884,-0.07189139723777771,0.36466461420059204,0.48735928535461426,0.5966401707507766,0.6173265798232226,0.3725024417988604,-0.352378039316834,0.0,80.4,0.484,4.8,76.8,247.808,0.0,79.2,0.0,19.2,7.2,0.0,5.4,2.4,1.936,9.6,10.5,31.218,9.6,120.3,0.0,27.15,76.8,48.4,2.4,0.0,0.968,0.0,9.9,0.0,0.3,76.8,0.242,0.6,76.8,3.872,0.0,19.2,0.0,3.6,24.0,4.356,16.8,93.6,0.0,1.5,81.9,31.944,19.2,232.8,25.168,21.6,100.95,7.744,0.15,0.0,186.098,0.0,153.6,185.856,9.6,231.6,47.432,0.0,78.0,0.0,0.0,0.6,0.968,14.4,78.0,1.936
1754500308.9904315,0.07317078113555908,0.2015395164489746,0.09234416484832764,0.5986750138235463,0.6167376108581967,-0.3057254687991137,0.40957894351044594,-0.061471909284591675,0.37406349182128906,0.4755152463912964,0.6125346174906554,0.6325731823307729,0.34667203942499736,-0.32321971114089454,6.6,118.65,7.744,0.0,98.55,263.296,22.2,79.35,254.1,0.0,0.15,0.0,0.15,38.7,31.944,0.6,9.6,0.484,0.3,115.2,0.0,5.55,76.8,0.0,0.0,0.0,0.484,19.2,0.0,0.0,12.0,86.4,0.0,0.0,19.2,40.656,1.2,19.2,39.204,1.2,0.0,0.484,0.0,76.8,39.688,10.35,79.65,0.0,0.0,230.4,30.976,0.0,76.8,185.856,19.2,33.6,168.432,0.0,155.4,142.296,0.6,1.2,6.292,4.8,81.75,154.88,6.0,5.1,158.752,7.2,81.6,0.0
1754500309.3495307,0.045173704624176025,0.18855726718902588,-0.03513842821121216,0.5979217231094459,0.5820827819896314,-0.38973646309576454,0.38958278332028273,-0.06152382493019104,0.3811216950416565,0.44725358486175537,0.6196665530721093,0.6485463794422989,0.32630518089802046,-0.2982044621141247,2.1,106.8,290.4,2.7,81.9,0.968,0.15,38.4,0.0,0.0,4.8,32.67,0.0,81.6,278.784,0.6,76.95,0.0,2.4,0.3,249.744,0.0,76.8,61.952,4.8,0.15,0.968,19.2,0.0,0.0,0.0,0.0,3.872,9.6,0.0,2.904,0.0,81.75,0.484,4.95,4.8,0.484,5.1,76.8,0.0,0.0,76.8,1.936,43.2,230.4,0.0,38.4,231.6,3.872,0.3,0.15,189.728,4.8,156.15,123.904,0.0,153.6,4.84,12.0,231.6,154.88,46.05,9.6,154.88,0.0,76.8,2.178
