timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753080123.7901554,0.15644794702529907,0.369567334651947,-0.9756495952606201,-50.76684202715398,41.79047930041926,-153.8378256459638,43.8975,-4.755,-10.0672,4.2525,-16.965,-18.7792,10.8675,-3.06,12.9833,9.24,26.0625,18.2105,0.765,18.39,26.4143,-29.355,-3.075,-2.6015,-9.675,17.9025,3.9446,-6.8175,5.1075,8.7483,0.78,46.3125,16.7222,-3.7125,-29.115,36.058,-1.8,20.9925,15.2339,-1.5225,44.79,8.9298,-2.43,8.175,11.374,6.1275,-0.5025,11.6281,-3.345,-8.775,11.5434,-5.28,14.595,28.5197,4.845,17.4975,-25.1075,-19.0725,59.235,-9.6679,-12.6225,-2.865,-77.4642,8.64,-1.1475,49.2712,-7.875,-2.22,-8.2159,26.37,36.1275,-22.2035,-9.885,-2.1075,-7.1027,-3.0525,-2.94,-73.3744
1753080124.15275,0.2604627311229706,0.3161262273788452,-1.0558007955551147,-73.8267381141122,29.334543620206013,-176.5517850408725,120.6975,-4.005,-42.9792,-5.0475,-18.165,-18.7792,0.0675,35.34,-45.0967,7.74,1.3125,-89.4795,0.765,-3.21,26.6563,58.095,-2.475,-95.2875,11.925,0.5025,-65.9934,74.6325,-4.4925,-82.0017,77.28,46.3125,-6.9938,-3.1125,48.135,-54.934,77.4,75.8925,-24.4541,75.2775,-19.41,70.3978,2.97,74.175,-45.738,77.8275,-2.7525,-43.0639,92.655,72.525,-35.1626,76.32,-3.405,-52.7923,-33.855,-4.1025,19.4205,-2.2725,37.635,-13.5399,0.8775,-3.015,46.4398,-5.76,-1.7475,-59.6288,-37.575,17.13,-1.4399,-13.08,40.9275,96.1345,-29.085,17.3925,-8.7967,-1.5525,-2.04,-92.4924
1753080124.5161421,0.2961808443069458,0.28961777687072754,-1.0786638259887695,-81.89167744031438,34.00592608093398,176.30537673814842,130.2975,0.345,-42.9792,148.4025,-17.415,43.1728,81.0675,1.74,-4.4407,71.94,-4.0875,19.4205,-76.035,1.59,-66.5137,123.945,-0.375,-64.5535,149.325,-4.1475,-9.8494,-6.6675,14.7075,26.4143,68.28,-30.4875,62.7022,16.9875,-10.065,-29.766,17.7,73.1925,6.5219,76.4775,44.79,8.4458,7.62,76.575,-23.232,13.0275,74.0475,18.8881,73.455,68.025,12.5114,-5.28,-4.305,5.2877,-34.005,1.8975,3.9325,-19.0725,58.035,-13.5399,-12.6225,6.585,-15.5122,-10.56,-1.7475,17.3272,-45.675,7.38,-10.1519,-12.78,28.9275,-28.0115,42.915,2.6925,-9.0387,0.5475,-2.94,1.1616
1753080124.8790252,0.30640166997909546,0.28740447759628296,-1.080625295639038,-84.70226810746145,37.63964504040586,175.5513889161143,-32.3025,-4.755,22.8448,-5.3475,1.035,43.1728,76.2675,6.54,9.1113,69.09,0.5625,3.6905,-76.035,-2.61,-66.5137,-29.655,-2.775,-0.6655,69.525,0.5025,20.6426,-2.1675,-2.9925,8.7483,-7.92,46.3125,79.1582,92.2875,-13.665,-61.952,-0.6,1.1925,-24.4541,75.2775,-17.61,10.6238,-2.43,74.175,7.502,10.7775,74.3475,-12.0879,83.505,15.525,-34.9206,-5.28,-4.605,-25.6883,-34.005,-4.1025,-11.5555,-9.4725,56.835,-10.6359,-13.6725,17.385,-11.6402,-15.21,-1.2975,-9.5348,-45.675,-1.02,-9.6679,-13.38,26.5275,-28.0115,-45.885,-2.1075,-9.2807,-3.0525,-0.39,1.1616
1753080125.2413838,0.305002897977829,0.28624051809310913,-1.0775357484817505,-90.91563674122742,36.81723136053957,179.57166710701787,-32.3025,4.845,18.9728,-5.3475,-18.165,-10.0672,77.0175,-0.66,9.1113,68.49,-4.2375,-5.2635,-56.535,-2.61,26.6563,-29.655,-3.075,-1.6335,143.925,-4.2975,-11.7854,-6.3675,-4.4925,-6.4977,-8.37,-30.4875,-6.2678,73.0875,-9.915,-58.806,-1.5,77.9925,-24.4541,75.5775,44.79,-53.0222,-2.43,1.575,7.502,10.6275,74.0475,-11.1199,73.455,-9.075,-49.6826,-5.28,0.195,-87.6403,-33.855,-2.9025,-11.5555,-19.0725,56.835,-12.5719,-13.8225,6.585,-3.8962,-15.06,-1.7475,-9.7768,-41.475,-2.22,-6.2799,-12.18,24.7275,2.9645,-48.285,0.2925,-5.4087,-1.8525,-2.79,-26.9104
1753080125.6041393,0.30477213859558105,0.2863791584968567,-1.0775210857391357,-90.96441396332858,36.68869419987072,178.79249115972166,-25.7025,-3.855,19.2148,-5.3475,-17.865,-18.7792,76.2675,-3.06,10.0793,70.29,14.9625,-27.7695,-76.035,-3.21,-58.7697,-29.655,-2.475,-2.6015,144.525,-4.2975,-4.0414,69.8325,-1.9425,-21.5017,-9.12,-30.4875,-14.7378,73.0875,-29.265,-58.806,3.0,-3.6075,-24.4541,75.2775,-29.61,-22.5302,-1.83,-2.625,-38.962,-3.7725,74.3475,-12.0879,73.455,5.325,-35.1626,-5.28,15.195,-23.7523,-34.005,15.0975,3.9325,-19.0725,37.635,-5.3119,-13.8225,-1.665,-13.5762,71.64,-1.7475,17.3272,40.125,17.58,1.4641,-10.98,16.9275,-19.2995,38.115,-1.9575,-5.4087,72.5475,-2.94,-15.2944
1753080125.9673007,0.3049200177192688,0.28637731075286865,-1.077558994293213,-90.74416178927059,36.35083232365739,179.10700285338143,-32.9025,-4.155,18.9728,-5.3475,-18.165,43.1728,76.2675,-3.06,-20.8967,65.04,10.1625,18.2105,81.165,-3.21,-64.5777,-27.255,19.125,-2.6015,73.125,0.5025,-11.7854,-4.5675,-2.0925,-22.2277,-9.12,-30.4875,-14.7378,75.4875,-29.265,-62.678,-1.35,4.1925,-24.4541,75.2775,44.79,-53.2642,-0.03,11.775,8.47,-3.1725,74.6475,-9.6679,73.455,67.725,-42.9066,81.12,-4.605,5.2877,-33.555,-3.8025,-23.1715,-9.4725,38.835,2.4321,-13.8225,-0.015,-15.5122,-15.36,1.2525,-11.7128,-46.125,-2.22,5.3361,-13.38,21.8775,-25.1075,-48.285,-1.5075,-1.5367,-4.2525,-2.94,7.9376
1753080126.3302796,0.3051106035709381,0.28655993938446045,-1.0764926671981812,-91.39748172777833,37.00372548917233,177.9273691433731,43.8975,-4.755,18.9728,-2.7975,-18.165,-18.7792,-57.2325,-3.06,-21.6227,68.64,-3.0375,6.3525,-65.835,0.39,-66.2717,-29.655,-3.075,-28.9795,148.875,-3.9975,-7.9134,-6.9675,-3.2925,-22.2277,-8.52,-27.7875,-10.6238,73.0875,-14.565,-62.678,0.3,-3.4575,-24.4541,3.2775,-11.61,-53.5062,-1.08,-2.625,-54.45,-3.7725,6.8475,-12.0879,-3.345,-9.075,-35.1626,-4.83,-4.305,5.2877,-28.605,-1.7025,-24.8655,-19.0725,56.835,-13.5399,-13.8225,11.385,4.8158,-12.81,-1.1475,23.1352,-40.275,16.98,-9.9099,-3.63,16.9275,-4.7795,-48.135,17.0925,-9.2807,-4.2525,-2.94,-30.2984
1753080126.693353,0.305281400680542,0.2864692211151123,-1.076606273651123,-91.28640226243445,36.62153949452231,178.42702848157418,-30.0525,4.845,18.9728,-5.3475,-17.565,-18.7792,76.2675,-2.76,-7.3447,70.89,15.1125,2.4805,77.565,-0.81,28.5923,-28.755,-3.075,-31.1575,67.875,1.1025,-4.0414,-2.1675,-4.4925,9.7163,-9.12,-11.2875,-14.7378,73.2375,-22.065,-58.806,-1.8,20.3925,-24.4541,77.9775,45.99,-48.1822,-2.43,-2.625,-54.45,1.0275,74.6475,3.4001,78.255,67.725,11.3014,-5.13,-4.605,-25.4463,-34.005,-4.1025,5.3845,-17.8725,42.435,-13.5399,-9.0225,-3.015,-15.5122,-12.96,0.6525,-5.6628,-45.825,17.58,-9.6679,-3.78,28.9275,7.8045,-48.285,17.0925,52.6713,-4.2525,6.96,-29.8144
1753080127.0563195,0.3048853278160095,0.2865331768989563,-1.0769555568695068,-91.18877827037052,36.763272495941976,178.3417881244136,-32.7525,10.845,19.9408,91.4025,-15.765,-14.9072,77.4675,-3.06,-14.1207,64.89,-4.0875,2.4805,78.765,-3.21,-65.5457,-29.355,16.275,-33.3355,145.275,7.7025,-5.9774,-6.9675,-4.4925,-84.1797,-8.97,-30.4875,64.6382,79.0875,-29.265,-62.678,-1.8,75.8925,-24.4541,75.2775,44.79,-45.5202,-1.23,-2.625,-53.966,-3.7725,74.0475,-8.2159,-3.345,10.125,-42.9066,-0.48,-3.105,13.0317,-31.605,15.3975,-27.0435,-19.0725,37.785,-8.4579,-13.8225,-3.015,-15.5122,-11.46,-1.7475,17.3272,-45.975,-2.22,-8.2159,-13.38,17.5275,-28.0115,-47.085,-2.1075,-7.3447,2.9475,-2.94,-21.1024
