timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753358249.2104974,-0.5726521611213684,-0.04615306854248047,-0.29787349700927734,-92.61278955488157,-30.769335214063833,-175.09358893033902,-56.76,-3.39,-5.1062,3.015,-3.7875,-8.3853,7.4025,5.1975,24.0669,0.585,0.6375,8.9419,1.9275,-5.175,-65.1585,8.115,-3.45,21.6106,-12.6075,1.6725,-74.6207,2.985,-4.02,-5.2393,42.1425,-43.7475,-19.8561,-2.865,58.05,-40.0026,-1.635,-0.84,19.5415,-3.735,-26.325,4.8158,9.6075,-0.0525,3.0976,-0.84,1.2375,-14.9677,35.3625,0.3,8.7725,36.2325,-0.6375,5.2514,7.8075,-5.205,11.2893,14.5725,-2.9925,-5.7596,-2.745,15.075,-9.8978,4.005,-2.4675,26.6079,-2.46,-5.22,-0.121,9.5775,15.54,-24.6235,0.7425,1.4925,-12.0637,6.8325,-0.0675,-65.1464
1753358249.5721142,-0.5426235795021057,0.07882177829742432,-0.30841684341430664,-87.91508594615239,-26.971053016818765,-167.5882229598087,30.24,-0.39,-47.6982,-2.385,-2.5875,-7.4173,-2.1975,5.4975,16.3229,-3.615,7.9875,-99.9581,3.7275,-5.775,27.7695,-2.085,-3.45,23.3046,-13.2075,-4.7775,6.4493,-7.815,-4.02,-72.9993,-2.2575,-22.7475,8.6999,-3.015,58.05,52.9254,-1.635,5.16,-26.9225,-3.585,-27.075,2.3958,1.2075,-7.2525,1.1616,-3.24,11.4375,-3.5937,-6.6375,3.9,-53.4215,7.4325,-3.6375,20.7394,10.3575,-4.605,-26.4627,33.7725,-2.6925,-13.0196,-2.745,-3.525,-9.6558,-5.595,-2.4675,30.2379,-3.66,-5.22,-4.477,16.7775,8.94,-22.2035,2.9925,-3.3075,-13.7577,-2.1675,-0.0675,13.2616
1753358249.934687,-0.382257878780365,0.33508729934692383,-0.2176961898803711,-79.68073930669095,0.20299879221690878,-162.51651644013597,20.04,-3.69,-12.8502,-2.985,-3.1875,-6.4493,3.8025,-2.9025,2.0449,2.535,-4.1625,-3.1581,-50.8725,-6.225,2.8435,2.715,-1.05,9.7526,-13.2075,14.5725,25.8093,-5.265,5.28,18.9607,-2.2575,-43.7475,-22.2761,-1.065,-13.95,52.9254,-1.635,0.36,8.1675,-0.885,-27.075,-40.1962,-1.0425,11.9475,-29.8144,-0.84,-1.7625,15.7663,-0.6375,-18.75,9.0145,-2.1675,5.6625,20.7394,8.4075,-5.205,3.5453,-4.6275,-2.9925,17.4724,0.855,-4.125,21.0782,-0.795,-2.0175,34.3519,-43.11,-4.77,3.267,-31.0725,-5.46,3.9325,7.6425,6.5925,-13.5157,-2.7675,-2.4675,13.2616
1753358250.2965734,-0.24399571120738983,0.33732718229293823,-0.13273882865905762,-82.32334127785134,12.302105193851546,-174.00048386453233,96.84,-3.69,14.2538,21.015,-3.7875,-8.3853,-2.1975,0.6975,-76.6051,11.085,10.2375,8.6999,2.5275,6.225,4.5375,7.515,-3.45,36.8566,-13.2075,1.0725,18.0653,-7.665,-2.22,21.8647,-2.1075,33.0525,-21.7921,-3.315,-18.75,-40.0026,3.165,-3.24,5.0215,1.065,-27.075,2.8798,-1.1925,-7.2525,2.1296,-2.04,-1.6125,0.5203,-7.8375,-18.9,-37.9335,7.8825,-3.9375,22.1914,-25.7925,-4.005,57.7533,54.1725,-2.9925,-13.0196,35.655,-4.125,-9.6558,-4.995,-1.2675,-4.8521,-4.71,-5.22,-4.477,-30.6225,4.44,-27.0435,-37.9575,-3.3075,-13.9997,-2.4675,-2.4675,-2.2264
1753358250.6596165,-0.2184179276227951,0.3077598810195923,-0.13465166091918945,-82.54151710493905,16.503663557456104,-177.36558283946076,96.99,-3.54,14.7378,6.615,-3.7875,-8.3853,21.8025,-4.1025,16.3229,76.185,-1.4625,-13.3221,29.0775,10.875,-2.7225,19.515,-3.45,21.3686,140.3925,5.8725,-8.5547,-7.815,-2.97,-12.9833,16.9425,-43.1475,-22.2761,-1.965,-18.75,21.9494,7.965,-5.64,-11.4345,15.465,49.875,-28.5802,-0.5925,70.1475,16.6496,16.41,-1.1625,1.2463,-2.8875,-18.75,-21.4775,-1.8675,-3.9375,-10.2366,-28.1925,-0.405,46.1373,-4.6275,-2.9925,50.3844,50.655,10.275,20.8362,-5.295,7.1325,-0.9801,-4.86,4.68,-4.235,-30.0225,-2.46,35.1505,-37.9575,8.6925,1.4883,-2.7675,-2.4675,-3.1944
1753358251.0215077,-0.21617917716503143,0.3015580177307129,-0.1333465576171875,-90.62076553574764,16.314118238600482,179.50542285494237,101.64,-3.69,-16.2382,27.015,7.1625,-8.3853,21.8025,-3.2025,-13.2011,25.635,5.5875,-7.0301,-74.8725,-4.875,12.2815,17.865,-2.1,25.2406,-8.2575,-4.9275,20.0013,-7.815,-4.32,-67.1913,-2.2575,-43.7475,-6.7881,15.735,-18.75,21.9494,-0.885,-0.84,4.0535,3.465,50.025,-55.2002,13.2075,69.5475,18.5856,25.56,75.1875,15.7663,-7.8375,-9.15,-53.4215,2.6325,-3.9375,-9.2686,-24.5925,-2.655,70.0953,-4.4775,-2.9925,19.8924,-2.745,-4.125,-2.3958,-5.595,-2.4675,27.0919,-28.86,-2.52,-0.605,-31.0725,-5.76,50.3965,-33.1575,-3.3075,-13.7577,-2.6175,2.3325,-2.7104
1753358251.384669,-0.2167583554983139,0.3007277846336365,-0.133966326713562,-88.17892959711916,14.570608408042103,178.91126656411836,41.94,-1.29,-39.9542,16.215,5.8125,-8.3853,17.3025,-4.4025,-76.6051,20.385,-4.1625,2.1659,-75.1725,-6.375,-1.2705,26.715,-1.05,21.8526,140.3925,-2.5275,-5.6507,11.385,-3.87,-9.1113,17.0925,-42.5475,-21.3081,-1.065,-18.75,21.9494,-1.635,-5.64,4.2955,-3.285,-27.075,-25.6762,-0.8925,71.9475,5.0336,-3.24,17.4375,-12.7897,11.3625,-8.7,-22.4455,16.7325,6.8625,-9.9946,-30.5925,11.595,34.5213,36.1725,-0.5925,-5.2756,45.555,-2.325,5.3482,32.955,2.9325,6.7639,-4.26,-5.22,-1.573,-31.2225,-5.76,34.9085,-37.9575,-3.3075,-12.0637,-2.7675,-1.8675,4.5496
1753358251.7475586,-0.21647022664546967,0.3010965585708618,-0.13431990146636963,-88.4246334082848,14.540685227859232,178.58803372136464,96.84,-1.29,-46.7302,18.615,1.0125,-7.9013,17.0025,-4.4025,-10.7811,73.185,0.6375,-6.5461,-75.4725,-5.325,-3.2065,152.115,-2.25,21.3686,-10.6575,-4.9275,-12.9107,-5.415,-3.12,-1.3673,4.9425,-43.4475,-21.7921,-3.165,-13.8,21.9494,8.565,-5.64,-26.9225,5.865,-17.475,-59.5562,-0.8925,-7.2525,10.8416,17.16,0.9375,-15.2097,4.1625,-18.9,-36.9655,-1.1175,8.0625,1.6214,13.8075,-5.205,65.4973,-4.6275,-0.5925,-13.0196,57.255,-2.775,-56.6038,-5.595,7.4325,26.1239,-33.66,-5.22,72.963,-29.8725,-2.16,38.7805,-35.5575,-3.3075,81.1063,2.0325,-2.4675,-3.1944
1753358252.10971,-0.21599696576595306,0.3012567162513733,-0.13465666770935059,-88.41886157164116,19.805807188201094,178.04341815294202,48.84,-3.69,-16.2382,155.415,-3.6375,69.0547,-78.9975,0.6975,16.3229,73.185,5.4375,-6.7881,-75.4725,-5.775,-3.2065,17.115,-3.45,21.3686,-3.6075,-0.1275,-12.9107,-5.415,-4.32,-5.2393,16.9425,-42.5475,0.9559,-3.165,-18.6,23.8854,-1.635,-5.64,-22.0825,-3.735,52.125,-59.5562,10.8075,70.2975,5.0336,17.16,17.4375,-15.2097,1.7625,-18.3,20.1465,-2.4675,-3.7875,-7.8166,-29.9925,-5.205,65.4973,33.7725,-1.7925,-13.5036,42.855,-4.125,7.2842,-5.595,-1.8675,-4.8521,-3.66,0.78,-4.477,-30.7725,3.84,34.9085,-30.1575,7.1925,-12.5477,3.2325,-2.3175,-2.9524
1753358252.4733016,-0.21327494084835052,0.30299901962280273,-0.136663556098938,-88.64973406920305,24.99584014038337,178.3357809505008,41.64,1.11,-8.4942,151.515,-3.7875,-8.3853,17.0025,-2.0025,12.4509,74.085,1.8375,-34.1341,20.5275,4.425,-0.3025,17.115,2.85,-5.2514,140.3925,-4.6275,-12.9107,16.185,-4.32,-11.0473,7.3425,-43.7475,-18.4041,15.735,-18.15,21.9494,1.365,-5.64,-9.4985,15.465,-27.075,2.3958,-1.1925,69.5475,5.0336,16.11,75.0375,-15.2097,-5.7375,-18.9,-20.5095,0.0825,-3.9375,-10.2366,-30.5925,-5.205,34.5213,-3.4275,-2.9925,-11.0836,-2.595,-4.125,5.8322,-4.695,-2.1675,26.1239,-24.06,-4.02,-4.477,-31.2225,-5.76,65.8845,-37.9575,-3.3075,78.9283,16.4325,-2.4675,-3.1944
